STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202004,1,11,서울특별시,8216963,4,11481,12142085532,11288285072,9436613215,1851671857,853800461,135059355
202004,1,26,부산광역시,2619282,4,10727,3571341431,3256186266,2619192072,636994195,315155164,22091658
202004,1,27,대구광역시,1925927,4,10255,2361245300,2176090768,1767236760,408854007,185154532,14188393
202004,1,28,인천광역시,2308126,4,10101,3149048509,2889333139,2341208859,548124280,259715370,21202050
202004,1,29,광주광역시,1138338,4,10366,1676138402,1570602386,1295335934,275266452,105536016,7065682
202004,1,30,대전광역시,1172595,4,10425,1652136830,1538535477,1272077642,266457834,113601354,9921732
202004,1,31,울산광역시,882411,4,10669,1199130426,1100872038,908696282,192175756,98258389,5774699
202004,1,36,세종특별자치시,236577,5,14105,397045965,375885255,319683675,56201579,21160711,2622648
202004,1,41,경기도,10359572,4,11116,15332597408,14241715928,11828795158,2412920770,1090881480,111908919
202004,1,42,강원도,1088669,3,8820,1437098333,1329626455,1086828461,242797994,107471879,6171583
202004,1,43,충청북도,1189280,3,8545,1546407153,1441434129,1199028696,242405433,104973024,6917002
202004,1,44,충청남도,1586720,3,8423,2075551759,1943453438,1615791976,327661462,132098321,11045860
202004,1,45,전라북도,1302081,3,8658,1672800661,1566044399,1288716814,277327585,106756262,6859316
202004,1,46,전라남도,1265870,3,7710,1524299685,1423817186,1167594478,256222708,100482499,5519325
202004,1,47,경상북도,1877604,3,8098,2111961038,1949210777,1601017655,348193122,162750261,9473144
202004,1,48,경상남도,2470490,3,9398,3146851463,2889726026,2341566168,548159858,257125437,14220871
202004,1,50,제주특별자치도,485308,4,8694,701170699,652096666,534704422,117392244,49074033,3466857
202005,1,11,서울특별시,8229894,4,11562,13319855261,12437572664,10539220467,1898352197,882282597,144125678
202005,1,26,부산광역시,2626641,4,10791,3888839642,3565001906,2906064051,658937855,323837737,23226381
202005,1,27,대구광역시,1930535,4,10317,2684355048,2496971318,2054633659,442337659,187383730,14770119
202005,1,28,인천광역시,2312891,4,10172,3431843266,3164379650,2610402214,553977436,267463616,21844271
202005,1,29,광주광역시,1141897,4,10433,1836274638,1726311212,1443012826,283298386,109963426,7509878
202005,1,30,대전광역시,1179955,4,10495,1857047043,1738939434,1463620399,275319035,118107609,10460383
202005,1,31,울산광역시,884661,4,10745,1333790515,1232612554,1036327958,196284596,101177962,5919067
202005,1,36,세종특별자치시,237183,5,14194,451900136,429844992,369569493,60275499,22055144,2895114
202005,1,41,경기도,10376151,4,11192,16591342839,15466754264,12982176016,2484578249,1124588574,116991539
202005,1,42,강원도,1090917,3,8879,1572857308,1462621733,1213429748,249191984,110235575,6238871
202005,1,43,충청북도,1191568,3,8609,1699791409,1590219959,1343116942,247103017,109571450,7381637
202005,1,44,충청남도,1588360,3,8484,2300103501,2163460481,1828999742,334460739,136643020,11454240
202005,1,45,전라북도,1304911,3,8714,1819094894,1708363135,1423264143,285098992,110731759,6764929
202005,1,46,전라남도,1264522,3,7762,1672567635,1568180102,1305609338,262570764,104387534,5519715
202005,1,47,경상북도,1881357,3,8149,2387254416,2219837639,1853586832,366250807,167416776,9943276
202005,1,48,경상남도,2473302,4,9456,3448393242,3184107304,2623892794,560214510,264285939,14696671
202005,1,50,제주특별자치도,486607,4,8761,775717416,724919578,604559477,120360102,50797838,3736259
202006,1,11,서울특별시,8272917,4,11609,13627127362,12749650976,10778616065,1971034911,877476386,162226221
202006,1,26,부산광역시,2657495,4,10835,3929624581,3607779932,2926782700,680997232,321844649,26132801
202006,1,27,대구광역시,1946134,4,10351,2747504725,2560003879,2108632297,451371582,187500846,16764707
202006,1,28,인천광역시,2333987,4,10217,3462881809,3201648078,2629239887,572408190,261233732,24846612
202006,1,29,광주광역시,1148328,4,10482,1832901060,1722246974,1436863100,285383874,110654086,8401259
202006,1,30,대전광역시,1189470,4,10527,1839098776,1723065424,1448257656,274807768,116033351,11430566
202006,1,31,울산광역시,893886,4,10785,1354856687,1253402850,1050398790,203004060,101453836,6695677
202006,1,36,세종특별자치시,237544,5,14243,448825573,426832173,365890689,60941484,21993400,3302072
202006,1,41,경기도,10426059,4,11240,16853793781,15741306600,13168931566,2572375034,1112487182,133551587
202006,1,42,강원도,1099908,3,8920,1557532433,1448893127,1194148330,254744797,108639306,7026111
202006,1,43,충청북도,1200018,3,8650,1699422703,1592138587,1334105990,258032597,107284116,8066086
202006,1,44,충청남도,1593239,3,8524,2264817170,2129651280,1788089841,341561439,135165890,12355141
202006,1,45,전라북도,1311695,4,8742,1816660355,1706115810,1417751814,288363996,110544544,7662337
202006,1,46,전라남도,1269306,3,7799,1659240636,1557134263,1288655739,268478524,102106372,6212374
202006,1,47,경상북도,1897168,3,8179,2387554911,2224488753,1850937288,373551465,163066158,11484330
202006,1,48,경상남도,2488697,4,9490,3477523937,3214239541,2639383198,574856344,263284396,16326191
202006,1,50,제주특별자치도,488402,4,8798,765677059,714621831,591538670,123083161,51055228,4233227
202007,1,11,서울특별시,8098468,4,11626,13715391220,12862656706,10661148530,2201508175,852734514,164116339
202007,1,26,부산광역시,2634695,4,10816,3966269399,3651219437,2921140184,730079252,315049963,26274506
202007,1,27,대구광역시,1922817,4,10418,2737363379,2553884561,2086346447,467538114,183478818,17458116
202007,1,28,인천광역시,2286231,4,10277,3449348084,3194433731,2570315348,624118382,254914354,25200966
202007,1,29,광주광역시,1144007,4,10535,1750551172,1640594365,1346421806,294172559,109956807,8699192
202007,1,30,대전광역시,1189800,4,10543,1845745434,1729422802,1441188422,288234380,116322632,12254099
202007,1,31,울산광역시,885216,4,10792,1365559377,1266562323,1049170019,217392304,98997054,7327286
202007,1,36,세종특별자치시,234543,5,14187,441009575,419623235,356963872,62659364,21386340,3760833
202007,1,41,경기도,10317131,4,11298,16971880865,15880431931,13084366569,2796065362,1091448934,137393700
202007,1,42,강원도,1108534,3,8943,1585217215,1476886372,1205916511,270969861,108330843,7503839
202007,1,43,충청북도,1206307,3,8667,1701885080,1594819546,1324571556,270247990,107065534,8562074
202007,1,44,충청남도,1589237,3,8523,2254353310,2119755148,1755265071,364490078,134598161,12555005
202007,1,45,전라북도,1314122,4,8772,1825223070,1714565015,1399842328,314722687,110658055,7780965
202007,1,46,전라남도,1273878,3,7812,1657877549,1555363570,1267273757,288089813,102513979,6499518
202007,1,47,경상북도,1909443,3,8185,2402271686,2238538982,1837379635,401159347,163732704,12355273
202007,1,48,경상남도,2482465,4,9508,3490879837,3232315482,2609676170,622639311,258564356,16733763
202007,1,50,제주특별자치도,484340,4,8808,777528229,726975120,591693335,135281785,50553109,4083753
202008,1,11,서울특별시,8098412,4,11691,13250732582,12395667822,10409937275,1985730547,855064760,162757294
202008,1,26,부산광역시,2635510,4,10873,3909974873,3593422045,2914792675,678629370,316552828,24780488
202008,1,27,대구광역시,1923952,4,10466,2739752271,2553565982,2080407183,473158800,186186289,16228541
202008,1,28,인천광역시,2286657,4,10332,3337919639,3082884140,2516295674,566588466,255035499,24502519
202008,1,29,광주광역시,1144449,4,10583,1778239615,1667064348,1391154117,275910231,111175267,8093118
202008,1,30,대전광역시,1190024,4,10585,1847433592,1730505375,1449456137,281049238,116928217,11849929
202008,1,31,울산광역시,885414,4,10839,1346366326,1245126781,1043750392,201376389,101239545,6822198
202008,1,36,세종특별자치시,234654,5,14247,439339010,417566688,356199742,61366946,21772321,3454982
202008,1,41,경기도,10319348,4,11355,16399813052,15296688352,12744090306,2552598046,1103124700,136112337
202008,1,42,강원도,1108615,3,8978,1528202908,1418042114,1170835043,247207071,110160794,7060087
202008,1,43,충청북도,1206623,3,8713,1668116121,1559515116,1307406793,252108323,108601005,8221353
202008,1,44,충청남도,1589062,3,8567,2200639736,2063236016,1723263174,339972842,137403720,12189724
202008,1,45,전라북도,1314470,4,8804,1802957988,1690330213,1400414162,289916051,112627775,7368260
202008,1,46,전라남도,1273823,3,7847,1652254647,1547987666,1283578572,264409094,104266981,6129401
202008,1,47,경상북도,1909343,3,8223,2390276977,2224338123,1849460437,374877686,165938854,12045418
202008,1,48,경상남도,2482546,4,9544,3471377925,3209153885,2636392014,572761870,262224040,15573215
202008,1,50,제주특별자치도,484522,4,8847,764597742,714160897,591982936,122177960,50436845,4067051
202009,1,11,서울특별시,8097538,4,11752,13255700798,12424039447,10220352723,2203686725,831661350,161591566
202009,1,26,부산광역시,2635333,4,10929,3837148081,3529206957,2818977142,710229815,307941124,25400204
202009,1,27,대구광역시,1927602,4,10521,2717495864,2536961429,2070853155,466108275,180534434,16400053
202009,1,28,인천광역시,2287050,4,10379,3334806293,3087018349,2505419497,581598852,247787945,24726636
202009,1,29,광주광역시,1145054,4,10625,1774309757,1666336058,1370543493,295792564,107973699,8064024
202009,1,30,대전광역시,1190071,4,10638,1832307586,1719250572,1421085493,298165079,113057015,11997452
202009,1,31,울산광역시,885516,4,10888,1291079975,1192364053,984924461,207439592,98715922,6862861
202009,1,36,세종특별자치시,234681,5,14318,440977953,420058978,354984941,65074037,20918976,3413047
202009,1,41,경기도,10321320,4,11416,16344123891,15275132636,12593349638,2681782998,1068991255,135490930
202009,1,42,강원도,1108724,3,9025,1543589840,1438235874,1176421590,261814284,105353966,7129626
202009,1,43,충청북도,1206654,3,8763,1663179184,1559028411,1293159019,265869392,104150773,8108323
202009,1,44,충청남도,1588738,3,8616,2200401188,2068078750,1716480501,351598249,132322438,12202609
202009,1,45,전라북도,1315074,4,8842,1808820531,1701167352,1398096214,303071138,107653179,7853903
