iscapitalcity,Country,City,Lat,Lng
Y,Australia,Canberra,-35.2931,149.1269
Y,Austria,Vienna,48.2083,16.3731
Y,Belgium,Brussels,50.8467,4.3517
Y,Canada,Ottawa,45.4247,-75.695
Y,Chile,Santiago,-33.45,-70.6667
Y,China,Beijing,39.905,116.3914
Y,Colombia,Bogota,4.6126,-74.0705
Y,Costa Rica,Sanjose,9.9333,-84.0833
Y,Czechia,Prague,50.0833,14.4167
Y,Denmark,Copenhagen,55.6786,12.5635
Y,Estonia,Tallinn,59.4372,24.745
Y,Finland,Helsinki,60.1756,24.9342
Y,France,Paris,48.8566,2.3522
Y,Germany,Berlin,52.5167,13.3833
Y,Greece,Athens,37.9794,23.7161
Y,Hungary,Budapest,47.4983,19.0408
Y,Iceland,Reykjavik,64.1475,-21.935
Y,Ireland,Dublin,53.3425,-6.2658
Y,Israel,Jerusalem,31.7833,35.2167
Y,Italy,Rome,41.8931,12.4828
Y,Japan,Tokyo,35.6897,139.6922
Y,Latvia,Riga,56.9475,24.1069
Y,Lithuania,Vilnius,54.6833,25.2833
Y,Luxembourg,Luxembourg,49.6106,6.1328
Y,Mexico,Mexico City,19.4333,-99.1333
Y,Netherlands,Amsterdam,52.35,4.9166
Y,New Zealand,Wellington,-41.2889,174.7772
Y,Norway,Oslo,59.9111,10.7528
Y,Poland,Warsaw,52.2167,21.0333
Y,Portugal,Lisbon,38.7452,-9.1604
Y,Slovakia,Bratislava,48.1447,17.1128
Y,Slovenia,Ljubljana,46.05,14.5167
Y,South Korea,Seoul,37.5833,127
Y,Spain,Madrid,40.4189,-3.6919
Y,Sweden,Stockholm,59.3294,18.0686
Y,Switzerland,Bern,46.948,7.4474
Y,Taiwan,Taipei,25.0478,121.5319
Y,Turkey,Ankara,39.93,32.85
Y,United Kingdom,London,51.5072,-0.1275
Y,US,Washington D.C.,38.9047,-77.0163
