Date,Country,City,Temp,Humidity,Rain,Snow
2020-01-08,Australia,Canberra,24,71,0.3,0
2020-01-08,Austria,Vienna,4,84,0,0
2020-01-08,Belgium,Brussels,11,93,0.4,0
2020-01-08,Canada,Ottawa,-9,87,2.8,15
2020-01-08,Chile,Santiago,20,48,0.1,0
2020-01-08,China,Beijing,3,33,0,0
2020-01-08,Colombia,Bogota,18,69,1.8,0
2020-01-08,Costa Rica,SanJose,11,78,0,0
2020-01-08,Czechia,Prague,3,81,0.2,0
2020-01-08,Denmark,Copenhagen,8,89,1.6,0
2020-01-08,Estonia,Tallinn,5,85,2.4,0
2020-01-08,Finland,Helsinki,5,88,3.3,0
2020-01-08,France,Paris,11,94,0.2,0
2020-01-08,Germany,Berlin,4,88,0.7,0
2020-01-08,Greece,Athens,5,65,0,0
2020-01-08,Hungary,Budapest,3,57,0,0
2020-01-08,Iceland,Reykjavik,-2,72,3.6,0
2020-01-08,Ireland,Dublin,6,76,0.2,0
2020-01-08,Israel,Jerusalem,6,77,1.1,0
2020-01-08,Italy,Rome,10,54,0,0
2020-01-08,Japan,Tokyo,12,70,15.5,0
2020-01-08,Latvia,Riga,3,87,2.3,0
2020-01-08,Lithuania,Vilnius,-1,92,0.9,0
2020-01-08,Luxembourg,Luxembourg,5,97,0.3,0
2020-01-08,Mexico,Mexico City,17,42,0,0
2020-01-08,Netherlands,Amsterdam,11,92,1.4,0
2020-01-08,New Zealand,Wellington,13,65,0,0
2020-01-08,Norway,Oslo,1,79,0.1,0
2020-01-08,Poland,Warsaw,2,86,0.9,0
2020-01-08,Portugal,Lisbon,12,78,0,0
2020-01-08,Slovakia,Bratislava,1,86,0,0
2020-01-08,Slovenia,Ljubljana,2,59,0,0
2020-01-08,South Korea,Seoul,3,80,44.5,0
2020-01-08,Spain,Madrid,11,40,0,0
2020-01-08,Sweden,Stockholm,7,74,0.1,0
2020-01-08,Switzerland,Bern,3,68,0,0
2020-01-08,Taiwan,Taipei,17,75,0.2,0
2020-01-08,Turkey,Ankara,2,91,1.6,0
2020-01-08,United Kingdom,London,11,87,2.6,0
2020-01-08,United States,Washington D.C.,2,65,0,0
