tDate,Country,City,Temp,Humidity,Rain,Snow
2021-05-01,Australia,Canberra,15,71,0,0
2021-05-01,Austria,Vienna,17,67,0,0
2021-05-01,Belgium,Brussels,11,65,0,0
2021-05-01,Canada,Ottawa,5,62,1.3,0
2021-05-01,Chile,Santiago,14,55,0,0
2021-05-01,China,Beijing,20,12,0,0
2021-05-01,Colombia,Bogota,15,91,22.2,0
2021-05-01,Costa Rica,SanJose,19,62,0,0
2021-05-01,Czechia,Prague,12,77,2.1,0
2021-05-01,Denmark,Copenhagen,9,58,0,0
2021-05-01,Estonia,Tallinn,6,64,0,0
2021-05-01,Finland,Helsinki,5,62,0.1,0
2021-05-01,France,Paris,12,56,0,0
2021-05-01,Germany,Berlin,12,68,0,0
2021-05-01,Greece,Athens,26,44,0,0
2021-05-01,Hungary,Budapest,18,76,3.6,0
2021-05-01,Iceland,Reykjavik,4,59,0,0
2021-05-01,Ireland,Dublin,7,78,0.5,0
2021-05-01,Israel,Jerusalem,26,29,0,0
2021-05-01,Italy,Rome,19,68,0.1,0
2021-05-01,Japan,Tokyo,20,60,18.2,0
2021-05-01,Latvia,Riga,7,63,0.1,0
2021-05-01,Lithuania,Vilnius,8,65,0.1,0
2021-05-01,Luxembourg,Luxembourg,9,74,0,0
2021-05-01,Mexico,Mexico City,23,43,0.9,0
2021-05-01,Netherlands,Amsterdam,10,69,0,0
2021-05-01,New Zealand,Wellington,12,71,2.4,0
2021-05-01,Norway,Oslo,8,52,0,0
2021-05-01,Poland,Warsaw,11,60,0,0
2021-05-01,Portugal,Lisbon,15,55,0,0
2021-05-01,Slovakia,Bratislava,16,70,0.3,0
2021-05-01,Slovenia,Ljubljana,17,84,8,0
2021-05-01,South Korea,Seoul,14,54,3.4,0
2021-05-01,Spain,Madrid,13,57,1.2,0
2021-05-01,Sweden,Stockholm,9,56,0.1,0
2021-05-01,Switzerland,Bern,11,86,2.7,0
2021-05-01,Taiwan,Taipei,28,48,0,0
2021-05-01,Turkey,Ankara,21,49,0,0
2021-05-01,United Kingdom,London,11,66,1.7,0
2021-05-01,United States,Washington D.C.,13,38,0,0
