tDate,Country,Number,HolidayName
2024-12-31,Armenia,1,New Year`s Eve
2024-12-31,Brazil,1,New Year`s Eve (from 2pm)
2024-12-31,Cuba,1,New Year`s Eve
2024-12-31,East Timor,1,National Heroes Day
2024-12-31,Faroe Islands,1,New Year`s Eve
2024-12-31,Greenland,1,New Year`s Eve
2024-12-31,Guatemala,1,New Year`s Eve
2024-12-31,Iceland,1,New Year`s Eve (from noon)
2024-12-31,Latvia,1,New Year`s Eve
2024-12-31,Montserrat,1,Festival Day
2024-12-31,Myanmar,1,New Year Holiday
2024-12-31,Philippines,1,New Year`s Eve
2024-12-31,San Marino,1,New Year`s Eve
2024-12-31,Thailand,1,New Year`s Eve
2024-12-31,Venezuela,1,New Year`s Eve
2024-12-30,Eswatini,1,Day off for Incwala Day
2024-12-30,Falkland Islands,1,Day off for Christmas Holiday
2024-12-30,Philippines,1,Rizal Day
2024-12-29,Mongolia,1,Independence Day
2024-12-28,Eswatini,1,Incwala Day
2024-12-28,Falkland Islands,1,Christmas Holiday
2024-12-27,Falkland Islands,1,Christmas Holiday
2024-12-27,North Korea,1,Constitution Day
2024-12-26,Andorra,1,Boxing Day
2024-12-26,Anguilla,1,Boxing Day
2024-12-26,Antigua and Barbuda,1,Boxing Day
2024-12-26,Aruba,1,Boxing Day
2024-12-26,Australia,1,Boxing Day
2024-12-26,Austria,1,St. Stephen`s Day
2024-12-26,Barbados,1,Boxing Day
2024-12-26,Belize,1,Boxing Day
2024-12-26,Bermuda,1,Boxing Day
2024-12-26,Botswana,1,Boxing Day
2024-12-26,British Virgin Islands,1,Boxing Day
2024-12-26,Bulgaria,1,Second day of Christmas
2024-12-26,Canada,1,Boxing Day
2024-12-26,Cayman Islands,1,Boxing Day
2024-12-26,Cook Islands,1,Boxing Day
2024-12-26,Croatia,1,St Stephen`s Day
2024-12-26,Curacao,1,Boxing Day
2024-12-26,Cyprus,1,Boxing Day
2024-12-26,Czechia,1,St. Stephen`s Day
2024-12-26,Denmark,1,2nd Christmas Day
2024-12-26,Dominica,1,Boxing Day
2024-12-26,Estonia,1,Boxing Day
2024-12-26,Eswatini,1,Boxing Day
2024-12-26,Falkland Islands,1,Boxing Day
2024-12-26,Faroe Islands,1,Boxing Day
2024-12-26,Fiji,1,Boxing Day
2024-12-26,Finland,1,Boxing Day
2024-12-26,Germany,1,Boxing Day
2024-12-26,Ghana,1,Boxing Day
2024-12-26,Gibraltar,1,Boxing Day
2024-12-26,Greece,1,Synaxis of the Mother of God
2024-12-26,Greenland,1,Boxing Day
2024-12-26,Grenada,1,Boxing Day
2024-12-26,Guatemala,1,Boxing Day
2024-12-26,Guernsey,1,Boxing Day
2024-12-26,Guyana,1,Boxing Day
2024-12-26,Hong Kong,1,First Weekday After Christmas Day
2024-12-26,Hungary,1,Second Day of Christmas
2024-12-26,Iceland,1,Second Day of Christmas
2024-12-26,Ireland,1,St. Stephen`s Day
2024-12-26,Isle of Man,1,Boxing Day
2024-12-26,Italy,1,St. Stephen`s Day
2024-12-26,Jamaica,1,Boxing Day
2024-12-26,Jersey,1,Boxing Day
2024-12-26,Kenya,1,Boxing Day
2024-12-26,Kiribati,1,Boxing Day
2024-12-26,Latvia,1,Second Day of Christmas
2024-12-26,Lesotho,1,Boxing Day
2024-12-26,Liechtenstein,1,St Stephen`s Day
2024-12-26,Lithuania,1,Second Day of Christmas
2024-12-26,Luxembourg,1,St Stephen`s Day
2024-12-26,Malawi,1,Boxing Day
2024-12-26,Montserrat,1,Boxing Day
2024-12-26,Namibia,1,Family Day
2024-12-26,Nauru,1,Boxing Day
2024-12-26,Netherlands,1,Second Day of Christmas
2024-12-26,New Zealand,1,Boxing Day
2024-12-26,Nigeria,1,Boxing Day
2024-12-26,Norway,1,Boxing Day
2024-12-26,Papua New Guinea,1,Boxing Day
2024-12-26,Poland,1,Second Day of Christmas
2024-12-26,Romania,1,Second day of Christmas
2024-12-26,Rwanda,1,Boxing Day
2024-12-26,Saint Helena,1,Boxing Day
2024-12-26,Saint Kitts and Nevis,1,Boxing Day
