Date,Country,Number,HolidayName
2020-04-12,Belgium,1,Easter Sunday
2020-04-12,Denmark,1,Easter Sunday
2020-04-12,Estonia,1,Easter Sunday
2020-04-12,Hungary,1,Easter Sunday
2020-04-12,Iceland,1,Easter Sunday
2020-04-12,Italy,1,Easter Sunday
2020-04-12,Latvia,1,Easter Sunday
2020-04-12,Lithuania,1,Easter Sunday
2020-04-12,Netherlands,1,Easter Sunday
2020-04-12,Norway,1,Easter Sunday
2020-04-12,Poland,1,Easter Sunday
2020-04-12,Portugal,1,Easter Sunday
2020-04-12,Slovenia,1,Easter Sunday
2020-04-12,Sweden,1,Easter Sunday
