 tDate,Country,Number,HolidayName
2021-02-12,Bhutan,1,Losar (New Year)
2021-02-12,Brunei,1,Chinese New Year
2021-02-12,China,1,Chinese New Year
2021-02-12,Hong Kong,1,Chinese Lunar New Year`s Day
2021-02-12,Indonesia,1,Chinese Lunar New Year`s Day
2021-02-12,Macau,1,Lunar New Year (First Day)
2021-02-12,Malaysia,1,Chinese Lunar New Year`s Day
2021-02-12,Mauritius,1,Chinese Spring Festival
2021-02-12,Mongolia,1,Lunar New Year`s Day
2021-02-12,Myanmar,1,Union Day
2021-02-12,North Korea,1,Seollal
2021-02-12,Philippines,1,Chinese Lunar New Year`s Day
2021-02-12,Singapore,1,Chinese Lunar New Year`s Day
2021-02-12,South Korea,1,Seollal
2021-02-12,Suriname,1,Chinese New Year
2021-02-12,Taiwan,1,Chinese New Year`s Day
2021-02-12,Thailand,1,Chinese Lunar New Year`s Day
2021-02-12,Vietnam,1,Vietnamese New Year
