tDate,Country,Number,HolidayName
2022-08-08,Afghanistan,1,Ashura
2022-08-08,Algeria,1,Day of Achura
2022-08-08,Bahrain,1,Ashoora
2022-08-08,Bangladesh,1,Ashura
2022-08-08,Cote d`Ivoire,1,Independence Day observed
2022-08-08,Gambia,1,Ashura
2022-08-08,Grenada,1,Carnival (First Day)
2022-08-08,India,1,Muharram/Ashura
2022-08-08,Iran,1,Ashura
2022-08-08,Iraq,1,Ashura
2022-08-08,Jamaica,1,Independence Day
2022-08-08,Lebanon,1,Ashoura
2022-08-08,Pakistan,1,Ashura Holiday
2022-08-08,Senegal,1,Tamkharit
2022-08-08,Somalia,1,Ashura
2022-08-08,Tanzania,1,Farmers` Day
2022-08-08,Zimbabwe,1,Heroes` Day
