tDate, Country,Variant,total_sequences,cluster_sequences,proportion
2020-05-18,Argentina,20J.Gamma.V3,77,0,0.000000000000
2020-05-18,Australia,20I.Alpha.V1,57,0,0.000000000000
2020-05-18,Australia,21A.Delta,57,0,0.000000000000
2020-05-18,Austria,20H.Beta.V2,18,0,0.000000000000
2020-05-18,Austria,20I.Alpha.V1,18,0,0.000000000000
2020-05-18,Austria,21A.Delta,18,0,0.000000000000
2020-05-18,Bangladesh,20H.Beta.V2,37,0,0.000000000000
2020-05-18,Belgium,20H.Beta.V2,40,0,0.000000000000
2020-05-18,Belgium,20I.Alpha.V1,40,0,0.000000000000
2020-05-18,Belgium,20J.Gamma.V3,40,0,0.000000000000
2020-05-18,Belgium,21A.Delta,40,0,0.000000000000
2020-05-18,Brazil,20I.Alpha.V1,92,0,0.000000000000
2020-05-18,Brazil,20J.Gamma.V3,92,0,0.000000000000
2020-05-18,Canada,20H.Beta.V2,300,0,0.000000000000
2020-05-18,Canada,20I.Alpha.V1,300,0,0.000000000000
2020-05-18,Canada,20J.Gamma.V3,300,0,0.000000000000
2020-05-18,Canada,21A.Delta,300,0,0.000000000000
2020-05-18,Canada,21C.Epsilon,300,0,0.000000000000
2020-05-18,Canada,21D.Eta,300,0,0.000000000000
2020-05-18,Chile,20J.Gamma.V3,44,0,0.000000000000
2020-05-18,Chile,21G.Lambda,44,0,0.000000000000
2020-05-18,Colombia,20J.Gamma.V3,11,0,0.000000000000
2020-05-18,Czechia,20I.Alpha.V1,3,0,0.000000000000
2020-05-18,Denmark,20I.Alpha.V1,70,0,0.000000000000
2020-05-18,Denmark,21A.Delta,70,0,0.000000000000
2020-05-18,Denmark,21D.Eta,70,0,0.000000000000
2020-05-18,Finland,20H.Beta.V2,34,0,0.000000000000
2020-05-18,Finland,20I.Alpha.V1,34,0,0.000000000000
2020-05-18,France,20H.Beta.V2,35,0,0.000000000000
2020-05-18,France,20I.Alpha.V1,35,0,0.000000000000
2020-05-18,France,20J.Gamma.V3,35,0,0.000000000000
2020-05-18,France,21A.Delta,35,0,0.000000000000
2020-05-18,France,21D.Eta,35,0,0.000000000000
2020-05-18,Germany,20H.Beta.V2,41,0,0.000000000000
2020-05-18,Germany,20I.Alpha.V1,41,0,0.000000000000
2020-05-18,Germany,20J.Gamma.V3,41,0,0.000000000000
2020-05-18,Germany,21A.Delta,41,0,0.000000000000
2020-05-18,Germany,21D.Eta,41,0,0.000000000000
2020-05-18,Ghana,20I.Alpha.V1,5,0,0.000000000000
2020-05-18,India,20I.Alpha.V1,287,0,0.000000000000
2020-05-18,India,21A.Delta,287,0,0.000000000000
2020-05-18,India,21B.Kappa,287,0,0.000000000000
2020-05-18,Indonesia,21A.Delta,5,0,0.000000000000
2020-05-18,Ireland,20I.Alpha.V1,26,0,0.000000000000
2020-05-18,Ireland,21A.Delta,26,0,0.000000000000
2020-05-18,Israel,20H.Beta.V2,0,0,0.000000000000
2020-05-18,Israel,20I.Alpha.V1,0,0,0.000000000000
2020-05-18,Italy,20I.Alpha.V1,23,0,0.000000000000
2020-05-18,Italy,20J.Gamma.V3,23,0,0.000000000000
2020-05-18,Italy,21A.Delta,23,0,0.000000000000
2020-05-18,Italy,21D.Eta,23,0,0.000000000000
2020-05-18,Japan,20I.Alpha.V1,82,0,0.000000000000
2020-05-18,Japan,21A.Delta,82,0,0.000000000000
2020-05-18,Kenya,20I.Alpha.V1,53,0,0.000000000000
2020-05-18,Lithuania,20I.Alpha.V1,3,0,0.000000000000
2020-05-18,Luxembourg,20H.Beta.V2,4,0,0.000000000000
2020-05-18,Luxembourg,20I.Alpha.V1,4,0,0.000000000000
2020-05-18,Mexico,20I.Alpha.V1,66,0,0.000000000000
2020-05-18,Mexico,20J.Gamma.V3,66,0,0.000000000000
2020-05-18,Mexico,21A.Delta,66,0,0.000000000000
2020-05-18,Mexico,21C.Epsilon,66,0,0.000000000000
