tDate,Country,Variant,total_sequences,cluster_sequences,proportion
2020-09-21,Australia,20I.Alpha.V1,186,0,0.000000000000
2020-09-21,Australia,21A.Delta,186,0,0.000000000000
2020-09-21,Austria,20H.Beta.V2,15,0,0.000000000000
2020-09-21,Austria,20I.Alpha.V1,15,0,0.000000000000
2020-09-21,Austria,21A.Delta,15,0,0.000000000000
2020-09-21,Belgium,20H.Beta.V2,97,0,0.000000000000
2020-09-21,Belgium,20I.Alpha.V1,97,0,0.000000000000
2020-09-21,Belgium,20J.Gamma.V3,97,0,0.000000000000
2020-09-21,Belgium,21A.Delta,97,0,0.000000000000
2020-09-21,Canada,20H.Beta.V2,329,0,0.000000000000
2020-09-21,Canada,20I.Alpha.V1,329,0,0.000000000000
2020-09-21,Canada,20J.Gamma.V3,329,0,0.000000000000
2020-09-21,Canada,21A.Delta,329,0,0.000000000000
2020-09-21,Canada,21C.Epsilon,329,0,0.000000000000
2020-09-21,Canada,21D.Eta,329,0,0.000000000000
2020-09-21,Chile,20J.Gamma.V3,19,0,0.000000000000
2020-09-21,Chile,21G.Lambda,19,0,0.000000000000
2020-09-21,Colombia,20J.Gamma.V3,3,0,0.000000000000
2020-09-21,Czechia,20I.Alpha.V1,11,0,0.000000000000
2020-09-21,Denmark,20I.Alpha.V1,648,0,0.000000000000
2020-09-21,Denmark,21A.Delta,648,0,0.000000000000
2020-09-21,Denmark,21D.Eta,648,0,0.000000000000
2020-09-21,Estonia,20I.Alpha.V1,41,0,0.000000000000
2020-09-21,Finland,20H.Beta.V2,37,0,0.000000000000
2020-09-21,Finland,20I.Alpha.V1,37,0,0.000000000000
2020-09-21,France,20H.Beta.V2,97,0,0.000000000000
2020-09-21,France,20I.Alpha.V1,97,0,0.000000000000
2020-09-21,France,20J.Gamma.V3,97,0,0.000000000000
2020-09-21,France,21A.Delta,97,0,0.000000000000
2020-09-21,France,21D.Eta,97,0,0.000000000000
2020-09-21,Germany,20H.Beta.V2,122,0,0.000000000000
2020-09-21,Germany,20I.Alpha.V1,122,0,0.000000000000
2020-09-21,Germany,20J.Gamma.V3,122,0,0.000000000000
2020-09-21,Germany,21A.Delta,122,0,0.000000000000
2020-09-21,Germany,21D.Eta,122,0,0.000000000000
