Country,Date,Variant,total_sequences,cluster_sequences,proportion
Argentina,2020-04-27,20J.Gamma.V3,22,0,0
Australia,2020-04-27,20I.Alpha.V1,21,0,0
Australia,2020-04-27,21A.Delta,21,0,0
Austria,2020-04-27,20H.Beta.V2,5,0,0
Austria,2020-04-27,20I.Alpha.V1,5,0,0
Austria,2020-04-27,21A.Delta,5,0,0
Bangladesh,2020-04-27,20H.Beta.V2,20,0,0
Belgium,2020-04-27,20H.Beta.V2,19,0,0
Belgium,2020-04-27,20I.Alpha.V1,19,0,0
Belgium,2020-04-27,20J.Gamma.V3,19,0,0
Belgium,2020-04-27,21A.Delta,19,0,0
Brazil,2020-04-27,20I.Alpha.V1,49,0,0
Brazil,2020-04-27,20J.Gamma.V3,49,0,0
Bulgaria,2020-04-27,20I.Alpha.V1,0,0,0
Canada,2020-04-27,20H.Beta.V2,137,0,0
Canada,2020-04-27,20I.Alpha.V1,137,0,0
Canada,2020-04-27,20J.Gamma.V3,137,0,0
Canada,2020-04-27,21A.Delta,137,0,0
Canada,2020-04-27,21C.Epsilon,137,0,0
Canada,2020-04-27,21D.Eta,137,0,0
Chile,2020-04-27,20J.Gamma.V3,20,0,0
Chile,2020-04-27,21G.Lambda,20,0,0
Colombia,2020-04-27,20J.Gamma.V3,13,0,0
Czechia,2020-04-27,20I.Alpha.V1,0,0,0
Denmark,2020-04-27,20I.Alpha.V1,23,0,0
Denmark,2020-04-27,21A.Delta,23,0,0
Denmark,2020-04-27,21D.Eta,23,0,0
Finland,2020-04-27,20H.Beta.V2,14,0,0
Finland,2020-04-27,20I.Alpha.V1,14,0,0
France,2020-04-27,20H.Beta.V2,19,0,0
France,2020-04-27,20I.Alpha.V1,19,0,0
France,2020-04-27,20J.Gamma.V3,19,0,0
France,2020-04-27,21A.Delta,19,0,0
France,2020-04-27,21D.Eta,19,0,0
Germany,2020-04-27,20H.Beta.V2,18,0,0
Germany,2020-04-27,20I.Alpha.V1,18,0,0
Germany,2020-04-27,20J.Gamma.V3,18,0,0
Germany,2020-04-27,21A.Delta,18,0,0
Germany,2020-04-27,21D.Eta,18,0,0
Greece,2020-04-27,20I.Alpha.V1,1,0,0
India,2020-04-27,20I.Alpha.V1,73,0,0
India,2020-04-27,21A.Delta,73,0,0
India,2020-04-27,21B.Kappa,73,0,0
Indonesia,2020-04-27,21A.Delta,1,0,0
Ireland,2020-04-27,20I.Alpha.V1,21,0,0
Ireland,2020-04-27,21A.Delta,21,0,0
Israel,2020-04-27,20H.Beta.V2,0,0,0
Israel,2020-04-27,20I.Alpha.V1,0,0,0
Italy,2020-04-27,20I.Alpha.V1,21,0,0
Italy,2020-04-27,20J.Gamma.V3,21,0,0
Italy,2020-04-27,21A.Delta,21,0,0
Italy,2020-04-27,21D.Eta,21,0,0
Japan,2020-04-27,20I.Alpha.V1,77,0,0
Japan,2020-04-27,21A.Delta,77,0,0
Kenya,2020-04-27,20I.Alpha.V1,7,0,0
Latvia,2020-04-27,20I.Alpha.V1,3,0,0
Luxembourg,2020-04-27,20H.Beta.V2,1,0,0
Luxembourg,2020-04-27,20I.Alpha.V1,1,0,0
Mexico,2020-04-27,20I.Alpha.V1,26,0,0
Mexico,2020-04-27,20J.Gamma.V3,26,0,0
Mexico,2020-04-27,21A.Delta,26,0,0
Mexico,2020-04-27,21C.Epsilon,26,0,0
Netherlands,2020-04-27,20H.Beta.V2,37,0,0
Netherlands,2020-04-27,20I.Alpha.V1,37,0,0
Netherlands,2020-04-27,20J.Gamma.V3,37,0,0
Netherlands,2020-04-27,21A.Delta,37,0,0
Nigeria,2020-04-27,21D.Eta,4,0,0
Norway,2020-04-27,20H.Beta.V2,4,0,0
Norway,2020-04-27,20I.Alpha.V1,4,0,0
Poland,2020-04-27,20I.Alpha.V1,5,0,0
Portugal,2020-04-27,20I.Alpha.V1,4,0,0
Portugal,2020-04-27,21A.Delta,4,0,0
Qatar,2020-04-27,20H.Beta.V2,18,0,0
Romania,2020-04-27,20I.Alpha.V1,3,0,0
Russia,2020-04-27,20I.Alpha.V1,12,0,0
Russia,2020-04-27,21A.Delta,12,0,0
Singapore,2020-04-27,21A.Delta,14,0,0
Slovakia,2020-04-27,20I.Alpha.V1,0,0,0
Slovenia,2020-04-27,20I.Alpha.V1,0,0,0
South Africa,2020-04-27,20H.Beta.V2,8,0,0
South Africa,2020-04-27,21A.Delta,8,0,0
South Korea,2020-04-27,20I.Alpha.V1,3,0,0
Spain,2020-04-27,20H.Beta.V2,28,0,0
Spain,2020-04-27,20I.Alpha.V1,28,0,0
Spain,2020-04-27,20J.Gamma.V3,28,0,0
Spain,2020-04-27,21A.Delta,28,0,0
Sweden,2020-04-27,20H.Beta.V2,7,0,0
Sweden,2020-04-27,20I.Alpha.V1,7,0,0
Sweden,2020-04-27,21A.Delta,7,0,0
Switzerland,2020-04-27,20H.Beta.V2,20,0,0
Switzerland,2020-04-27,20I.Alpha.V1,20,0,0
Switzerland,2020-04-27,21A.Delta,20,0,0
Turkey,2020-04-27,20H.Beta.V2,14,0,0
Turkey,2020-04-27,20I.Alpha.V1,14,0,0
United Kingdom,2020-04-27,20H.Beta.V2,771,0,0
United Kingdom,2020-04-27,20I.Alpha.V1,771,0,0
United Kingdom,2020-04-27,21A.Delta,771,0,0
United Kingdom,2020-04-27,21B.Kappa,771,0,0
United Kingdom,2020-04-27,21D.Eta,771,0,0
US,2020-04-27,20H.Beta.V2,806,0,0
US,2020-04-27,20I.Alpha.V1,806,0,0
US,2020-04-27,20J.Gamma.V3,806,0,0
US,2020-04-27,21A.Delta,806,0,0
US,2020-04-27,21B.Kappa,806,0,0
US,2020-04-27,21C.Epsilon,806,0,0
US,2020-04-27,21D.Eta,806,0,0
US,2020-04-27,21F.Iota,806,0,0
US,2020-04-27,21G.Lambda,806,0,0
Zimbabwe,2020-04-27,20H.Beta.V2,8,0,0
Argentina,2020-05-04,20J.Gamma.V3,52,0,0
Australia,2020-05-04,20I.Alpha.V1,49,0,0
Australia,2020-05-04,21A.Delta,49,0,0
Austria,2020-05-04,20H.Beta.V2,12,0,0
Austria,2020-05-04,20I.Alpha.V1,12,0,0
Austria,2020-05-04,21A.Delta,12,0,0
Bangladesh,2020-05-04,20H.Beta.V2,40,0,0
Belgium,2020-05-04,20H.Beta.V2,43,0,0
Belgium,2020-05-04,20I.Alpha.V1,43,0,0
Belgium,2020-05-04,20J.Gamma.V3,43,0,0
Belgium,2020-05-04,21A.Delta,43,0,0
Brazil,2020-05-04,20I.Alpha.V1,103,0,0
Brazil,2020-05-04,20J.Gamma.V3,103,0,0
Bulgaria,2020-05-04,20I.Alpha.V1,1,0,0
Canada,2020-05-04,20H.Beta.V2,300,0,0
Canada,2020-05-04,20I.Alpha.V1,300,0,0
Canada,2020-05-04,20J.Gamma.V3,300,0,0
Canada,2020-05-04,21A.Delta,300,0,0
Canada,2020-05-04,21C.Epsilon,300,0,0
Canada,2020-05-04,21D.Eta,300,0,0
Chile,2020-05-04,20J.Gamma.V3,41,0,0
Chile,2020-05-04,21G.Lambda,41,0,0
Colombia,2020-05-04,20J.Gamma.V3,27,0,0
Czechia,2020-05-04,20I.Alpha.V1,1,0,0
