tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2022-02-05,Australia,,0,2,1,2,1,2,2,3
2022-02-05,Austria,,2,3,9,9,1,0,0,9
2022-02-05,Belgium,,1,2,2,2,0,0,0,3
2022-02-05,Canada,,2,3,2,4,1,1,2,4
2022-02-05,Canada,Alberta,9,9,9,9,9,9,9,9
2022-02-05,Canada,British Columbia,9,9,9,9,9,9,9,9
2022-02-05,Canada,Manitoba,9,9,9,9,9,9,9,9
2022-02-05,Canada,New Brunswick,9,9,9,9,9,9,9,9
2022-02-05,Canada,Newfoundland and Labrador,9,9,9,9,9,9,9,9
2022-02-05,Canada,Northwest Territories,9,9,9,9,9,9,9,9
2022-02-05,Canada,Nova Scotia,9,9,9,9,9,9,9,9
2022-02-05,Canada,Nunavut,9,9,9,9,9,9,9,9
2022-02-05,Canada,Ontario,9,9,9,9,9,9,9,9
2022-02-05,Canada,Prince Edward Island,9,9,9,9,9,9,9,9
2022-02-05,Canada,Quebec,9,9,9,9,9,9,9,9
2022-02-05,Canada,Saskatchewan,9,9,9,9,9,9,9,9
2022-02-05,Canada,Yukon,9,9,9,9,9,9,9,9
2022-02-05,Chile,,1,1,1,2,0,0,1,2
2022-02-05,China,,9,9,9,9,9,9,9,9
2022-02-05,China,Anhui,9,9,9,9,9,9,9,9
2022-02-05,China,Beijing,1,2,2,4,1,1,2,3
2022-02-05,China,Chongqing,1,2,2,4,0,1,2,3
2022-02-05,China,Fujian,2,1,1,4,1,1,2,3
2022-02-05,China,Gansu,1,2,2,4,0,1,2,9
2022-02-05,China,Guangdong,1,2,2,3,2,2,2,3
2022-02-05,China,Guangxi,1,1,2,1,2,0,2,3
2022-02-05,China,Guizhou,1,2,2,3,0,0,2,3
2022-02-05,China,Hainan,1,1,1,0,1,1,1,3
2022-02-05,China,Hebei,9,9,9,9,9,9,9,9
2022-02-05,China,Heilongjiang,3,3,2,4,2,3,2,3
2022-02-05,China,Henan,2,2,2,4,2,2,2,3
2022-02-05,China,Hubei,9,9,9,9,9,9,9,9
2022-02-05,China,Hunan,1,2,2,4,0,2,2,3
2022-02-05,China,Inner Mongolia,2,2,1,3,1,1,2,3
2022-02-05,China,Jiangsu,9,9,9,9,9,9,9,9
2022-02-05,China,Jiangxi,9,9,9,9,9,9,9,9
2022-02-05,China,Jilin,1,2,2,3,0,1,1,3
