 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2021-09-23,Afghanistan,,1,,,,,,,
2021-09-23,Albania,,,,,,,,,
2021-09-23,Algeria,,,,,,,,,
2021-09-23,Andorra,,1,1,1,1,1,,,1
2021-09-23,Angola,,,,,,,,,
2021-09-23,Argentina,,1,0,1,1,0,0,0,1
2021-09-23,Aruba,,,,,,,,,
2021-09-23,Australia,,0,0,0,0,0,0,0,1
2021-09-23,Austria,,0,1,1,1,1,,0,1
2021-09-23,Azerbaijan,,0,1,1,1,0,1,,1
2021-09-23,Bahamas,,,,,,,,,
2021-09-23,Bahrain,,,,,,,,,
2021-09-23,Bangladesh,,,,,,,,,
2021-09-23,Barbados,,1,1,1,1,1,1,,1
2021-09-23,Belarus,,,,,,,,,
2021-09-23,Belgium,,1,1,0,0,,,,1
2021-09-23,Belize,,,,,,,,,
2021-09-23,Benin,,,1,1,1,1,1,,1
2021-09-23,Bermuda,,,,,,,,,
2021-09-23,Bhutan,,1,1,1,1,1,1,1,1
2021-09-23,Bolivia,,0,0,0,0,0,0,0,1
2021-09-23,Bosnia and Herzegovina,,,,,,,,,
2021-09-23,Botswana,,,,,,,,,
2021-09-23,Brazil,,,,,,,,,
2021-09-23,Brazil,Acre,,,,,,,,
2021-09-23,Brazil,Alagoas,,,,,,,,
2021-09-23,Brazil,Amapa,,,,,,,,
2021-09-23,Brazil,Amazonas,,,,,,,,
2021-09-23,Brazil,Bahia,,,,,,,,
2021-09-23,Brazil,Ceara,,,,,,,,
2021-09-23,Brazil,Distrito Federal,,,,,,,,
2021-09-23,Brazil,Espirito Santo,,,,,,,,
2021-09-23,Brazil,Goias,,,,,,,,
2021-09-23,Brazil,Maranhao,,,,,,,,
2021-09-23,Brazil,Mato Grosso,,,,,,,,
2021-09-23,Brazil,Mato Grosso do Sul,,,,,,,,
2021-09-23,Brazil,Minas Gerais,,,,,,,,
2021-09-23,Brazil,Para,,,,,,,,
2021-09-23,Brazil,Paraiba,,,,,,,,
2021-09-23,Brazil,Parana,,,,,,,,
2021-09-23,Brazil,Pernambuco,,,,,,,,
2021-09-23,Brazil,Piaui,,,,,,,,
2021-09-23,Brazil,Rio de Janeiro,,,,,,,,
2021-09-23,Brazil,Rio Grande do Norte,,,,,,,,
2021-09-23,Brazil,Rio Grande do Sul,,,,,,,,
2021-09-23,Brazil,Rondonia,,,,,,,,
2021-09-23,Brazil,Roraima,,,,,,,,
2021-09-23,Brazil,Santa Catarina,,,,,,,,
2021-09-23,Brazil,Sao Paulo,,,,,,,,
2021-09-23,Brazil,Sergipe,,,,,,,,
2021-09-23,Brazil,Tocantins,,,,,,,,
2021-09-23,Brunei,,1,1,1,1,1,1,,1
2021-09-23,Bulgaria,,,,,,,,,
2021-09-23,Burkina Faso,,,,,,,,,1
2021-09-23,Burundi,,,1,,,,,,1
2021-09-23,Cambodia,,,,,,,,,
2021-09-23,Cameroon,,,1,1,1,,,,1
2021-09-23,Canada,,0,0,0,0,,1,0,1
2021-09-23,Canada,Alberta,1,1,1,1,,1,,1
2021-09-23,Canada,British Columbia,,,,,,,,
2021-09-23,Canada,Manitoba,,,,,,,,
2021-09-23,Canada,New Brunswick,0,1,1,,,1,1,1
2021-09-23,Canada,Newfoundland and Labrador,0,0,0,0,,0,1,1
2021-09-23,Canada,Northwest Territories,0,0,0,0,0,0,1,1
2021-09-23,Canada,Nova Scotia,1,1,1,1,,1,1,1
2021-09-23,Canada,Nunavut,,,,,,,,
2021-09-23,Canada,Ontario,1,1,1,1,,1,,1
2021-09-23,Canada,Prince Edward Island,,,,,,,,
2021-09-23,Canada,Quebec,,,,,,,,
2021-09-23,Canada,Saskatchewan,,,,,,,,
2021-09-23,Canada,Yukon,,,,,,,,
2021-09-23,Cape Verde,,,,,,,,,
2021-09-23,Central African Republic,,,,,,,,,
2021-09-23,Chad,,,,,,,,,
2021-09-23,Chile,,0,0,0,0,0,0,0,1
2021-09-23,China,,,,,,,,,
2021-09-23,China,Anhui,,,,,,,,
2021-09-23,China,Beijing,,,,,,,,
2021-09-23,China,Chongqing,,,,,,,,
2021-09-23,China,Fujian,,,,,,,,
2021-09-23,China,Gansu,,,,,,,,
2021-09-23,China,Guangdong,,,,,,,,
2021-09-23,China,Guangxi,,,,,,,,
2021-09-23,China,Guizhou,,,,,,,,
2021-09-23,China,Hainan,,,,,,,,
2021-09-23,China,Hebei,,,,,,,,
2021-09-23,China,Heilongjiang,,,,,,,,
2021-09-23,China,Henan,,,,,,,,
2021-09-23,China,Hubei,,,,,,,,
2021-09-23,China,Hunan,,,,,,,,
2021-09-23,China,Inner Mongolia,,,,,,,,
2021-09-23,China,Jiangsu,,,,,,,,
2021-09-23,China,Jiangxi,,,,,,,,
2021-09-23,China,Jilin,,,,,,,,
2021-09-23,China,Liaoning,,,,,,,,
2021-09-23,China,Ningxia,,,,,,,,
2021-09-23,China,Qinghai,,,,,,,,
2021-09-23,China,Shaanxi,,,,,,,,
2021-09-23,China,Shandong,,,,,,,,
2021-09-23,China,Shanghai,,,,,,,,
2021-09-23,China,Shanxi,,,,,,,,
2021-09-23,China,Sichuan,,,,,,,,
2021-09-23,China,Tianjin,,,,,,,,
2021-09-23,China,Tibet,,,,,,,,
2021-09-23,China,Xinjiang,,,,,,,,
2021-09-23,China,Yunnan,,,,,,,,
2021-09-23,China,Zhejiang,,,,,,,,
2021-09-23,Colombia,,0,0,0,0,0,0,0,1
2021-09-23,Comoros,,,,,,,,,
2021-09-23,Congo,,,,1,1,,0,,
2021-09-23,Costa Rica,,1,1,1,1,,1,1,1
2021-09-23,Cote d`Ivoire,,,,,,,1,,1
2021-09-23,Croatia,,,,,,,,,
2021-09-23,Cuba,,,,,,,,,
2021-09-23,Cyprus,,1,1,1,1,1,,,1
2021-09-23,Czechia,,,,,,,,,
2021-09-23,Democratic Republic of Congo,,,0,1,1,,0,0,1
2021-09-23,Denmark,,1,1,,,,,,1
2021-09-23,Djibouti,,1,1,1,1,1,,,1
2021-09-23,Dominica,,,,,,,,,
2021-09-23,Dominican Republic,,1,1,1,1,1,0,1,1
2021-09-23,Ecuador,,1,1,0,0,1,0,1,1
2021-09-23,Egypt,,,,,,,,,
2021-09-23,El Salvador,,,,,,,,,
2021-09-23,Eritrea,,,,1,1,1,1,,1
2021-09-23,Estonia,,1,,1,1,,,,1
2021-09-23,Eswatini,,1,1,1,1,1,1,1,1
2021-09-23,Ethiopia,,1,1,1,1,1,,,1
2021-09-23,Faeroe Islands,,,,,,,,,1
2021-09-23,Fiji,,,,,,,,,
2021-09-23,Finland,,1,0,0,0,,0,,1
2021-09-23,France,,1,1,1,1,1,,1,1
2021-09-23,Gabon,,,,,,,,,
2021-09-23,Gambia,,,,,,,,,1
2021-09-23,Georgia,,1,1,1,1,,,,1
2021-09-23,Germany,,1,1,1,1,1,1,,1
2021-09-23,Ghana,,,,,,,,,
2021-09-23,Greece,,,,,,,,,
2021-09-23,Greenland,,,,,,,,,
2021-09-23,Guam,,1,1,1,1,1,,,1
2021-09-23,Guatemala,,,,,,,,,
