tDate,Country,Province,SchoolFlag,WorkplaceFlag,CancelPublicEventsFlag,RestrictionsOnGatheringsFlag,PublicTransportFlag,StayAtHomeFlag,RestrictionsOnInternalFlag,PublicInformationCampaignsFlag
2022-10-30,Australia,,,,,,,,,
2022-10-30,Austria,,0,1,1,1,,,,1
2022-10-30,Belgium,,,,,,,,,
2022-10-30,Canada,,,,,,,,,1
2022-10-30,Chile,,,,,,,,,
2022-10-30,China,,,,,,,,,
2022-10-30,Colombia,,,,,,,,,
2022-10-30,Costa Rica,,,,,,,,,1
2022-10-30,Czechia,,,,,,,,,
2022-10-30,Denmark,,,,,,,,,
2022-10-30,Estonia,,,,,,,,,
2022-10-30,Finland,,,,,,,,,
2022-10-30,France,,,,,,,,,
2022-10-30,Germany,,,,,,,1,1,1
2022-10-30,Greece,,,,,,,,,
2022-10-30,Hungary,,,,,,,,,
2022-10-30,Iceland,,,,,,,,,
2022-10-30,Ireland,,,,,,,,,
2022-10-30,Israel,,1,,,,,,,1
2022-10-30,Italy,,,,,,,,,
2022-10-30,Japan,,,,,,,,,
2022-10-30,Latvia,,,,,,,,,
2022-10-30,Lithuania,,,,,,,,,
2022-10-30,Luxembourg,,,,,,,,,
2022-10-30,Mexico,,,,,,,,,
2022-10-30,Netherlands,,,,,,,,,
2022-10-30,New Zealand,,,,,,,,,
2022-10-30,Norway,,,,,,,,,
2022-10-30,Poland,,,,,,,,,
2022-10-30,Portugal,,,,,,,,,
2022-10-30,Slovakia,,,,,,,,,1
2022-10-30,Slovenia,,,,,,,,,
2022-10-30,South Korea,,,,,,,,,
2022-10-30,Spain,,,,,,,,,1
2022-10-30,Sweden,,,,,,,,,
2022-10-30,Switzerland,,,,,,,,,
2022-10-30,Taiwan,,1,1,,,,,,1
2022-10-30,Turkey,,,,,,,,,1
2022-10-30,United Kingdom,,,,,,,,,
2022-10-30,United States,,0,0,,,,0,,1
