Date,Country,NumberOfTest
2020-08-16,Australia,53774
2020-08-16,Austria,9136
2020-08-16,Belgium,8932
2020-08-16,Canada,103120
2020-08-16,Chile,30882
2020-08-16,Colombia,40512
2020-08-16,Costa Rica,2244
2020-08-16,Denmark,25599
2020-08-16,Estonia,401
2020-08-16,Finland,10958
2020-08-16,France,22105
2020-08-16,Germany,0
2020-08-16,Greece,3808
2020-08-16,Hungary,2923
2020-08-16,Iceland,158
2020-08-16,Ireland,10352
2020-08-16,Israel,12387
2020-08-16,Italy,59277
2020-08-16,Japan,7438
2020-08-16,Latvia,1224
2020-08-16,Lithuania,1091
2020-08-16,Luxembourg,480
2020-08-16,Mexico,4325
2020-08-16,Netherlands,0
2020-08-16,New Zealand,25005
2020-08-16,Norway,5302
2020-08-16,Poland,32617
2020-08-16,Portugal,8020
2020-08-16,Slovakia,481
2020-08-16,Slovenia,393
2020-08-16,South Korea,6104
2020-08-16,Spain,0
2020-08-16,Sweden,8090
2020-08-16,Switzerland,2419
2020-08-16,Taiwan,124
2020-08-16,Turkey,65956
2020-08-16,United Kingdom,168144
2020-08-16,United States,572466
