tDate,Country,NumberOfTest
2021-01-09,Australia,0
2021-01-09,Austria,19780
2021-01-09,Belgium,38230
2021-01-09,Canada,275269
2021-01-09,Chile,58116
2021-01-09,Colombia,70090
2021-01-09,Costa Rica,3884
2021-01-09,Czechia,35439
2021-01-09,Denmark,53521
2021-01-09,Estonia,3913
2021-01-09,Finland,9370
2021-01-09,France,188814
2021-01-09,Germany,0
2021-01-09,Greece,36683
2021-01-09,Hungary,21823
2021-01-09,Iceland,426
2021-01-09,Ireland,29972
2021-01-09,Israel,80260
2021-01-09,Italy,238536
2021-01-09,Japan,35730
2021-01-09,Latvia,11338
2021-01-09,Lithuania,8598
2021-01-09,Luxembourg,7613
2021-01-09,Mexico,22298
2021-01-09,Netherlands,0
2021-01-09,New Zealand,0
2021-01-09,Norway,15382
2021-01-09,Poland,116742
2021-01-09,Portugal,43775
2021-01-09,Slovakia,78417
2021-01-09,Slovenia,2669
2021-01-09,South Korea,64141
2021-01-09,Spain,0
2021-01-09,Sweden,30475
2021-01-09,Switzerland,15810
2021-01-09,Taiwan,251
2021-01-09,Turkey,168289
2021-01-09,United Kingdom,567302
2021-01-09,United States,1711916
