tDate,Country,Vaccine,NumberOfVaccinated
2021-02-19,Chile,Pfizer/BioNTech,113407
2021-02-19,Chile,Sinovac,2784360
2021-02-19,Czechia,Moderna,32443
2021-02-19,Czechia,Oxford/AstraZeneca,8963
2021-02-19,Czechia,Pfizer/BioNTech,512162
2021-02-19,France,Moderna,159355
2021-02-19,France,Oxford/AstraZeneca,112768
2021-02-19,France,Pfizer/BioNTech,3509189
2021-02-19,Germany,Johnson&Johnson,13
2021-02-19,Germany,Moderna,147502
2021-02-19,Germany,Oxford/AstraZeneca,163574
2021-02-19,Germany,Pfizer/BioNTech,4682964
2021-02-19,Iceland,Johnson&Johnson,0
2021-02-19,Iceland,Moderna,3904
2021-02-19,Iceland,Oxford/AstraZeneca,2720
2021-02-19,Iceland,Pfizer/BioNTech,20863
2021-02-19,Italy,Moderna,84226
2021-02-19,Italy,Oxford/AstraZeneca,85829
2021-02-19,Italy,Pfizer/BioNTech,3288544
2021-02-19,Latvia,Moderna,3680
2021-02-19,Latvia,Oxford/AstraZeneca,8850
2021-02-19,Latvia,Pfizer/BioNTech,32164
2021-02-19,Lithuania,Moderna,9368
2021-02-19,Lithuania,Oxford/AstraZeneca,14888
2021-02-19,Lithuania,Pfizer/BioNTech,165844
2021-02-19,Switzerland,Moderna,284170
2021-02-19,Switzerland,Pfizer/BioNTech,374368
2021-02-19,United States,Moderna,29044336
2021-02-19,United States,Pfizer/BioNTech,30431247
