Date,Country,Vaccine,NumberOfVaccinated
2022-08-20,Czechia,Moderna,1618050
2022-08-20,Czechia,Pfizer/BioNTech,14927965
2022-08-20,Germany,Johnson&Johnson,3749762
2022-08-20,Germany,Moderna,31420528
2022-08-20,Germany,Novavax,139165
2022-08-20,Germany,Oxford/AstraZeneca,12794987
2022-08-20,Germany,Pfizer/BioNTech,136333904
2022-08-20,Italy,Moderna,34227527
2022-08-20,Italy,Pfizer/BioNTech,92232762
2022-08-20,Japan,Moderna,73041019
2022-08-20,Japan,Novavax,146943
2022-08-20,Japan,Oxford/AstraZeneca,117621
2022-08-20,Japan,Pfizer/BioNTech,235733985
2022-08-20,South Korea,Johnson&Johnson,1544090
2022-08-20,South Korea,Moderna,25133948
2022-08-20,South Korea,Novavax,767028
2022-08-20,South Korea,Pfizer/BioNTech,80718126
