tDate,Country,Vaccine,NumberOfVaccinated
2022-12-07,Czechia,Johnson&Johnson,413946
2022-12-07,Czechia,Moderna,1640308
2022-12-07,Czechia,Novavax,10966
2022-12-07,Czechia,Pfizer/BioNTech,15612630
2022-12-07,France,Johnson&Johnson,1090173
2022-12-07,France,Moderna,24059613
2022-12-07,France,Novavax,35605
2022-12-07,France,Pfizer/BioNTech,119111992
2022-12-07,Germany,Johnson&Johnson,3756537
2022-12-07,Germany,Moderna,31557493
2022-12-07,Germany,Novavax,155455
2022-12-07,Germany,Pfizer/BioNTech,137902496
2022-12-07,Germany,Valneva,4521
2022-12-07,Italy,Moderna,34270520
2022-12-07,Italy,Pfizer/BioNTech,95000266
2022-12-07,Japan,Moderna,81751685
2022-12-07,Japan,Novavax,262823
2022-12-07,Japan,Pfizer/BioNTech,273766113
2022-12-07,South Korea,Johnson&Johnson,1545042
2022-12-07,South Korea,Moderna,25278760
2022-12-07,South Korea,Novavax,882417
2022-12-07,South Korea,Pfizer/BioNTech,81417301
2022-12-07,South Korea,SKYCovione,2212
