Date,Country,VaccinatedRate
2021-09-12,Australia,54.33
2021-09-12,Austria,62.01
2021-09-12,Belgium,73.10
2021-09-12,Canada,74.51
2021-09-12,Chile,75.34
2021-09-12,China,0.00
2021-09-12,Colombia,47.79
2021-09-12,Costa Rica,0.00
2021-09-12,Czechia,56.08
2021-09-12,Denmark,76.26
2021-09-12,Estonia,55.90
2021-09-12,Finland,73.55
2021-09-12,France,75.68
2021-09-12,Germany,65.97
2021-09-12,Greece,60.36
2021-09-12,Hungary,60.62
2021-09-12,Iceland,0.00
2021-09-12,Ireland,74.96
2021-09-12,Israel,68.76
2021-09-12,Italy,72.53
2021-09-12,Japan,63.34
2021-09-12,Latvia,46.92
2021-09-12,Lithuania,63.21
2021-09-12,Luxembourg,65.68
2021-09-12,Mexico,46.77
2021-09-12,Netherlands,70.16
2021-09-12,New Zealand,58.92
2021-09-12,Norway,72.74
2021-09-12,Poland,51.68
2021-09-12,Portugal,86.87
2021-09-12,Slovakia,44.08
2021-09-12,Slovenia,49.38
2021-09-12,South Korea,64.03
2021-09-12,Spain,79.62
2021-09-12,Sweden,0.00
2021-09-12,Switzerland,59.39
2021-09-12,Taiwan,47.86
2021-09-12,Turkey,60.60
2021-09-12,United Kingdom,71.02
2021-09-12,United States,62.91
