 tDate, Area, Confirmeds,Deaths 
2020-09-29,강원,0,0
2020-09-29,강원,0,0
2020-09-29,경기,10,1
2020-09-29,경남,0,0
2020-09-29,경북,2,0
2020-09-29,광주,0,0
2020-09-29,대구,0,0
2020-09-29,대전,0,0
2020-09-29,부산,3,0
2020-09-29,서울,11,0
2020-09-29,세종,0,0
2020-09-29,울산,0,0
2020-09-29,인천,0,0
2020-09-29,전남,0,0
2020-09-29,전북,0,0
2020-09-29,제주,0,0
2020-09-29,충남,2,0
2020-09-29,충북,1,0
2020-09-29,경기,10,1
2020-09-29,대전,0,0
2020-09-29,부산,3,0
2020-09-29,경남,0,0
2020-09-29,경북,2,0
2020-09-29,광주,0,0
2020-09-29,대구,0,0
2020-09-29,서울,11,0
2020-09-29,세종,0,0
2020-09-29,울산,0,0
2020-09-29,인천,0,0
2020-09-29,전남,0,0
2020-09-29,전북,0,0
2020-09-29,제주,0,0
2020-09-29,충남,2,0
2020-09-29,충북,1,0
