BASE_DT,CELL_ID,CELL_XCRD,CELL_YCRD,CTDO_CD,CTDO_NM,CCW_CD,CCW_NM,ADNG_CD,ADNG_NW,DOW,TMZN,SEX_DV_CD,YY10_AGLV_ID,CORC_WALK_POPL_CNT,CORC_NTWK_POPL_CNT
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,22,MALE,6,10,4
20201105,"83,912,334",127.0709,37.80927,41,경기도,4163,양주시,41630550,회천3동,목,18,MALE,4,4,10
20201105,"83,912,334",127.0709,37.80927,41,경기도,4163,양주시,41630550,회천3동,목,16,MALE,5,3,4
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,16,MALE,4,40,26
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,17,MALE,6,9,4
20201105,"79,911,943",126.9311,37.5198,11,서울특별시,1156,영등포구,11560540,여의동,목,17,MALE,3,29,5
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,13,MALE,6,19,6
20201105,"84,055,102",127.0791,37.25812,41,경기도,4111,수원시,41117570,영통1동,목,18,FEMALE,2,10,4
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,19,MALE,3,11,6
20201105,"83,863,801",127.0705,37.56771,11,서울특별시,1123,동대문구,11230660,장안2동,목,20,FEMALE,6,23,5
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,11,MALE,6,15,7
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,22,MALE,4,19,23
20201105,"80,343,588",126.9474,37.37206,41,경기도,4117,안양시,41173580,호계1동,목,5,MALE,4,6,3
20201105,"102,496,369",127.722,34.74322,46,전라남도,4613,여수시,46130625,광림동,목,14,MALE,7,12,4
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,20,MALE,5,28,6
20201105,"79,911,943",126.9311,37.5198,11,서울특별시,1156,영등포구,11560540,여의동,목,16,MALE,5,14,9
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,18,MALE,5,28,20
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,17,MALE,2,32,14
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,8,MALE,5,10,10
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,7,FEMALE,6,11,8
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,14,MALE,1,9,6
20201105,"101,408,483",127.6849,34.76402,46,전라남도,4613,여수시,46130790,시전동,목,6,FEMALE,6,4,4
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,3,MALE,5,21,9
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,23,MALE,2,20,9
20201105,"83,784,400",127.0662,37.83539,41,경기도,4163,양주시,41630550,회천3동,목,0,MALE,1,33,3
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,2,MALE,3,15,4
20201105,"83,368,146",127.0521,37.70915,41,경기도,4115,의정부시,41150561,장암동,목,21,MALE,4,4,4
20201105,"83,368,146",127.0521,37.70915,41,경기도,4115,의정부시,41150561,장암동,목,8,FEMALE,4,6,4
20201105,"127,809,284",128.6013,35.86414,27,대구광역시,2711,중구,27110545,삼덕동,목,10,MALE,1,4,4
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,2,MALE,1,8,8
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,18,FEMALE,5,8,3
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,15,MALE,3,5,9
20201105,"125,121,340",128.5076,35.81448,27,대구광역시,2729,달서구,27290615,진천동,목,17,MALE,4,5,4
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,5,MALE,5,35,6
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,8,MALE,1,25,6
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,7,MALE,4,12,3
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,14,MALE,5,8,9
20201105,"76,056,105",126.795,37.48346,41,경기도,4119,부천시,41190603,심곡동,목,6,FEMALE,7,7,3
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,21,FEMALE,3,8,8
