tDate,Country,City,Temp,Humidity,Rain,Snow
2022-10-11,Australia,Canberra,13.82,72.54,1.33,0
2022-10-11,Austria,Vienna,15.92,76.12,1.85,0
2022-10-11,Belgium,Brussels,9.23,81.16,0,0
2022-10-11,Canada,Ottawa,7.79,72.08,0,0
2022-10-11,Chile,Santiago,15.9,55.08,0,0
2022-10-11,China,Beijing,10.1,23,0,0
2022-10-11,Colombia,Bogota,12.42,76.16,0.81,0
2022-10-11,Costa Rica,Sanjose,21.4,83.25,0,0
2022-10-11,Czechia,Prague,11.11,85.08,0.42,0
2022-10-11,Denmark,Copenhagen,10.37,81,0,0
2022-10-11,Estonia,Tallinn,8.41,86.08,0.42,0
2022-10-11,Finland,Helsinki,8.7,86.95,1.71,0
2022-10-11,France,Paris,13.27,73,0,0
2022-10-11,Germany,Berlin,11.89,73.79,0,0
2022-10-11,Greece,Athens,20.81,61.41,0,0
2022-10-11,Hungary,Budapest,15.4,70.16,0,0
2022-10-11,Iceland,Reykjavik,6.06,82,0.15,0
2022-10-11,Ireland,Dublin,11.61,73.58,0.12,0
2022-10-11,Israel,Jerusalem,20.37,76.16,0,0
2022-10-11,Italy,Rome,19.79,75.45,1.42,0
2022-10-11,Japan,Tokyo,21.39,56.95,0,0
2022-10-11,Latvia,Riga,9.25,79.66,0,0
2022-10-11,Lithuania,Vilnius,7.89,80.08,0,0
2022-10-11,Luxembourg,Luxembourg,9.96,81.08,0,0
2022-10-11,Mexico,Mexico City,16.24,66,0,0
2022-10-11,Netherlands,Amsterdam,10.57,80.29,0,0
2022-10-11,New Zealand,Wellington,12.72,79.87,0,0
2022-10-11,Norway,Oslo,7.89,30.33,0,0
2022-10-11,Poland,Warsaw,10.95,80.79,0.27,0
2022-10-11,Portugal,Lisbon,19.71,80.37,3.46,0
2022-10-11,Slovakia,Bratislava,14.31,72.33,0.18,0
2022-10-11,Slovenia,Ljubljana,13.57,84.66,0,0
2022-10-11,South Korea,Seoul,10.37,71.75,0,0
2022-10-11,Spain,Madrid,17.74,79.12,0,0
2022-10-11,Sweden,Stockholm,9.15,78.91,1.75,0
2022-10-11,Switzerland,Bern,13.65,80.54,0,0
2022-10-11,Taiwan,Taipei,20.94,73.54,0.75,0
2022-10-11,Turkey,Ankara,13.94,62.16,0,0
2022-10-11,United Kingdom,London,11.24,70.75,0,0
2022-10-11,United States,Washington D.C.,15.95,64.29,0,0
2022-10-10,Australia,Canberra,11.65,71.45,0.38,0
2022-10-10,Austria,Vienna,13.95,71.2,0,0
2022-10-10,Belgium,Brussels,11.69,84.41,0,0
2022-10-10,Canada,Ottawa,6.27,69.79,0,0
2022-10-10,Chile,Santiago,17.14,41.87,0,0
2022-10-10,China,Beijing,9.14,16.54,0,0
2022-10-10,Colombia,Bogota,13.29,75.25,0,0
2022-10-10,Costa Rica,Sanjose,19.84,89.87,0,0
2022-10-10,Czechia,Prague,11.31,80.45,0.51,0
2022-10-10,Denmark,Copenhagen,11.97,80.66,1.57,0
2022-10-10,Estonia,Tallinn,9.95,83.58,0,0
2022-10-10,Finland,Helsinki,10.64,84.91,0,0
2022-10-10,France,Paris,14.88,82.12,0,0
2022-10-10,Germany,Berlin,12.3,71.62,0,0
2022-10-10,Greece,Athens,21.14,53.83,0,0
2022-10-10,Hungary,Budapest,14.23,58.2,0,0
2022-10-10,Iceland,Reykjavik,2.64,60.79,0.85,0
2022-10-10,Ireland,Dublin,9.91,78.95,0,0
2022-10-10,Israel,Jerusalem,19.47,72.45,0,0
2022-10-10,Italy,Rome,20.1,72.16,1.11,0
2022-10-10,Japan,Tokyo,22.07,77.58,0,0
2022-10-10,Latvia,Riga,8.74,83.37,0,0
2022-10-10,Lithuania,Vilnius,7.28,89.41,0,0
2022-10-10,Luxembourg,Luxembourg,11.88,86,0,0
2022-10-10,Mexico,Mexico City,15.4,67.33,0,0
2022-10-10,Netherlands,Amsterdam,10.92,81.58,0,0
2022-10-10,New Zealand,Wellington,14.58,78.95,3.47,0
2022-10-10,Norway,Oslo,10.2,1,1.75,0
2022-10-10,Poland,Warsaw,9.84,81.04,0,0
2022-10-10,Portugal,Lisbon,17.39,90.16,5.04,0
2022-10-10,Slovakia,Bratislava,13.01,67.75,0,0
2022-10-10,Slovenia,Ljubljana,13.44,83.04,0,0
2022-10-10,South Korea,Seoul,9.21,66.79,0.68,0
2022-10-10,Spain,Madrid,17.41,76.54,0,0
2022-10-10,Sweden,Stockholm,10.7,81.04,0.8,0
2022-10-10,Switzerland,Bern,14.35,81.5,0,0
2022-10-10,Taiwan,Taipei,20.9,68.29,0,0
2022-10-10,Turkey,Ankara,13.52,67.66,0,0
2022-10-10,United Kingdom,London,12.49,73.62,1.6,0
2022-10-10,United States,Washington D.C.,13.75,64.37,0,0
2022-10-09,Australia,Canberra,7.89,78.95,0.42,0
2022-10-09,Austria,Vienna,13.88,65.79,0.12,0
2022-10-09,Belgium,Brussels,10.75,75.87,0,0
2022-10-09,Canada,Ottawa,8.78,68.91,2.87,0
2022-10-09,Chile,Santiago,17.36,43.79,0,0
2022-10-09,China,Beijing,11.98,22.37,0,0
2022-10-09,Colombia,Bogota,13.37,75.58,0.97,0
2022-10-09,Costa Rica,Sanjose,18.19,95.37,0,0
2022-10-09,Czechia,Prague,9.81,78.29,0,0
2022-10-09,Denmark,Copenhagen,10.77,82.25,0,0
2022-10-09,Estonia,Tallinn,9.23,83.91,0,0
2022-10-09,Finland,Helsinki,8.44,78.87,0,0
2022-10-09,France,Paris,12.83,72.16,0,0
2022-10-09,Germany,Berlin,11.62,75.29,0,0
2022-10-09,Greece,Athens,20.83,52.87,0,0
2022-10-09,Hungary,Budapest,16.08,70.62,0,0
2022-10-09,Iceland,Reykjavik,3.73,73.83,1.96,0
2022-10-09,Ireland,Dublin,12.68,81.75,10.75,0
2022-10-09,Israel,Jerusalem,18.89,75.41,0,0
2022-10-09,Italy,Rome,20.34,70.25,0,0
2022-10-09,Japan,Tokyo,17.46,82.29,10.11,0
2022-10-09,Latvia,Riga,9.85,81.08,0,0
2022-10-09,Lithuania,Vilnius,10.32,82,0,0
2022-10-09,Luxembourg,Luxembourg,9.52,76.5,0,0
2022-10-09,Mexico,Mexico City,15.25,72.45,0,0
2022-10-09,Netherlands,Amsterdam,11.32,76.25,0,0
2022-10-09,New Zealand,Wellington,14.3,71.7,0,0
2022-10-09,Norway,Oslo,9.67,19.41,0.21,0
2022-10-09,Poland,Warsaw,10.06,87.79,0,0
2022-10-09,Portugal,Lisbon,18.3,79.16,0.48,0
2022-10-09,Slovakia,Bratislava,13.61,68,0.13,0
2022-10-09,Slovenia,Ljubljana,13.43,87.41,0,0
2022-10-09,South Korea,Seoul,12.17,83.41,20.27,0
2022-10-09,Spain,Madrid,19.58,60.2,0,0
2022-10-09,Sweden,Stockholm,8.31,77.83,0,0
2022-10-09,Switzerland,Bern,11.95,82.66,0,0
2022-10-09,Taiwan,Taipei,23.17,81.58,0,0
2022-10-09,Turkey,Ankara,13.29,81.7,0,0
2022-10-09,United Kingdom,London,12.88,71.25,0,0
2022-10-09,United States,Washington D.C.,12.04,62.08,0,0
2022-10-08,Australia,Canberra,10.33,87.75,20.82,0
2022-10-08,Austria,Vienna,16.36,79.16,0,0
2022-10-08,Belgium,Brussels,11.89,78.45,0,0
2022-10-08,Canada,Ottawa,4.78,74.7,0,0
2022-10-08,Chile,Santiago,16.05,61.7,0,0
2022-10-08,China,Beijing,11.6,50.66,0.65,0
2022-10-08,Colombia,Bogota,12.71,80.75,3.18,0
2022-10-08,Costa Rica,Sanjose,20.45,78.79,0,0
2022-10-08,Czechia,Prague,12.99,84.12,2.43,0
2022-10-08,Denmark,Copenhagen,12.36,77.95,0,0
2022-10-08,Estonia,Tallinn,11.81,82.5,0,0
2022-10-08,Finland,Helsinki,10.9,87.29,1.47,0
2022-10-08,France,Paris,13.6,71.75,0,0
2022-10-08,Germany,Berlin,12.78,73.66,0.13,0
2022-10-08,Greece,Athens,20.74,48.37,0,0
2022-10-08,Hungary,Budapest,14.92,76.91,0,0
2022-10-08,Iceland,Reykjavik,5.98,78.33,0,0
2022-10-08,Ireland,Dublin,11.58,78.62,0,0
2022-10-08,Israel,Jerusalem,19.22,75.66,0,0
2022-10-08,Italy,Rome,20.67,70.95,0,0
2022-10-08,Japan,Tokyo,17.8,73.75,0.89,0
2022-10-08,Latvia,Riga,11.56,78.04,0,0
2022-10-08,Lithuania,Vilnius,11.92,87.7,0,0
2022-10-08,Luxembourg,Luxembourg,9.41,81.41,0,0
2022-10-08,Mexico,Mexico City,15.99,69.91,0,0
2022-10-08,Netherlands,Amsterdam,12.47,79.54,0,0
2022-10-08,New Zealand,Wellington,13.26,71.04,0,0
2022-10-08,Norway,Oslo,9.46,32.83,0,0
2022-10-08,Poland,Warsaw,14.82,86.83,0,0
2022-10-08,Portugal,Lisbon,20.6,69.04,0,0
2022-10-08,Slovakia,Bratislava,15.06,82.16,0,0
2022-10-08,Slovenia,Ljubljana,13.94,87.87,0,0
2022-10-08,South Korea,Seoul,15.83,60.7,0,0
2022-10-08,Spain,Madrid,19.57,56.54,0,0
2022-10-08,Sweden,Stockholm,11.26,79.2,0.32,0
2022-10-08,Switzerland,Bern,14,85.79,3.92,0
2022-10-08,Taiwan,Taipei,23.48,84.04,0,0
2022-10-08,Turkey,Ankara,12.04,88.37,1.77,0
2022-10-08,United Kingdom,London,12,76.54,0,0
2022-10-08,United States,Washington D.C.,14.21,59.12,0,0
2022-10-07,Australia,Canberra,13.77,94.33,14.05,0
2022-10-07,Austria,Vienna,16.46,78.75,0,0
2022-10-07,Belgium,Brussels,12.44,77.7,0,0
2022-10-07,Canada,Ottawa,11.98,83.7,1.31,0
2022-10-07,Chile,Santiago,18.35,48.83,0,0
2022-10-07,China,Beijing,13.14,50.29,0,0
2022-10-07,Colombia,Bogota,12.5,88.37,0,0
2022-10-07,Costa Rica,Sanjose,20.15,80.79,0,0
2022-10-07,Czechia,Prague,11.47,87.5,0,0
2022-10-07,Denmark,Copenhagen,13.26,81,0,0
2022-10-07,Estonia,Tallinn,13,76,0,0
2022-10-07,Finland,Helsinki,12.65,80.79,0,0
2022-10-07,France,Paris,13.39,71.37,0,0
2022-10-07,Germany,Berlin,13.27,67.62,0,0
2022-10-07,Greece,Athens,20.22,51.08,0,0
2022-10-07,Hungary,Budapest,16.54,73.83,0,0
2022-10-07,Iceland,Reykjavik,5.27,68.33,0,0
2022-10-07,Ireland,Dublin,12.86,79.12,1.78,0
2022-10-07,Israel,Jerusalem,19.77,81.04,0,0
2022-10-07,Italy,Rome,20.73,70.58,0,0
2022-10-07,Japan,Tokyo,12.66,93.62,10.82,0
2022-10-07,Latvia,Riga,12.42,78,0,0
2022-10-07,Lithuania,Vilnius,10.26,83.04,0,0
2022-10-07,Luxembourg,Luxembourg,10.85,82.12,0,0
2022-10-07,Mexico,Mexico City,16.68,69.91,0.48,0
2022-10-07,Netherlands,Amsterdam,13.48,79.37,0,0
2022-10-07,New Zealand,Wellington,8.89,74.79,0,0
2022-10-07,Norway,Oslo,12.26,1,0.69,0
2022-10-07,Poland,Warsaw,13.01,80.37,0,0
2022-10-07,Portugal,Lisbon,21.41,60.45,0,0
2022-10-07,Slovakia,Bratislava,15.74,78.7,0,0
2022-10-07,Slovenia,Ljubljana,14.2,84.33,0,0
2022-10-07,South Korea,Seoul,13.92,70.33,0,0
2022-10-07,Spain,Madrid,19.18,62.12,0,0
2022-10-07,Sweden,Stockholm,13.14,79.66,0.21,0
2022-10-07,Switzerland,Bern,14.47,80,0,0
2022-10-07,Taiwan,Taipei,24.65,73.87,0.12,0
2022-10-07,Turkey,Ankara,12.95,72.16,2.99,0
2022-10-07,United Kingdom,London,14.73,81.62,1,0
2022-10-07,United States,Washington D.C.,19.25,68.95,0,0
2022-10-06,Australia,Canberra,12.01,93.54,2.18,0
2022-10-06,Austria,Vienna,17.23,72.45,0,0
2022-10-06,Belgium,Brussels,12.9,74.33,0,0
2022-10-06,Canada,Ottawa,15.4,73.04,0,0
2022-10-06,Chile,Santiago,15.26,58.7,0,0
2022-10-06,China,Beijing,10.44,37.08,0,0
2022-10-06,Colombia,Bogota,13,85.87,0.69,0
2022-10-06,Costa Rica,Sanjose,20.26,77.2,0,0
2022-10-06,Czechia,Prague,13.6,79.37,0,0
2022-10-06,Denmark,Copenhagen,14.22,74.2,0,0
2022-10-06,Estonia,Tallinn,13.13,81.16,0.36,0
2022-10-06,Finland,Helsinki,12.15,84.7,0.36,0
2022-10-06,France,Paris,14.25,71.95,0,0
2022-10-06,Germany,Berlin,15.65,66.29,0,0
2022-10-06,Greece,Athens,19.44,51.08,0,0
2022-10-06,Hungary,Budapest,14.98,75.33,0,0
2022-10-06,Iceland,Reykjavik,5.06,75.5,0,0
2022-10-06,Ireland,Dublin,14.16,79.95,0,0
2022-10-06,Israel,Jerusalem,21.85,72.29,0,0
2022-10-06,Italy,Rome,20.67,70,0,0
2022-10-06,Japan,Tokyo,12.98,86,4.68,0
2022-10-06,Latvia,Riga,12.79,81.87,0,0
2022-10-06,Lithuania,Vilnius,11,86.91,0,0
2022-10-06,Luxembourg,Luxembourg,11.7,80.12,0,0
2022-10-06,Mexico,Mexico City,15.97,77.83,1.79,0
2022-10-06,Netherlands,Amsterdam,13.96,67.87,0,0
2022-10-06,New Zealand,Wellington,8.58,62.08,0,0
