tDate,Country,Number,HolidayName
2024-12-31,Iceland,1,New Year`s Eve (from noon)
2024-12-31,Latvia,1,New Year`s Eve
2024-12-26,Australia,1,Boxing Day
2024-12-26,Austria,1,St. Stephen`s Day
2024-12-26,Canada,1,Boxing Day
2024-12-26,Czechia,1,St. Stephen`s Day
2024-12-26,Denmark,1,2nd Christmas Day
2024-12-26,Estonia,1,Boxing Day
2024-12-26,Finland,1,Boxing Day
2024-12-26,Germany,1,Boxing Day
2024-12-26,Greece,1,Synaxis of the Mother of God
2024-12-26,Hungary,1,Second Day of Christmas
2024-12-26,Iceland,1,Second Day of Christmas
2024-12-26,Ireland,1,St. Stephen`s Day
2024-12-26,Italy,1,St. Stephen`s Day
2024-12-26,Latvia,1,Second Day of Christmas
2024-12-26,Lithuania,1,Second Day of Christmas
2024-12-26,Luxembourg,1,St Stephen`s Day
2024-12-26,Netherlands,1,Second Day of Christmas
2024-12-26,New Zealand,1,Boxing Day
2024-12-26,Norway,1,Boxing Day
2024-12-26,Poland,1,Second Day of Christmas
2024-12-26,Slovakia,1,St. Stephen`s Day
2024-12-26,Slovenia,1,Independence and Unity Day
2024-12-26,Sweden,1,Boxing Day
2024-12-26,United Kingdom,1,Boxing Day
2024-12-25,Australia,1,Christmas Day
2024-12-25,Austria,1,Christmas Day
2024-12-25,Belgium,1,Christmas Day
2024-12-25,Canada,1,Christmas Day
2024-12-25,Chile,1,Christmas Day
2024-12-25,Colombia,1,Christmas Day
2024-12-25,Costa Rica,1,Christmas Day
2024-12-25,Czechia,1,Christmas Day
2024-12-25,Denmark,1,Christmas Day
2024-12-25,Estonia,1,Christmas Day
2024-12-25,Finland,1,Christmas Day
2024-12-25,France,1,Christmas Day
2024-12-25,Germany,1,Christmas Day
2024-12-25,Greece,1,Christmas Day
2024-12-25,Hungary,1,Christmas Day
2024-12-25,Iceland,1,Christmas Day
2024-12-25,Ireland,1,Christmas Day
2024-12-25,Italy,1,Christmas Day
2024-12-25,Latvia,1,Christmas Day
2024-12-25,Lithuania,1,Christmas Day
2024-12-25,Luxembourg,1,Christmas Day
2024-12-25,Mexico,1,Christmas Day
2024-12-25,Netherlands,1,Christmas Day
2024-12-25,New Zealand,1,Christmas Day
2024-12-25,Norway,1,Christmas Day
2024-12-25,Poland,1,Christmas Day
2024-12-25,Portugal,1,Christmas Day
2024-12-25,Slovakia,1,Christmas Day
2024-12-25,Slovenia,1,Christmas Day
2024-12-25,South Korea,1,Christmas Day
2024-12-25,Spain,1,Christmas Day
2024-12-25,Sweden,1,Christmas Day
2024-12-25,United Kingdom,1,Christmas Day
2024-12-25,United States,1,Christmas Day
2024-12-24,Czechia,1,Christmas Eve
2024-12-24,Estonia,1,Christmas Eve
2024-12-24,Finland,1,Christmas Eve
2024-12-24,Iceland,1,Christmas Eve (from noon)
2024-12-24,Latvia,1,Christmas Eve
2024-12-24,Lithuania,1,Christmas Eve
2024-12-24,Slovakia,1,Christmas Eve
2024-12-09,Spain,1,Immaculate Conception observed
2024-12-08,Austria,1,Immaculate Conception
2024-12-08,Chile,1,Inmaculate Conception Day
2024-12-08,Colombia,1,Feast of the Immaculate Conception
2024-12-08,Italy,1,Feast of the Immaculate Conception
2024-12-08,Portugal,1,Feast of the Immaculate Conception
2024-12-08,Spain,1,Immaculate Conception
2024-12-06,Finland,1,Independence Day
2024-12-01,Costa Rica,1,Day of Abolition of the Army
2024-12-01,Mexico,1,Inauguration day
2024-12-01,Portugal,1,Restoration of Independence
2024-11-28,United States,1,Thanksgiving Day
