tDate,Country,Variant,total_sequences,cluster_sequences,proportion
2020-04-27,Australia,20I.Alpha.V1,21,0,0.000000000000
2020-04-27,Australia,21A.Delta,21,0,0.000000000000
2020-04-27,Austria,20H.Beta.V2,5,0,0.000000000000
2020-04-27,Austria,20I.Alpha.V1,5,0,0.000000000000
2020-04-27,Austria,21A.Delta,5,0,0.000000000000
2020-04-27,Belgium,20H.Beta.V2,19,0,0.000000000000
2020-04-27,Belgium,20I.Alpha.V1,19,0,0.000000000000
2020-04-27,Belgium,20J.Gamma.V3,19,0,0.000000000000
2020-04-27,Belgium,21A.Delta,19,0,0.000000000000
2020-04-27,Canada,20H.Beta.V2,137,0,0.000000000000
2020-04-27,Canada,20I.Alpha.V1,137,0,0.000000000000
2020-04-27,Canada,20J.Gamma.V3,137,0,0.000000000000
2020-04-27,Canada,21A.Delta,137,0,0.000000000000
2020-04-27,Canada,21C.Epsilon,137,0,0.000000000000
2020-04-27,Canada,21D.Eta,137,0,0.000000000000
2020-04-27,Chile,20J.Gamma.V3,20,0,0.000000000000
2020-04-27,Chile,21G.Lambda,20,0,0.000000000000
2020-04-27,Colombia,20J.Gamma.V3,13,0,0.000000000000
2020-04-27,Czechia,20I.Alpha.V1,0,0,0.000000000000
2020-04-27,Denmark,20I.Alpha.V1,23,0,0.000000000000
2020-04-27,Denmark,21A.Delta,23,0,0.000000000000
2020-04-27,Denmark,21D.Eta,23,0,0.000000000000
2020-04-27,Finland,20H.Beta.V2,14,0,0.000000000000
2020-04-27,Finland,20I.Alpha.V1,14,0,0.000000000000
2020-04-27,France,20H.Beta.V2,19,0,0.000000000000
2020-04-27,France,20I.Alpha.V1,19,0,0.000000000000
2020-04-27,France,20J.Gamma.V3,19,0,0.000000000000
2020-04-27,France,21A.Delta,19,0,0.000000000000
2020-04-27,France,21D.Eta,19,0,0.000000000000
2020-04-27,Germany,20H.Beta.V2,18,0,0.000000000000
2020-04-27,Germany,20I.Alpha.V1,18,0,0.000000000000
2020-04-27,Germany,20J.Gamma.V3,18,0,0.000000000000
2020-04-27,Germany,21A.Delta,18,0,0.000000000000
2020-04-27,Germany,21D.Eta,18,0,0.000000000000
2020-04-27,Greece,20I.Alpha.V1,1,0,0.000000000000
2020-04-27,Ireland,20I.Alpha.V1,21,0,0.000000000000
2020-04-27,Ireland,21A.Delta,21,0,0.000000000000
2020-04-27,Israel,20H.Beta.V2,0,0,0.000000000000
2020-04-27,Israel,20I.Alpha.V1,0,0,0.000000000000
2020-04-27,Italy,20I.Alpha.V1,21,0,0.000000000000
2020-04-27,Italy,20J.Gamma.V3,21,0,0.000000000000
2020-04-27,Italy,21A.Delta,21,0,0.000000000000
2020-04-27,Italy,21D.Eta,21,0,0.000000000000
2020-04-27,Japan,20I.Alpha.V1,77,0,0.000000000000
2020-04-27,Japan,21A.Delta,77,0,0.000000000000
2020-04-27,Latvia,20I.Alpha.V1,3,0,0.000000000000
2020-04-27,Luxembourg,20H.Beta.V2,1,0,0.000000000000
2020-04-27,Luxembourg,20I.Alpha.V1,1,0,0.000000000000
2020-04-27,Mexico,20I.Alpha.V1,26,0,0.000000000000
2020-04-27,Mexico,20J.Gamma.V3,26,0,0.000000000000
2020-04-27,Mexico,21A.Delta,26,0,0.000000000000
2020-04-27,Mexico,21C.Epsilon,26,0,0.000000000000
2020-04-27,Netherlands,20H.Beta.V2,37,0,0.000000000000
2020-04-27,Netherlands,20I.Alpha.V1,37,0,0.000000000000
