tDate,Country,Vaccine,NumberOfVaccinated
2020-12-24,Chile,Pfizer/BioNTech,420
2020-12-25,Chile,Pfizer/BioNTech,5198
2020-12-26,Chile,Pfizer/BioNTech,8338
2020-12-27,Chile,Pfizer/BioNTech,8649
2020-12-27,Czechia,Pfizer/BioNTech,1253
2020-12-27,France,Pfizer/BioNTech,20
2020-12-27,Germany,Johnson&Johnson,0
2020-12-27,Germany,Moderna,1
2020-12-27,Germany,Oxford/AstraZeneca,0
2020-12-27,Germany,Pfizer/BioNTech,23272
2020-12-27,Italy,Pfizer/BioNTech,7217
2020-12-27,Lithuania,Pfizer/BioNTech,2454
2020-12-28,Chile,Pfizer/BioNTech,8649
2020-12-28,Czechia,Pfizer/BioNTech,3544
2020-12-28,France,Pfizer/BioNTech,90
2020-12-28,Germany,Johnson&Johnson,0
2020-12-28,Germany,Moderna,1
2020-12-28,Germany,Oxford/AstraZeneca,0
2020-12-28,Germany,Pfizer/BioNTech,40910
2020-12-28,Italy,Pfizer/BioNTech,8646
2020-12-28,Latvia,Pfizer/BioNTech,595
2020-12-28,Lithuania,Pfizer/BioNTech,5211
2020-12-29,Chile,Pfizer/BioNTech,8649
2020-12-29,Czechia,Pfizer/BioNTech,6993
2020-12-29,Estonia,Pfizer/BioNTech,2
2020-12-29,Finland,Johnson&Johnson,0
2020-12-29,Finland,Moderna,42
2020-12-29,Finland,Oxford/AstraZeneca,0
2020-12-29,Finland,Pfizer/BioNTech,25
2020-12-29,France,Pfizer/BioNTech,198
2020-12-29,Germany,Johnson&Johnson,0
2020-12-29,Germany,Moderna,1
2020-12-29,Germany,Oxford/AstraZeneca,0
2020-12-29,Germany,Pfizer/BioNTech,90352
2020-12-29,Hungary,Pfizer/BioNTech,1097
2020-12-29,Iceland,Johnson&Johnson,0
2020-12-29,Iceland,Moderna,0
2020-12-29,Iceland,Oxford/AstraZeneca,0
2020-12-29,Iceland,Pfizer/BioNTech,2524
2020-12-29,Ireland,Pfizer/BioNTech,0
2020-12-29,Italy,Pfizer/BioNTech,9661
2020-12-29,Latvia,Pfizer/BioNTech,1468
2020-12-29,Lithuania,Pfizer/BioNTech,8185
2020-12-29,Luxembourg,Pfizer/BioNTech,0
2020-12-29,Netherlands,Johnson&Johnson,0
2020-12-29,Netherlands,Moderna,0
2020-12-29,Netherlands,Oxford/AstraZeneca,0
2020-12-29,Netherlands,Pfizer/BioNTech,0
2020-12-29,Poland,Johnson&Johnson,0
2020-12-29,Poland,Moderna,0
2020-12-29,Poland,Oxford/AstraZeneca,0
2020-12-29,Poland,Pfizer/BioNTech,2216
2020-12-29,Portugal,Pfizer/BioNTech,4979
2020-12-29,Slovakia,Moderna,0
2020-12-29,Slovakia,Oxford/AstraZeneca,0
2020-12-29,Slovakia,Pfizer/BioNTech,0
2020-12-29,Slovenia,Pfizer/BioNTech,6089
2020-12-29,Sweden,Pfizer/BioNTech,2236
2020-12-30,Chile,Pfizer/BioNTech,8649
2020-12-30,Czechia,Pfizer/BioNTech,10470
2020-12-30,France,Pfizer/BioNTech,320
2020-12-30,Germany,Johnson&Johnson,0
2020-12-30,Germany,Moderna,1
2020-12-30,Germany,Oxford/AstraZeneca,0
2020-12-30,Germany,Pfizer/BioNTech,152015
2020-12-30,Iceland,Johnson&Johnson,0
2020-12-30,Iceland,Moderna,0
2020-12-30,Iceland,Oxford/AstraZeneca,0
2020-12-30,Iceland,Pfizer/BioNTech,4940
2020-12-30,Italy,Pfizer/BioNTech,14393
2020-12-30,Latvia,Pfizer/BioNTech,2261
2020-12-30,Lithuania,Pfizer/BioNTech,9717
2020-12-31,Chile,Pfizer/BioNTech,8649
2020-12-31,Czechia,Pfizer/BioNTech,11776
2020-12-31,France,Pfizer/BioNTech,405
2020-12-31,Germany,Johnson&Johnson,0
2020-12-31,Germany,Moderna,1
2020-12-31,Germany,Oxford/AstraZeneca,0
2020-12-31,Germany,Pfizer/BioNTech,202034
2020-12-31,Iceland,Johnson&Johnson,0
2020-12-31,Iceland,Moderna,0
2020-12-31,Iceland,Oxford/AstraZeneca,0
2020-12-31,Iceland,Pfizer/BioNTech,4940
2020-12-31,Italy,Pfizer/BioNTech,39888
2020-12-31,Lithuania,Pfizer/BioNTech,9742
2021-01-01,Chile,Pfizer/BioNTech,8649
2021-01-01,Czechia,Pfizer/BioNTech,12037
2021-01-01,France,Pfizer/BioNTech,478
2021-01-01,Germany,Johnson&Johnson,0
2021-01-01,Germany,Moderna,6
2021-01-01,Germany,Oxford/AstraZeneca,3
2021-01-01,Germany,Pfizer/BioNTech,220814
2021-01-01,Iceland,Johnson&Johnson,0
2021-01-01,Iceland,Moderna,0
2021-01-01,Iceland,Oxford/AstraZeneca,0
2021-01-01,Iceland,Pfizer/BioNTech,4940
2021-01-01,Italy,Pfizer/BioNTech,50954
2021-01-01,Lithuania,Pfizer/BioNTech,9742
2021-01-02,Chile,Pfizer/BioNTech,8649
2021-01-02,Czechia,Pfizer/BioNTech,13303
2021-01-02,France,Pfizer/BioNTech,566
2021-01-02,Germany,Johnson&Johnson,0
2021-01-02,Germany,Moderna,6
2021-01-02,Germany,Oxford/AstraZeneca,3
2021-01-02,Germany,Pfizer/BioNTech,273108
2021-01-02,Iceland,Johnson&Johnson,0
2021-01-02,Iceland,Moderna,0
2021-01-02,Iceland,Oxford/AstraZeneca,0
2021-01-02,Iceland,Pfizer/BioNTech,4940
2021-01-02,Italy,Pfizer/BioNTech,89466
2021-01-02,Lithuania,Pfizer/BioNTech,9742
2021-01-03,Chile,Pfizer/BioNTech,8649
2021-01-03,Czechia,Pfizer/BioNTech,14217
2021-01-03,France,Pfizer/BioNTech,658
2021-01-03,Germany,Johnson&Johnson,0
2021-01-03,Germany,Moderna,6
2021-01-03,Germany,Oxford/AstraZeneca,3
2021-01-03,Germany,Pfizer/BioNTech,296740
2021-01-03,Iceland,Johnson&Johnson,0
2021-01-03,Iceland,Moderna,0
2021-01-03,Iceland,Oxford/AstraZeneca,0
2021-01-03,Iceland,Pfizer/BioNTech,4940
2021-01-03,Italy,Pfizer/BioNTech,124670
2021-01-03,Lithuania,Pfizer/BioNTech,9742
2021-01-04,Chile,Pfizer/BioNTech,9054
2021-01-04,Czechia,Pfizer/BioNTech,17792
2021-01-04,France,Pfizer/BioNTech,2137
2021-01-04,Germany,Johnson&Johnson,0
2021-01-04,Germany,Moderna,7
2021-01-04,Germany,Oxford/AstraZeneca,3
2021-01-04,Germany,Pfizer/BioNTech,343961
2021-01-04,Iceland,Johnson&Johnson,0
2021-01-04,Iceland,Moderna,0
2021-01-04,Iceland,Oxford/AstraZeneca,0
2021-01-04,Iceland,Pfizer/BioNTech,4940
2021-01-04,Italy,Pfizer/BioNTech,193444
2021-01-04,Latvia,Pfizer/BioNTech,2960
2021-01-04,Lithuania,Pfizer/BioNTech,9744
2021-01-05,Austria,Johnson&Johnson,0
2021-01-05,Austria,Moderna,0
2021-01-05,Austria,Oxford/AstraZeneca,0
2021-01-05,Austria,Pfizer/BioNTech,30859
2021-01-05,Belgium,Pfizer/BioNTech,27525
2021-01-05,Chile,Pfizer/BioNTech,10497
2021-01-05,Czechia,Pfizer/BioNTech,22284
2021-01-05,Denmark,Pfizer/BioNTech,112341
2021-01-05,Estonia,Pfizer/BioNTech,91
2021-01-05,Finland,Johnson&Johnson,0
2021-01-05,Finland,Moderna,191
2021-01-05,Finland,Oxford/AstraZeneca,141
2021-01-05,Finland,Pfizer/BioNTech,20921
2021-01-05,France,Pfizer/BioNTech,7537
2021-01-05,Germany,Johnson&Johnson,0
2021-01-05,Germany,Moderna,8
2021-01-05,Germany,Oxford/AstraZeneca,3
2021-01-05,Germany,Pfizer/BioNTech,397048
2021-01-05,Hungary,Pfizer/BioNTech,72060
2021-01-05,Iceland,Johnson&Johnson,0
2021-01-05,Iceland,Moderna,1
2021-01-05,Iceland,Oxford/AstraZeneca,0
2021-01-05,Iceland,Pfizer/BioNTech,4947
2021-01-05,Ireland,Moderna,0
2021-01-05,Ireland,Pfizer/BioNTech,50400
2021-01-05,Italy,Pfizer/BioNTech,273066
2021-01-05,Latvia,Pfizer/BioNTech,3849
2021-01-05,Lithuania,Pfizer/BioNTech,10367
2021-01-05,Luxembourg,Pfizer/BioNTech,1706
2021-01-05,Netherlands,Johnson&Johnson,0
2021-01-05,Netherlands,Moderna,0
2021-01-05,Netherlands,Oxford/AstraZeneca,0
2021-01-05,Netherlands,Pfizer/BioNTech,33757
2021-01-05,Poland,Johnson&Johnson,0
2021-01-05,Poland,Moderna,0
2021-01-05,Poland,Oxford/AstraZeneca,1
2021-01-05,Poland,Pfizer/BioNTech,213404
2021-01-05,Portugal,Moderna,1
2021-01-05,Portugal,Pfizer/BioNTech,83685
2021-01-05,Slovakia,Moderna,0
2021-01-05,Slovakia,Oxford/AstraZeneca,0
2021-01-05,Slovakia,Pfizer/BioNTech,25356
2021-01-05,Slovenia,Pfizer/BioNTech,30235
2021-01-05,Spain,Johnson&Johnson,0
2021-01-05,Spain,Moderna,0
2021-01-05,Spain,Oxford/AstraZeneca,0
2021-01-05,Spain,Pfizer/BioNTech,418973
2021-01-05,Sweden,Pfizer/BioNTech,50774
2021-01-06,Chile,Pfizer/BioNTech,10702
2021-01-06,Czechia,Pfizer/BioNTech,28105
2021-01-06,France,Pfizer/BioNTech,18853
2021-01-06,Germany,Johnson&Johnson,0
2021-01-06,Germany,Moderna,14
2021-01-06,Germany,Oxford/AstraZeneca,5
2021-01-06,Germany,Pfizer/BioNTech,459422
2021-01-06,Iceland,Johnson&Johnson,0
2021-01-06,Iceland,Moderna,1
2021-01-06,Iceland,Oxford/AstraZeneca,0
2021-01-06,Iceland,Pfizer/BioNTech,4947
2021-01-06,Italy,Pfizer/BioNTech,338062
2021-01-06,Latvia,Pfizer/BioNTech,4625
2021-01-06,Lithuania,Pfizer/BioNTech,13870
2021-01-07,Chile,Pfizer/BioNTech,10702
2021-01-07,Czechia,Pfizer/BioNTech,36048
2021-01-07,France,Pfizer/BioNTech,47425
2021-01-07,Germany,Johnson&Johnson,0
2021-01-07,Germany,Moderna,17
2021-01-07,Germany,Oxford/AstraZeneca,6
2021-01-07,Germany,Pfizer/BioNTech,514667
2021-01-07,Iceland,Johnson&Johnson,0
2021-01-07,Iceland,Moderna,1
2021-01-07,Iceland,Oxford/AstraZeneca,0
2021-01-07,Iceland,Pfizer/BioNTech,4947
2021-01-07,Italy,Pfizer/BioNTech,430156
2021-01-07,Latvia,Pfizer/BioNTech,5434
2021-01-07,Lithuania,Pfizer/BioNTech,18047
2021-01-08,Chile,Pfizer/BioNTech,10702
2021-01-08,Czechia,Pfizer/BioNTech,45991
2021-01-08,France,Pfizer/BioNTech,83701
2021-01-08,Germany,Johnson&Johnson,0
2021-01-08,Germany,Moderna,66
2021-01-08,Germany,Oxford/AstraZeneca,7
2021-01-08,Germany,Pfizer/BioNTech,577308
2021-01-08,Iceland,Johnson&Johnson,0
2021-01-08,Iceland,Moderna,1
2021-01-08,Iceland,Oxford/AstraZeneca,0
2021-01-08,Iceland,Pfizer/BioNTech,4947
2021-01-08,Italy,Moderna,2
2021-01-08,Italy,Pfizer/BioNTech,525703
2021-01-08,Latvia,Pfizer/BioNTech,6341
2021-01-08,Lithuania,Pfizer/BioNTech,23234
2021-01-09,Chile,Pfizer/BioNTech,10702
2021-01-09,Czechia,Pfizer/BioNTech,48003
2021-01-09,France,Pfizer/BioNTech,94629
2021-01-09,Germany,Johnson&Johnson,0
2021-01-09,Germany,Moderna,66
2021-01-09,Germany,Oxford/AstraZeneca,7
2021-01-09,Germany,Pfizer/BioNTech,637989
2021-01-09,Iceland,Johnson&Johnson,0
2021-01-09,Iceland,Moderna,1
2021-01-09,Iceland,Oxford/AstraZeneca,0
2021-01-09,Iceland,Pfizer/BioNTech,4947
2021-01-09,Italy,Pfizer/BioNTech,612555
2021-01-09,Latvia,Pfizer/BioNTech,6646
2021-01-09,Lithuania,Pfizer/BioNTech,23538
2021-01-10,Chile,Pfizer/BioNTech,10702
2021-01-10,Czechia,Pfizer/BioNTech,49754
2021-01-10,France,Pfizer/BioNTech,100254
2021-01-10,Germany,Johnson&Johnson,0
2021-01-10,Germany,Moderna,68
2021-01-10,Germany,Oxford/AstraZeneca,7
2021-01-10,Germany,Pfizer/BioNTech,673498
2021-01-10,Iceland,Johnson&Johnson,0
2021-01-10,Iceland,Moderna,1
