tDate,Country,VaccinatedRate
2020-12-02,Norway,0
2020-12-03,Norway,0
2020-12-04,Latvia,0
2020-12-04,Norway,0
2020-12-05,Latvia,0
2020-12-05,Norway,0
2020-12-06,Latvia,0
2020-12-06,Norway,0
2020-12-07,Latvia,0
2020-12-07,Norway,0
2020-12-08,Latvia,0
2020-12-08,Norway,0
2020-12-09,Latvia,0
2020-12-09,Norway,0
2020-12-10,Latvia,0
2020-12-10,Norway,0
2020-12-11,Latvia,0
2020-12-11,Norway,0
2020-12-12,Latvia,0
2020-12-12,Norway,0
2020-12-13,Latvia,0
2020-12-13,Norway,0
2020-12-13,United Kingdom,0.13
2020-12-14,Canada,0
2020-12-14,Latvia,0
2020-12-14,Norway,0
2020-12-14,United Kingdom,0
2020-12-15,Canada,0
2020-12-15,China,0
2020-12-15,Latvia,0
2020-12-15,Norway,0
2020-12-15,United Kingdom,0
2020-12-16,Canada,0.01
2020-12-16,China,0
2020-12-16,Latvia,0
2020-12-16,Norway,0
2020-12-16,United Kingdom,0
2020-12-17,Canada,0.02
2020-12-17,China,0
2020-12-17,Denmark,0
2020-12-17,Latvia,0
2020-12-17,Norway,0
2020-12-17,United Kingdom,0
2020-12-18,Canada,0.03
2020-12-18,China,0
2020-12-18,Denmark,0
2020-12-18,Latvia,0
2020-12-18,Norway,0
2020-12-18,United Kingdom,0
2020-12-19,Canada,0.03
2020-12-19,China,0
2020-12-19,Denmark,0
2020-12-19,Israel,0
2020-12-19,Latvia,0
2020-12-19,Norway,0
2020-12-19,United Kingdom,0
2020-12-20,Canada,0.03
2020-12-20,China,0
2020-12-20,Denmark,0
2020-12-20,Israel,0.08
2020-12-20,Latvia,0
2020-12-20,Norway,0
2020-12-20,United Kingdom,0.99
2020-12-20,United States,0.17
2020-12-21,Canada,0.05
2020-12-21,China,0
2020-12-21,Denmark,0
2020-12-21,Israel,0.37
2020-12-21,Latvia,0
2020-12-21,Norway,0
2020-12-21,United Kingdom,0
2020-12-21,United States,0.18
2020-12-22,Canada,0.07
2020-12-22,China,0
2020-12-22,Denmark,0
2020-12-22,Israel,0.88
2020-12-22,Latvia,0
2020-12-22,Norway,0
2020-12-22,Switzerland,0
2020-12-22,United Kingdom,0
2020-12-22,United States,0
2020-12-23,Canada,0.09
2020-12-23,China,0
2020-12-23,Denmark,0
2020-12-23,Israel,1.59
2020-12-23,Latvia,0
2020-12-23,Norway,0
2020-12-23,Switzerland,0
2020-12-23,United Kingdom,0
2020-12-23,United States,0.3
2020-12-24,Canada,0.12
2020-12-24,Chile,0
2020-12-24,China,0
2020-12-24,Costa Rica,0
2020-12-24,Denmark,0
2020-12-24,Israel,2.42
2020-12-24,Latvia,0
