tDate,BetweenAge18_23,BetweenAge24_29
2020-01-30,0,1
2020-01-31,0,2
2020-02-02,0,1
2020-02-05,1,0
2020-02-06,0,1
2020-02-19,2,6
2020-02-20,3,2
2020-02-21,7,10
2020-02-22,14,13
2020-02-23,19,36
2020-02-24,21,30
2020-02-25,18,23
2020-02-26,40,43
2020-02-27,86,94
2020-02-28,63,66
2020-02-29,127,188
2020-03-01,95,129
2020-03-02,101,97
2020-03-03,95,108
2020-03-04,75,100
2020-03-05,85,80
2020-03-06,75,90
2020-03-07,97,77
2020-03-08,74,45
2020-03-09,41,28
2020-03-10,12,12
2020-03-11,12,19
2020-03-12,14,12
2020-03-13,5,9
2020-03-14,7,9
2020-03-15,2,10
2020-03-16,6,10
2020-03-17,15,5
2020-03-18,6,6
2020-03-19,6,12
2020-03-20,5,3
2020-03-21,6,10
2020-03-22,8,9
2020-03-23,9,12
2020-03-24,15,12
2020-03-25,16,21
2020-03-26,29,14
2020-03-27,18,10
2020-03-28,16,20
2020-03-29,18,21
2020-03-30,14,16
2020-03-31,13,13
2020-04-01,14,17
2020-04-02,11,13
2020-04-03,12,20
2020-04-04,15,13
2020-04-05,10,19
2020-04-06,10,10
2020-04-07,6,11
2020-04-08,8,8
2020-04-09,5,9
2020-04-10,4,4
2020-04-11,5,4
2020-04-12,4,10
2020-04-13,4,6
2020-04-14,5,4
2020-04-15,6,7
2020-04-16,3,4
2020-04-17,8,3
2020-04-18,4,5
2020-04-19,1,3
2020-04-20,4,4
2020-04-21,2,1
2020-04-22,1,3
2020-04-23,0,2
2020-04-24,2,0
2020-04-25,1,3
2020-04-26,2,1
2020-04-27,2,2
2020-04-28,5,1
2020-04-29,2,1
2020-04-30,0,1
2020-05-01,2,3
2020-05-02,0,3
2020-05-03,1,2
2020-05-04,2,0
2020-05-07,1,1
2020-05-08,0,1
2020-05-09,7,7
2020-05-10,10,12
2020-05-11,10,12
2020-05-12,2,9
2020-05-13,6,8
2020-05-14,12,7
2020-05-15,5,8
2020-05-16,3,5
2020-05-17,4,2
2020-05-18,3,1
2020-05-19,2,3
2020-05-20,6,8
2020-05-21,1,2
2020-05-22,5,4
2020-05-23,1,2
2020-05-24,1,3
2020-05-25,1,3
2020-05-26,3,0
2020-05-27,8,1
2020-05-28,7,10
2020-05-29,7,8
2020-05-30,6,4
2020-05-31,4,5
2020-06-01,3,0
2020-06-02,4,3
2020-06-03,0,5
2020-06-04,1,4
2020-06-05,3,2
2020-06-06,0,2
2020-06-07,2,3
2020-06-08,0,5
2020-06-09,1,2
2020-06-10,1,5
2020-06-11,4,3
2020-06-12,2,10
2020-06-13,2,7
2020-06-14,5,3
2020-06-15,4,1
2020-06-16,0,3
2020-06-17,4,5
2020-06-18,4,6
2020-06-19,2,6
2020-06-20,2,7
2020-06-21,3,2
2020-06-22,2,1
2020-06-23,0,5
2020-06-24,2,2
2020-06-25,0,1
2020-06-26,3,6
2020-06-27,3,11
2020-06-28,3,10
2020-06-29,2,7
2020-06-30,2,9
2020-07-01,1,3
2020-07-02,1,7
2020-07-03,7,9
2020-07-04,8,5
2020-07-05,4,5
2020-07-06,4,4
2020-07-07,8,4
2020-07-08,2,9
2020-07-09,6,8
2020-07-10,4,7
2020-07-11,3,5
2020-07-12,7,2
2020-07-13,5,14
2020-07-14,2,4
2020-07-15,0,4
2020-07-16,8,6
2020-07-17,4,5
2020-07-18,3,8
2020-07-19,3,2
2020-07-20,2,7
2020-07-21,2,10
2020-07-22,10,2
2020-07-23,23,0
2020-07-24,3,0
2020-07-25,4,9
2020-07-26,1,3
2020-07-27,4,1
2020-07-28,3,2
2020-07-29,1,5
