tDate,Area,Confirmeds,Deaths
2020-03-05,강원,2,0
2020-03-05,경기,9,0
2020-03-05,경남,9,0
2020-03-05,경북,87,0
2020-03-05,대구,321,3
2020-03-05,세종,0,0
2020-03-05,서울,4,0
2020-03-05,울산,0,0
2020-03-05,인천,0,0
2020-03-05,전북,0,0
2020-03-05,제주,1,0
2020-03-05,충남,4,0
2020-03-05,충북,1,0
2020-03-05,대전,1,0
2020-03-05,광주,1,0
2020-03-06,대전,2,0
2020-03-06,충북,3,0
2020-03-06,충남,4,0
2020-03-06,제주,0,0
2020-03-06,전북,0,0
2020-03-06,인천,0,0
2020-03-06,울산,0,0
2020-03-06,전남,0,0
2020-03-06,서울,2,0
2020-03-06,세종,0,0
2020-03-06,부산,3,0
2020-03-06,대구,367,3
2020-03-06,경북,123,4
2020-03-06,경남,3,0
2020-03-06,경기,10,0
2020-03-06,강원,2,0
2020-03-07,강원,1,1
2020-03-07,경기,10,0
2020-03-07,경남,5,0
2020-03-07,경북,65,0
2020-03-07,대구,390,1
2020-03-07,부산,1,0
2020-03-07,세종,1,0
2020-03-07,서울,3,0
2020-03-07,전남,0,0
2020-03-07,울산,0,0
2020-03-07,인천,0,0
2020-03-07,전북,0,0
2020-03-07,제주,0,0
2020-03-07,충남,2,0
2020-03-07,충북,5,0
2020-03-07,대전,0,0
2020-03-07,광주,0,0
2020-03-08,광주,0,0
2020-03-08,대전,0,0
2020-03-08,충북,4,0
2020-03-08,충남,6,0
2020-03-08,제주,0,0
2020-03-08,전북,0,0
2020-03-08,인천,0,0
2020-03-08,울산,1,0
2020-03-08,전남,0,0
2020-03-08,서울,12,0
2020-03-08,세종,1,0
2020-03-08,부산,1,0
2020-03-08,대구,297,4
2020-03-08,경북,32,2
2020-03-08,경남,1,0
2020-03-08,경기,11,0
2020-03-08,강원,1,0
2020-03-09,강원,1,0
2020-03-09,경기,11,0
2020-03-09,경남,0,0
2020-03-09,경북,26,2
2020-03-09,대구,190,0
2020-03-09,세종,3,0
2020-03-09,서울,10,0
2020-03-09,전남,0,0
2020-03-09,울산,0,0
2020-03-09,인천,0,0
2020-03-09,전북,0,0
2020-03-09,제주,0,0
2020-03-09,충남,4,0
2020-03-09,충북,1,0
2020-03-09,대전,1,0
2020-03-09,광주,2,0
2020-03-10,광주,0,0
2020-03-10,충북,0,0
2020-03-10,충남,2,0
2020-03-10,제주,0,0
2020-03-10,전북,0,0
2020-03-10,인천,4,0
2020-03-10,울산,0,0
2020-03-10,전남,0,0
2020-03-10,서울,11,0
2020-03-10,세종,2,0
2020-03-10,부산,0,0
2020-03-10,대구,92,3
2020-03-10,경북,10,0
2020-03-10,경남,0,0
2020-03-10,경기,11,0
2020-03-10,강원,0,0
2020-03-11,강원,1,0
2020-03-11,강원,1,0
2020-03-11,대전,0,0
2020-03-11,경남,1,0
2020-03-11,경기,12,0
2020-03-11,부산,2,0
2020-03-11,경기,12,0
2020-03-11,경남,1,0
2020-03-11,경북,18,0
2020-03-11,광주,0,0
2020-03-11,대구,131,18
2020-03-11,대전,0,0
2020-03-11,부산,2,0
2020-03-11,서울,52,0
2020-03-11,세종,2,0
2020-03-11,울산,1,0
2020-03-11,인천,12,0
2020-03-11,전남,0,0
2020-03-11,전북,0,0
2020-03-11,제주,0,0
2020-03-11,충남,8,0
2020-03-11,충북,2,0
2020-03-11,경북,18,0
2020-03-11,광주,0,0
2020-03-11,대구,131,18
2020-03-11,서울,52,0
2020-03-11,세종,2,0
2020-03-11,울산,1,0
2020-03-11,인천,12,0
2020-03-11,충북,2,0
2020-03-11,전남,0,0
2020-03-11,전북,0,0
2020-03-11,제주,0,0
2020-03-11,충남,8,0
2020-03-12,충남,2,0
2020-03-12,제주,0,0
2020-03-12,전북,0,0
2020-03-12,전남,0,0
2020-03-12,충북,0,0
2020-03-12,인천,0,0
2020-03-12,울산,0,0
2020-03-12,세종,5,0
2020-03-12,서울,19,0
2020-03-12,대구,73,5
2020-03-12,광주,0,0
2020-03-12,경북,8,2
2020-03-12,강원,0,0
2020-03-12,경기,3,0
2020-03-12,경남,1,0
2020-03-12,경북,8,2
2020-03-12,광주,0,0
2020-03-12,대구,73,5
2020-03-12,대전,2,0
2020-03-12,부산,1,0
2020-03-12,서울,19,0
2020-03-12,세종,5,0
2020-03-12,울산,0,0
2020-03-12,인천,0,0
2020-03-12,전남,0,0
2020-03-12,전북,0,0
2020-03-12,제주,0,0
2020-03-12,충남,2,0
2020-03-12,충북,0,0
2020-03-12,부산,1,0
2020-03-12,경기,3,0
2020-03-12,경남,1,0
2020-03-12,대전,2,0
2020-03-12,강원,0,0
2020-03-13,강원,0,0
2020-03-13,대전,2,0
2020-03-13,경남,0,0
2020-03-13,경기,7,1
2020-03-13,부산,1,0
2020-03-13,강원,0,0
2020-03-13,경기,7,1
2020-03-13,경남,0,0
2020-03-13,경북,4,0
