tDate,AllFisrt,AllSecond,AZFirst,AZSecond,PZFirst,PZSecond,JJFirst,MNFirst
2021-02-26,20308,0,20308,0,0,0,0,0
2021-02-27,21732,0,21414,0,318,0,0,0
2021-02-28,22596,0,21991,0,605,0,0,0
2021-03-01,24072,0,23174,0,898,0,0,0
2021-03-02,90485,0,88958,0,1527,0,0,0
2021-03-03,159924,0,157177,0,2747,0,0,0
2021-03-04,230262,0,226348,0,3914,0,0,0
2021-03-05,300716,0,295407,0,5309,0,0,0
2021-03-06,318723,0,313414,0,5309,0,0,0
2021-03-07,320798,0,315489,0,5309,0,0,0
2021-03-08,388226,0,381751,0,6475,0,0,0
2021-03-09,451595,0,442975,0,8620,0,0,0
2021-03-10,505612,0,492066,0,13546,0,0,0
2021-03-11,550051,0,529372,0,20679,0,0,0
2021-03-12,588142,0,561204,0,26938,0,0,0
2021-03-13,591977,0,564493,0,27484,0,0,0
2021-03-14,593147,0,565597,0,27550,0,0,0
2021-03-15,605598,0,577434,0,28164,0,0,0
2021-03-16,624426,0,589620,0,34806,0,0,0
2021-03-17,644211,0,599446,0,44765,0,0,0
2021-03-18,663492,0,609772,0,53720,0,0,0
2021-03-19,680295,0,620446,0,59849,0,0,0
2021-03-20,681530,313,620693,0,60837,313,0,0
2021-03-21,681530,593,620693,0,60837,593,0,0
2021-03-22,685200,883,624338,0,60862,883,0,0
2021-03-23,706962,1498,646099,0,60863,1498,0,0
2021-03-24,737468,2692,676605,1,60863,2691,0,0
2021-03-25,771867,3834,710999,1,60868,3833,0,0
2021-03-26,796631,5233,735761,1,60870,5232,0,0
2021-03-27,797912,5233,737042,1,60870,5232,0,0
2021-03-28,797957,5233,737087,1,60870,5232,0,0
2021-03-29,825876,6152,765006,1,60870,6151,0,0
2021-03-30,855836,8188,794959,1,60877,8187,0,0
2021-03-31,879936,12977,819034,3,60902,12974,0,0
2021-04-01,917480,20234,837453,3,80027,20231,0,0
2021-04-02,956957,26834,856816,4,100141,26830,0,0
2021-04-03,965541,27378,859232,4,106309,27374,0,0
2021-04-04,966171,27444,859291,4,106880,27440,0,0
2021-04-05,1003068,27761,873761,5,129307,27756,0,0
2021-04-06,1041924,33504,890136,5,151788,33499,0,0
2021-04-07,1079571,42744,906894,7,172677,42737,0,0
2021-04-08,1116732,52243,914113,7,202619,52236,0,0
2021-04-09,1150380,59528,918282,7,232098,59521,0,0
2021-04-10,1159178,60617,918844,7,240334,60610,0,0
2021-04-11,1159483,60617,918844,7,240639,60610,0,0
2021-04-12,1197791,60642,926322,7,271469,60635,0,0
2021-04-13,1242186,60646,939419,8,302767,60638,0,0
2021-04-14,1288748,60649,954345,9,334403,60640,0,0
2021-04-15,1382528,60652,974564,10,407964,60642,0,0
2021-04-16,1486038,60852,1001477,204,484561,60648,0,0
2021-04-17,1515448,60852,1002824,204,512624,60648,0,0
2021-04-18,1520314,60852,1002826,204,517488,60648,0,0
2021-04-19,1643255,60854,1046865,205,596390,60649,0,0
2021-04-20,1774603,60867,1096005,207,678598,60660,0,0
2021-04-21,1907243,60893,1144246,207,762997,60686,0,0
2021-04-22,2039112,79434,1197879,215,841233,79219,0,0
2021-04-23,2199301,99050,1281188,216,918113,98834,0,0
2021-04-24,2264379,104823,1315319,220,949060,104603,0,0
2021-04-25,2270664,105190,1316476,220,954188,104970,0,0
2021-04-26,2413468,126793,1373911,221,1039557,126572,0,0
2021-04-27,2590463,148583,1447263,226,1143200,148357,0,0
2021-04-28,2822571,169028,1547690,246,1274881,168782,0,0
2021-04-29,3084792,199066,1668737,282,1416055,198784,0,0
2021-04-30,3361644,228822,1810424,439,1551220,228383,0,0
2021-05-01,3401791,236536,1834506,441,1567285,236095,0,0
2021-05-02,3403352,236850,1834805,454,1568547,236396,0,0
2021-05-03,3489491,267431,1885613,511,1603878,266920,0,0
2021-05-04,3564249,298669,1929924,634,1634325,298035,0,0
2021-05-05,3569590,323981,1930555,634,1639035,323347,0,0
2021-05-06,3627054,397497,1977408,669,1649646,396828,0,0
2021-05-07,3675027,474313,2015915,827,1659112,473486,0,0
2021-05-08,3687135,501860,2025225,840,1661910,501020,0,0
2021-05-09,3687138,506595,2025225,841,1661913,505754,0,0
2021-05-10,3700596,584168,2032220,918,1668376,583250,0,0
2021-05-11,3709135,664963,2036379,1104,1672756,663859,0,0
2021-05-12,3715225,747859,2039699,1360,1675526,746499,0,0
2021-05-13,3723860,825856,2043134,1857,1680726,823999,0,0
2021-05-14,3734756,905977,2046883,6028,1687873,899949,0,0
2021-05-15,3736050,936136,2046926,6594,1689124,929542,0,0
2021-05-16,3736057,941125,2046926,6596,1689131,934529,0,0
2021-05-17,3749421,1041472,2049782,22700,1699639,1018772,0,0
2021-05-18,3761876,1183363,2053294,63013,1708582,1120350,0,0
2021-05-19,3763690,1276432,2053419,63913,1710271,1212519,0,0
2021-05-20,3775930,1487601,2058167,130418,1717763,1357183,0,0
