tDate,NewSum,AccSum,OccurrenceRatePer10HS,ManNew,ManAcc,ManOccurrenceRatePer10HS,WomanNew,WomanAcc,WomanOccurrenceRatePer10HS,Age80MoreNew,Age80MoreAcc,Age80MoreOccurrenceRatePer10HS,Age70_79New,Age70_79Acc,Age70_79OccurrenceRatePer10HS,Age60_69New,Age60_69Acc,Age60_69OccurrenceRatePer10HS,Age50_59New,Age50_59Acc,Age50_59OccurrenceRatePer10HS,Age40_49New,Age40_49Acc,Age40_49OccurrenceRatePer10HS,Age30_39New,Age30_39Acc,Age30_39OccurrenceRatePer10HS,Age20_29New,Age20_29Acc,Age20_29OccurrenceRatePer10HS,Age10_19New,Age10_19Acc,Age10_19OccurrenceRatePer10HS,Age0_9New,Age0_9Acc,Age0_9OccurrenceRatePer10HS
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
