tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2020-03-02,98921,3736,30,3688,18,33360,61825,109591,4212,31,4159,22,105379,33799,10670,476,1,471,4,439,9755
2020-03-03,109591,4212,31,4159,22,33799,71580,125851,4812,34,4750,28,35555,85484,16260,600,3,591,6,1756,13904
2020-03-04,125851,4812,34,4750,28,35555,85484,136707,5328,41,5255,32,28414,102965,10856,516,7,505,4,-7141,17481
2020-03-05,136707,5328,41,5255,32,28414,102965,146541,5766,88,5643,35,21810,118965,9834,438,47,388,3,-6604,16000
2020-03-06,146541,5766,88,5643,35,21810,118965,164740,6284,108,6134,42,21832,136624,18199,518,20,491,7,22,17659
2020-03-07,164740,6284,108,6134,42,21832,136624,178189,6767,118,6605,44,19620,151802,13449,483,10,471,2,-2212,15178
2020-03-08,178189,6767,118,6605,44,19620,151802,188518,7134,130,6954,50,19376,162008,10329,367,12,349,6,-244,10206
2020-03-09,188518,7134,130,6954,50,19376,162008,196618,7382,166,7165,51,17458,171778,8100,248,36,211,1,-1918,9770
2020-03-10,196618,7382,166,7165,51,17458,171778,210144,7513,247,7212,54,18452,184179,13526,131,81,47,3,994,12401
2020-03-11,210144,7513,247,7212,54,18452,184179,222395,7755,288,7407,60,18540,196100,12251,242,41,195,6,88,11921
2020-03-12,222395,7755,288,7407,60,18540,196100,234998,7869,333,7470,66,17727,209402,12603,114,45,63,6,-813,13302
2020-03-13,234998,7869,333,7470,66,17727,209402,248647,7979,510,7402,67,17940,222728,13649,110,177,-68,1,213,13326
2020-03-14,248647,7979,510,7402,67,17940,222728,261335,8086,714,7300,72,17634,235615,12688,107,204,-102,5,-306,12887
2020-03-15,261335,8086,714,7300,72,17634,235615,268212,8162,834,7253,75,16272,243778,6877,76,120,-47,3,-1362,8163
2020-03-16,268212,8162,834,7253,75,16272,243778,274504,8236,1137,7024,75,14971,251297,6292,74,303,-229,0,-1301,7519
2020-03-17,274504,8236,1137,7024,75,14971,251297,286716,8320,1401,6838,81,17291,261105,12212,84,264,-186,6,2320,9808
2020-03-18,286716,8320,1401,6838,81,17291,261105,295647,8413,1540,6789,84,16346,270888,8931,93,139,-49,3,-945,9783
2020-03-19,295647,8413,1540,6789,84,16346,270888,307024,8565,1947,6527,91,15904,282555,11377,152,407,-262,7,-442,11667
