tDate,SumInQuarantine,SumQuarantineRelease,SumDead,SumTotal,SeoulInQuarantine,SeoulQuarantineRelease,SeoulDead,SeoulTotal,BusanInQuarantine,BusanQuarantineRelease,BusanDead,BusanTotal,DaeguInQuarantine,DaeguQuarantineRelease,DaeguDead,DaeguTotal,IncheonInQuarantine,IncheonQuarantineRelease,IncheonDead,IncheonTotal,GwangjuInQuarantine,GwangjuQuarantineRelease,GwangjuDead,GwangjuTotal,DaejeonInQuarantine,DaejeonQuarantineRelease,DaejeonDead,DaejeonTotal,UlsanInQuarantine,UlsanQuarantineRelease,UlsanDead,UlsanTotal,SejongInQuarantine,SejongQuarantineRelease,SejongDead,SejongTotal,GyeonggiInQuarantine,GyeonggiQuarantineRelease,GyeonggiDead,GyeonggiTotal,GangwonInQuarantine,GangwonQuarantineRelease,GangwonDead,GangwonTotal,ChungbukInQuarantine,ChungbukQuarantineRelease,ChungbukDead,ChungbukTotal,ChungnamInQuarantine,ChungnamQuarantineRelease,ChungnamDead,ChungnamTotal,JeonbukInQuarantine,JeonbukQuarantineRelease,JeonbukDead,JeonbukTotal,JeonnamInQuarantine,JeonnamQuarantineRelease,JeonnamDead,JeonnamTotal,GyeongbukInQuarantine,GyeongbukQuarantineRelease,GyeongbukDead,GyeongbukTotal,GyeongnamInQuarantine,GyeongnamQuarantineRelease,GyeongnamDead,GyeongnamTotal,JejuInQuarantine,JejuQuarantineRelease,JejuDead,JejuTotal,QuarantineInQuarantine,QuarantineQuarantineRelease,QuarantineDead,QuarantineTotal
2020-03-02,0,0,0,4212,0,0,0,91,0,0,0,88,0,0,0,3081,0,0,0,7,0,0,0,9,0,0,0,14,0,0,0,20,0,0,0,1,0,0,0,92,0,0,0,19,0,0,0,11,0,0,0,78,0,0,0,6,0,0,0,5,0,0,0,624,0,0,0,64,0,0,0,2,0,0,0,0
2020-03-03,0,0,0,4812,0,0,0,98,0,0,0,90,0,0,0,3601,0,0,0,7,0,0,0,11,0,0,0,14,0,0,0,20,0,0,0,1,0,0,0,94,0,0,0,20,0,0,0,11,0,0,0,81,0,0,0,7,0,0,0,5,0,0,0,685,0,0,0,64,0,0,0,3,0,0,0,0
2020-03-04,0,0,0,5328,0,0,0,99,0,0,0,93,0,0,0,4006,0,0,0,9,0,0,0,13,0,0,0,15,0,0,0,23,0,0,0,1,0,0,0,101,0,0,0,21,0,0,0,11,0,0,0,82,0,0,0,7,0,0,0,5,0,0,0,774,0,0,0,65,0,0,0,3,0,0,0,0
2020-03-05,0,0,0,5766,0,0,0,103,0,0,0,92,0,0,0,4326,0,0,0,9,0,0,0,14,0,0,0,16,0,0,0,23,0,0,0,1,0,0,0,110,0,0,0,23,0,0,0,12,0,0,0,86,0,0,0,7,0,0,0,5,0,0,0,861,0,0,0,74,0,0,0,4,0,0,0,0
2020-03-06,6134,108,42,6284,80,25,0,105,92,2,1,95,4648,15,30,4693,7,2,0,9,10,3,0,13,18,0,0,18,22,1,0,23,1,0,0,1,105,14,1,120,22,3,0,25,14,1,0,15,90,0,0,90,5,2,0,7,5,0,0,5,938,36,10,984,73,4,0,77,4,0,0,4,0,0,0,0
2020-03-07,6605,118,44,6767,81,27,0,108,93,2,1,96,5035,18,31,5084,7,2,0,9,10,3,0,13,18,0,0,18,22,1,0,23,2,0,0,2,115,14,1,130,22,3,1,26,19,1,0,20,92,0,0,92,5,2,0,7,4,0,0,4,998,41,10,1049,78,4,0,82,4,0,0,4,0,0,0,0
2020-03-08,6954,130,50,7134,92,28,0,120,87,9,1,97,5328,18,35,5381,7,2,0,9,10,3,0,13,17,1,0,18,23,1,0,24,3,0,0,3,124,16,1,141,23,3,1,27,23,1,0,24,98,0,0,98,5,2,0,7,4,0,0,4,1027,42,12,1081,79,4,0,83,4,0,0,4,0,0,0,0
2020-03-09,7165,166,51,7382,101,29,0,130,86,10,0,96,5515,21,35,5571,7,2,0,9,12,3,0,15,18,1,0,19,23,1,0,24,6,0,0,6,129,22,1,152,24,3,1,28,22,3,0,25,101,1,0,102,5,2,0,7,3,1,0,4,1036,57,14,1107,74,9,0,83,3,1,0,4,0,0,0,0
2020-03-10,7212,247,54,7513,110,31,0,141,86,10,0,96,5533,92,38,5663,10,3,0,13,12,3,0,15,17,1,0,18,23,1,0,24,8,0,0,8,140,22,1,163,21,6,1,28,22,3,0,25,103,1,0,104,5,2,0,7,3,1,0,4,1043,60,14,1117,73,10,0,83,3,1,0,4,0,0,0,0
2020-03-11,7407,288,60,7755,156,37,0,193,76,21,1,98,5649,102,43,5794,22,3,0,25,12,3,0,15,16,2,0,18,23,2,0,25,10,0,0,10,149,25,1,175,22,6,1,29,24,3,0,27,111,1,0,112,5,2,0,7,3,1,0,4,1052,69,14,1135,74,10,0,84,3,1,0,4,0,0,0,0
