tDate,AccConfirmed,AccKoreaConfirmed,AccInflowAbroad,AccDeath,AccSevere,NewConfirmed,NewKoreaConfirmed,NewInflowAbroad,NewDeath,NewSevere
2020-03-02,,,,,,686,684,2,6,
2020-03-03,,,,,,600,599,1,5,
2020-03-04,,,,,,516,516,,4,
2020-03-05,,,,,,438,437,1,3,
2020-03-06,,,,,,518,518,,7,
2020-03-07,,,,,,483,483,,2,
2020-03-08,,,,,,367,366,1,6,
2020-03-09,,,,,,248,247,1,1,
2020-03-10,,,,,,131,131,,3,
2020-03-11,,,,,,242,239,3,6,
2020-03-12,,,,,,114,112,2,6,
2020-03-13,,,,,,110,107,3,1,
2020-03-14,,,,,,107,102,5,5,
2020-03-15,,,,,,76,72,4,3,
2020-03-16,,,,,,74,70,4,,
2020-03-17,,,,,,84,79,5,6,
2020-03-18,,,,,,93,80,13,3,
2020-03-19,,,,,,152,135,17,7,
2020-03-20,,,,,,87,73,14,3,
2020-03-21,,,,,,147,126,21,8,
2020-03-22,,,,,,98,77,21,2,
2020-03-23,,,,,,64,46,18,7,
2020-03-24,,,,,,76,46,30,9,
2020-03-25,,,,,,100,42,58,6,
2020-03-26,,,,,,104,56,48,5,
2020-03-27,,,,,,91,57,34,8,
2020-03-28,,,,,,146,90,56,5,79
2020-03-29,,,,,,105,38,67,8,78
2020-03-30,,,,,,78,35,43,6,74
2020-03-31,,,,,,125,88,37,4,74
2020-04-01,,,,,,101,56,45,3,76
2020-04-02,,,,,,89,43,46,4,78
2020-04-03,,,,,,86,37,49,5,80
2020-04-04,,,,,,94,53,41,3,80
2020-04-05,,,,,,81,31,50,6,81
2020-04-06,,,,,,47,25,22,3,80
2020-04-07,,,,,,47,23,24,6,77
2020-04-08,,,,,,53,23,30,8,80
2020-04-09,,,,,,39,13,26,4,80
2020-04-10,,,,,,27,17,10,4,71
2020-04-11,,,,,,30,16,14,3,67
2020-04-12,,,,,,32,9,23,3,67
2020-04-13,,,,,,25,10,15,3,66
2020-04-14,,,,,,27,11,16,5,66
2020-04-15,,,,,,27,13,14,3,65
2020-04-16,,,,,,22,11,11,4,61
2020-04-17,,,,,,22,7,15,1,61
2020-04-18,,,,,,18,9,9,2,61
2020-04-19,,,,,,8,2,6,2,57
2020-04-20,,,,,,13,6,7,2,56
2020-04-21,,,,,,9,4,5,1,56
2020-04-22,,,,,,11,5,6,1,52
2020-04-23,,,,,,8,4,4,2,49
2020-04-24,,,,,,6,4,2,,42
2020-04-25,,,,,,10,5,5,,46
2020-04-26,,,,,,10,1,9,2,42
2020-04-27,,,,,,10,3,7,1,42
2020-04-28,,,,,,14,2,12,1,38
2020-04-29,,,,,,9,4,5,2,37
2020-04-30,,,,,,4,,4,1,36
2020-05-01,,,,,,9,1,8,1,33
2020-05-02,,,,,,6,,6,2,29
2020-05-03,,,,,,13,3,10,,29
2020-05-04,,,,,,8,,8,2,27
2020-05-05,,,,,,3,,3,2,27
2020-05-06,,,,,,2,,2,1,27
2020-05-07,,,,,,4,1,3,1,25
2020-05-08,,,,,,12,1,11,,24
2020-05-09,,,,,,18,17,1,,23
2020-05-10,,,,,,34,26,8,,23
2020-05-11,,,,,,35,29,6,,23
2020-05-12,,,,,,27,22,5,2,22
2020-05-13,,,,,,26,22,4,1,20
2020-05-14,,,,,,29,26,3,1,22
2020-05-15,,,,,,27,22,5,,22
2020-05-16,,,,,,19,9,10,2,18
2020-05-17,,,,,,13,6,7,,18
2020-05-18,,,,,,15,5,10,1,16
2020-05-19,,,,,,13,9,4,,15
2020-05-20,,,,,,32,24,8,,15
2020-05-21,,,,,,12,10,2,1,16
2020-05-22,,,,,,20,11,9,,16
2020-05-23,,,,,,23,19,4,2,14
2020-05-24,,,,,,25,17,8,,13
2020-05-25,,,,,,16,13,3,1,13
2020-05-26,,,,,,19,16,3,2,12
2020-05-27,,,,,,40,37,3,,12
2020-05-28,,,,,,79,68,11,,11
2020-05-29,,,,,,58,55,3,,10
2020-05-30,,,,,,39,27,12,,10
2020-05-31,,,,,,27,15,12,1,11
2020-06-01,,,,,,35,30,5,1,12
2020-06-02,,,,,,38,36,2,1,11
2020-06-03,,,,,,49,46,3,1,8
2020-06-04,,,,,,39,33,6,,9
2020-06-05,,,,,,39,34,5,,11
2020-06-06,,,,,,51,43,8,,14
2020-06-07,,,,,,57,53,4,,14
2020-06-08,,,,,,37,32,5,,14
2020-06-09,,,,,,38,35,3,1,18
2020-06-10,,,,,,50,43,7,2,20
2020-06-11,,,,,,45,40,5,,20
2020-06-12,,,,,,56,43,13,1,18
2020-06-13,,,,,,48,43,5,,22
2020-06-14,,,,,,34,31,3,,22
2020-06-15,,,,,,37,24,13,,20
2020-06-16,,,,,,34,21,13,1,24
2020-06-17,,,,,,43,31,12,1,25
2020-06-18,,,,,,59,51,8,1,27
2020-06-19,,,,,,49,32,17,,33
2020-06-20,,,,,,67,36,31,,33
2020-06-21,,,,,,48,40,8,,34
2020-06-22,,,,,,17,11,6,,34
2020-06-23,,,,,,46,16,30,1,37
2020-06-24,,,,,,51,30,21,,38
2020-06-25,,,,,,28,23,5,1,37
2020-06-26,,,,,,39,26,13,,35
2020-06-27,,,,,,51,31,20,,30
2020-06-28,,,,,,62,40,22,,32
2020-06-29,,,,,,42,30,12,,32
2020-06-30,,,,,,42,22,20,,32
2020-07-01,,,,,,51,36,15,,33
2020-07-02,,,,,,54,44,10,,34
2020-07-03,,,,,,61,49,12,,34
2020-07-04,,,,,,63,36,27,1,30
2020-07-05,,,,,,61,43,18,,32
2020-07-06,,,,,,48,24,24,1,32
2020-07-07,,,,,,44,20,24,1,36
2020-07-08,,,,,,62,30,32,,31
2020-07-09,,,,,,50,28,22,2,26
2020-07-10,,,,,,45,23,22,1,22
2020-07-11,,,,,,35,20,15,,20
2020-07-12,,,,,,44,21,23,1,19
2020-07-13,,,,,,62,19,43,,20
2020-07-14,,,,,,33,14,19,,17
2020-07-15,,,,,,39,11,28,,17
2020-07-16,,,,,,61,14,47,2,16
2020-07-17,,,,,,60,21,39,2,16
2020-07-18,,,,,,39,11,28,1,19
2020-07-19,,,,,,34,21,13,1,19
2020-07-20,,,,,,26,4,22,1,19
2020-07-21,,,,,,45,20,25,,21
2020-07-22,,,,,,63,29,34,1,21
2020-07-23,,,,,,59,39,20,,18
2020-07-24,,,,,,41,28,13,1,16
2020-07-25,,,,,,113,27,86,,15
2020-07-26,,,,,,58,12,46,,15
2020-07-27,,,,,,25,9,16,1,14
2020-07-28,,,,,,28,5,23,1,12
2020-07-29,,,,,,48,14,34,,12
2020-07-30,,,,,,18,7,11,,13
2020-07-31,,,,,,36,14,22,1,12
