tDate,AccSum,AccAge0_9,AccAge10_19,AccAge20_29,AccAge30_39,AccAge40_49,AccAge50_59,AccAge60_69,AccAge70_79,AccAge80More,NewSum,Age0_9New,Age10_19New,Age20_29New,Age30_39New,Age40_49New,Age50_59New,Age60_69New,Age70_79New,Age80MoreNew
2020-03-02,,,,,,,,,,,686,5,29,181,82,113,146,82,33,15
2020-03-03,,,,,,,,,,,600,3,37,179,73,81,118,65,32,12
2020-03-04,,,,,,,,,,,516,,29,158,53,79,100,47,35,15
2020-03-05,,,,,,,,,,,438,4,25,154,27,54,74,53,30,17
2020-03-06,,,,,,,,,,,518,7,35,148,33,43,89,65,54,44
2020-03-07,,,,,,,,,,,483,7,34,154,33,54,70,65,43,23
2020-03-08,,,,,,,,,,,367,6,33,103,32,34,64,48,26,21
2020-03-09,,,,,,,,,,,248,8,18,60,18,30,42,38,29,5
2020-03-10,,,,,,,,,,,131,1,12,21,11,25,26,13,16,6
2020-03-11,,,,,,,,,,,242,8,12,25,15,52,56,31,29,14
2020-03-12,,,,,,,,,,,114,1,7,21,8,18,25,12,14,8
2020-03-13,,,,,,,,,,,110,1,9,13,12,16,28,13,9,9
2020-03-14,,,,,,,,,,,107,4,3,15,10,16,27,15,9,8
2020-03-15,,,,,,,,,,,76,2,3,12,9,9,17,12,10,2
2020-03-16,,,,,,,,,,,74,2,5,13,7,6,17,12,5,7
2020-03-17,,,,,,,,,,,84,1,4,17,7,17,16,10,8,4
2020-03-18,,,,,,,,,,,93,1,2,12,17,7,14,25,3,12
2020-03-19,,,,,,,,,,,152,5,5,16,13,10,27,21,20,35
2020-03-20,,,,,,,,,,,87,6,8,7,7,12,14,19,6,8
2020-03-21,,,,,,,,,,,147,1,6,15,7,10,16,19,21,52
2020-03-22,,,,,,,,,,,98,2,3,16,9,19,19,13,6,11
2020-03-23,,,,,,,,,,,64,2,,21,8,7,11,7,4,4
2020-03-24,,,,,,,,,,,76,3,7,22,3,6,14,7,9,5
2020-03-25,,,,,,,,,,,100,,7,34,23,12,7,9,3,5
2020-03-26,,,,,,,,,,,104,1,13,35,12,6,14,8,5,10
2020-03-27,,,,,,,,,,,91,2,8,24,5,4,14,8,14,12
2020-03-28,,,,,,,,,,,146,1,5,34,19,22,28,31,2,4
2020-03-29,,,,,,,,,,,105,2,7,35,15,14,19,8,3,2
2020-03-30,,,,,,,,,,,78,1,5,28,9,5,14,8,5,3
2020-03-31,,,,,,,,,,,125,,3,25,10,16,37,18,11,5
2020-04-01,,,,,,,,,,,101,3,4,28,14,11,14,10,7,10
2020-04-02,,,,,,,,,,,89,3,3,22,16,11,15,12,5,2
2020-04-03,,,,,,,,,,,86,2,6,30,9,13,9,9,5,3
2020-04-04,,,,,,,,,,,94,1,2,27,14,8,10,17,10,5
2020-04-05,,,,,,,,,,,81,2,5,28,17,12,6,7,3,1
2020-04-06,,,,,,,,,,,47,2,7,15,3,5,2,5,5,3
2020-04-07,,,,,,,,,,,47,,2,15,6,7,3,10,3,1
2020-04-08,,,,,,,,,,,53,,4,13,9,5,7,8,3,4
2020-04-09,,,,,,,,,,,39,2,4,12,7,7,1,3,,3
2020-04-10,,,,,,,,,,,27,1,1,7,5,2,4,4,2,1
2020-04-11,,,,,,,,,,,30,1,5,6,2,2,6,7,,1
2020-04-12,,,,,,,,,,,32,,3,12,5,2,4,3,3,
2020-04-13,,,,,,,,,,,25,2,1,9,3,1,2,5,1,1
2020-04-14,,,,,,,,,,,27,,3,7,4,4,3,3,2,1
2020-04-15,,,,,,,,,,,27,,4,10,4,3,2,1,2,1
2020-04-16,,,,,,,,,,,22,3,3,5,1,2,3,2,1,2
2020-04-17,,,,,,,,,,,22,1,4,9,3,1,2,1,1,
2020-04-18,,,,,,,,,,,18,2,,9,1,1,2,1,1,1
2020-04-19,,,,,,,,,,,8,,2,3,1,,1,,,1
2020-04-20,,,,,,,,,,,13,,3,5,2,,3,,,
2020-04-21,,,,,,,,,,,9,,2,1,,1,3,,1,1
2020-04-22,,,,,,,,,,,11,,1,3,1,4,,1,1,
2020-04-23,,,,,,,,,,,8,,1,2,1,1,1,,1,1
2020-04-24,,,,,,,,,,,6,,1,1,1,,1,1,,1
2020-04-25,,,,,,,,,,,10,1,1,3,1,2,,2,,
2020-04-26,,,,,,,,,,,10,1,,3,5,1,,,,
2020-04-27,,,,,,,,,,,10,,2,3,4,1,,,,
2020-04-28,,,,,,,,,,,14,,2,5,2,1,2,1,1,
2020-04-29,,,,,,,,,,,9,,,3,2,3,1,,,
2020-04-30,,,,,,,,,,,4,,,1,2,1,,,,
2020-05-01,,,,,,,,,,,9,,,5,1,2,,,,1
2020-05-02,,,,,,,,,,,6,,,3,1,1,,1,,
2020-05-03,,,,,,,,,,,13,,1,2,3,2,,2,1,2
2020-05-04,,,,,,,,,,,8,,,2,1,3,,2,,
2020-05-05,,,,,,,,,,,3,,,,1,1,1,,,
2020-05-06,,,,,,,,,,,2,,,,1,,,1,,
2020-05-07,,,,,,,,,,,4,,1,2,1,,,,,
2020-05-08,,,,,,,,,,,12,1,,1,7,2,,1,,
2020-05-09,,,,,,,,,,,18,,2,12,3,,1,,,
2020-05-10,,,,,,,,,,,34,,3,19,3,4,2,2,1,
2020-05-11,,,,,,,,,,,35,,1,21,8,4,,1,,
2020-05-12,,,,,,,,,,,27,1,4,10,6,2,3,,,1
2020-05-13,,,,,,,,,,,26,1,1,13,5,2,1,1,1,1
2020-05-14,,,,,,,,,,,29,,11,14,3,1,,,,
2020-05-15,,,,,,,,,,,27,2,3,11,4,2,1,2,2,
2020-05-16,,,,,,,,,,,19,2,2,7,3,1,1,3,,
2020-05-17,,,,,,,,,,,13,,1,5,2,3,1,,1,
2020-05-18,,,,,,,,,,,15,,1,3,4,5,1,1,,
2020-05-19,,,,,,,,,,,13,1,,5,,,3,3,1,
2020-05-20,,,,,,,,,,,32,,7,12,4,6,1,1,1,
2020-05-21,,,,,,,,,,,12,,4,3,2,3,,,,
2020-05-22,,,,,,,,,,,20,1,2,8,4,2,2,,1,
2020-05-23,,,,,,,,,,,23,,1,2,6,1,9,3,,1
2020-05-24,,,,,,,,,,,25,,2,4,4,7,4,3,1,
2020-05-25,,,,,,,,,,,16,,1,3,3,2,5,2,,
2020-05-26,,,,,,,,,,,19,1,1,3,4,3,4,1,2,
2020-05-27,,,,,,,,,,,40,3,2,8,6,3,6,8,3,1
2020-05-28,,,,,,,,,,,79,2,4,15,26,14,12,6,,
2020-05-29,,,,,,,,,,,58,1,6,12,9,10,9,8,,3
2020-05-30,,,,,,,,,,,39,1,5,9,2,4,10,4,1,3
2020-05-31,,,,,,,,,,,27,,,9,7,4,6,1,,
2020-06-01,,,,,,,,,,,35,1,2,2,4,6,13,5,2,
2020-06-02,,,,,,,,,,,38,,2,5,3,2,9,11,5,1
2020-06-03,,,,,,,,,,,49,1,2,5,6,5,9,15,6,
2020-06-04,,,,,,,,,,,39,1,1,5,3,2,10,9,6,2
2020-06-05,,,,,,,,,,,39,1,1,5,2,4,6,10,7,3
2020-06-06,,,,,,,,,,,51,3,1,2,6,11,8,9,8,3
2020-06-07,,,,,,,,,,,57,1,6,3,6,8,11,12,8,2
2020-06-08,,,,,,,,,,,37,1,1,5,2,5,6,11,3,3
2020-06-09,,,,,,,,,,,38,,,3,2,4,10,9,5,5
2020-06-10,,,,,,,,,,,50,1,2,6,9,1,7,16,7,1
2020-06-11,,,,,,,,,,,45,1,3,6,10,4,10,5,5,1
2020-06-12,,,,,,,,,,,56,,3,11,8,2,16,13,2,1
2020-06-13,,,,,,,,,,,48,,2,9,1,3,9,8,6,10
2020-06-14,,,,,,,,,,,34,,,8,3,6,7,8,1,1
2020-06-15,,,,,,,,,,,37,2,,5,5,11,6,4,3,1
2020-06-16,,,,,,,,,,,34,2,1,3,4,4,6,8,6,
2020-06-17,,,,,,,,,,,43,2,1,8,14,2,7,3,5,1
2020-06-18,,,,,,,,,,,59,1,1,10,4,6,9,13,7,8
2020-06-19,,,,,,,,,,,49,,2,8,9,3,12,11,3,1
2020-06-20,,,,,,,,,,,67,2,4,9,13,8,12,13,3,3
2020-06-21,,,,,,,,,,,48,,1,5,10,5,8,10,6,3
2020-06-22,,,,,,,,,,,17,,1,3,4,1,5,2,1,
2020-06-23,,,,,,,,,,,46,3,,5,9,9,8,7,4,1
2020-06-24,,,,,,,,,,,51,2,1,3,14,12,10,5,2,2
2020-06-25,,,,,,,,,,,28,1,2,1,9,2,6,5,2,
2020-06-26,,,,,,,,,,,39,1,1,8,10,5,5,6,1,2
2020-06-27,,,,,,,,,,,51,1,2,14,10,6,5,7,4,2
2020-06-28,,,,,,,,,,,62,2,3,12,13,9,6,13,3,1
2020-06-29,,,,,,,,,,,42,3,1,9,5,6,5,12,1,
2020-06-30,,,,,,,,,,,42,2,4,10,6,8,6,3,3,
2020-07-01,,,,,,,,,,,51,,2,4,12,2,17,6,7,1
2020-07-02,,,,,,,,,,,54,2,2,8,6,2,14,12,7,1
2020-07-03,,,,,,,,,,,61,1,10,10,10,6,7,10,4,3
2020-07-04,,,,,,,,,,,63,3,2,12,16,8,8,9,2,3
2020-07-05,,,,,,,,,,,61,3,3,8,9,11,7,14,6,
2020-07-06,,,,,,,,,,,48,5,1,8,9,6,9,5,2,3
2020-07-07,,,,,,,,,,,44,1,2,11,7,7,7,7,2,
