tDate,SumAcc,SeoulAcc,BusanAcc,DaeguAcc,IncheonAcc,GwangjuAcc,DaejeonAcc,UlsanAcc,SejongAcc,GyeonggiAcc,GangwonAcc,ChungbukAcc,ChungnamAcc,JeonbukAcc,JeonnamAcc,GyeongbukAcc,GyeongnamAcc,JejuAcc,QuarantineAcc,SumNew,SeoulNew,BusanNew,DaeguNew,IncheonNew,GwangjuNew,DaejeonNew,UlsanNew,SejongNew,GyeonggiNew,GangwonNew,ChungbukNew,ChungnamNew,JeonbukNew,JeonnamNew,GyeongbukNew,GyeongnamNew,JejuNew,QuarantineNew
2020-03-02,,,,,,,,,,,,,,,,,,,,686,9,6,517,1,,1,3,,8,12,,17,1,1,108,2,,
2020-03-03,,,,,,,,,,,,,,,,,,,,600,7,2,520,,2,,,,2,1,,4,1,,59,1,1,
2020-03-04,,,,,,,,,,,,,,,,,,,,516,,3,398,1,2,1,3,,9,1,,1,,,95,2,,
2020-03-05,,,,,,,,,,,,,,,,,,,,438,5,,326,1,,1,,,7,2,1,4,,,81,9,1,
2020-03-06,,,,,,,,,,,,,,,,,,,,518,2,3,367,,,2,,,10,2,3,4,,,122,3,,
2020-03-07,,,,,,,,,,,,,,,,,,,,483,3,1,390,,,,,1,10,1,5,2,,,65,5,,
2020-03-08,,,,,,,,,,,,,,,,,,,,367,12,1,297,,,,1,1,11,1,4,6,,,32,1,,
2020-03-09,,,,,,,,,,,,,,,,,,,,248,10,,190,,2,,,3,12,1,1,4,,,25,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,131,11,,92,4,,,,2,10,,,2,,,10,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,242,53,2,131,12,,,1,2,11,1,2,8,,,18,1,,
2020-03-12,,,,,,,,,,,,,,,,,,,,114,19,2,72,,,2,,5,3,,,2,,,8,1,,
2020-03-13,,,,,,,,,,,,,,,,,,,,110,12,1,61,2,,2,2,17,8,,,1,,,4,,,
2020-03-14,,,,,,,,,,,,,,,,,,,,107,13,3,62,1,,,,6,15,,1,,,,6,,,
2020-03-15,,,,,,,,,,,,,,,,,,,,76,9,3,41,1,1,,1,1,11,,3,,,,4,,,1
2020-03-16,,,,,,,,,,,,,,,,,,,,74,6,1,35,1,,,,1,20,,,,,,7,,,3
2020-03-17,,,,,,,,,,,,,,,,,,,,84,12,,32,1,,,,,31,,,,,,5,1,,2
2020-03-18,,,,,,,,,,,,,,,,,,,,93,5,,46,1,1,,2,1,15,1,1,3,2,1,9,,,5
2020-03-19,,,,,,,,,,,,,,,,,,,,152,12,,97,,,,6,,18,,1,,1,,12,,,5
2020-03-20,,,,,,,,,,,,,,,,,,,,87,17,1,34,4,1,,,,14,,,1,,,13,1,,1
2020-03-21,,,,,,,,,,,,,,,,,,,,147,15,,69,4,,,,,12,,1,,,,40,,,6
2020-03-22,,,,,,,,,,,,,,,,,,,,98,10,,43,,1,2,,,16,,1,1,,1,11,1,,11
2020-03-23,,,,,,,,,,,,,,,,,,,,64,6,1,24,,,,,1,14,,2,,,,2,1,,13
2020-03-24,,,,,,,,,,,,,,,,,,,,76,4,2,31,1,,,,,15,,1,,,,1,1,,20
2020-03-25,,,,,,,,,,,,,,,,,,,,100,13,1,14,1,,,1,2,21,1,,3,,2,5,,2,34
2020-03-26,,,,,,,,,,,,,,,,,,,,104,13,,26,1,,6,,,14,,1,1,,,12,,,30
2020-03-27,,,,,,,,,,,,,,,,,,,,91,12,1,34,3,1,1,2,,11,,2,,,,9,1,1,13
2020-03-28,,,,,,,,,,,,,,,,,,,,146,18,1,71,5,,,,,21,1,,2,,,2,,1,24
2020-03-29,,,,,,,,,,,,,,,,,,,,105,20,3,23,7,,3,,2,15,2,,1,2,1,2,3,,21
2020-03-30,,,,,,,,,,,,,,,,,,,,78,16,1,14,,,,,,15,2,3,,1,,11,1,1,13
2020-03-31,,,,,,,,,,,,,,,,,,,,125,24,1,60,6,,2,,,13,,,1,,,2,1,,15
