tDate,Acc_1,Acc_2,Acc_3,Acc_4,PF_1,PF_2,PF_3,PF_4,M_1,M_2,M_3,M_4,AZ_1,AZ_2,AZ_3,AZ_4,J_1_2,J_3,J_4,NV_1,NV_2,NV_3,NV_4,SC_1,SC_2,SC_3,SC_4,ETC_1,ETC_2,ETC_3,ETC_4,AccWinter,Winter_M_BA_1,Winter_PF_BA_1,Winter_PF_BA_4_5,Winter_NV,Winter_SC
2021-02-26,39063,11171,1,0,5757,3121,0,0,7587,4671,0,0,20667,5,1,0,46,0,0,0,0,0,0,0,0,0,0,5006,3328,0,0,0,0,0,0,0,0
2021-02-27,1750,217,0,0,487,84,0,0,91,112,0,0,1126,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,19,0,0,0,0,0,0,0,0
2021-02-28,1034,105,0,0,388,47,0,0,42,42,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0
2021-03-01,1944,264,0,0,472,88,0,0,146,65,0,0,1203,0,0,0,5,0,0,0,0,0,0,0,0,0,0,118,106,0,0,0,0,0,0,0,0
2021-03-02,66234,302,1,0,870,98,0,0,168,122,0,0,65066,0,1,0,3,0,0,0,0,0,0,0,0,0,0,127,79,0,0,0,0,0,0,0,0
2021-03-03,69398,311,0,0,1469,102,0,0,141,142,0,0,67646,0,0,0,4,0,0,0,0,0,0,0,0,0,0,138,63,0,0,0,0,0,0,0,0
2021-03-04,70719,513,0,0,1453,108,0,0,166,333,0,0,68919,0,0,0,11,0,0,0,0,0,0,0,0,0,0,170,61,0,0,0,0,0,0,0,0
2021-03-05,71176,418,0,0,1662,105,0,0,332,203,0,0,68999,0,0,0,12,0,0,0,0,0,0,0,0,0,0,171,98,0,0,0,0,0,0,0,0
2021-03-06,18480,163,0,0,210,56,0,0,105,53,0,0,18065,1,0,0,26,0,0,0,0,0,0,0,0,0,0,74,27,0,0,0,0,0,0,0,0
2021-03-07,2436,100,0,0,170,36,0,0,62,22,0,0,2110,0,0,0,23,0,0,0,0,0,0,0,0,0,0,71,19,0,0,0,0,0,0,0,0
2021-03-08,68112,262,0,0,1464,65,0,0,276,84,0,0,66213,3,0,0,32,0,0,0,0,0,0,0,0,0,0,127,78,0,0,0,0,0,0,0,0
2021-03-09,64287,475,0,0,2451,107,0,0,319,172,0,0,61197,0,0,0,24,0,0,0,0,0,0,0,0,0,0,296,172,0,0,0,0,0,0,0,0
2021-03-10,55033,575,0,0,5287,106,0,0,172,100,0,0,49121,0,0,0,272,0,0,0,0,0,0,0,0,0,0,181,97,0,0,0,0,0,0,0,0
2021-03-11,45453,667,0,0,7490,142,0,0,189,189,0,0,37345,1,0,0,235,0,0,0,0,0,0,0,0,0,0,194,100,0,0,0,0,0,0,0,0
2021-03-12,39206,593,0,0,6637,120,0,0,235,113,0,0,31903,0,0,0,254,0,0,0,0,0,0,0,0,0,0,177,106,0,0,0,0,0,0,0,0
2021-03-13,4508,212,0,0,792,62,0,0,112,58,0,0,3330,0,0,0,64,0,0,0,0,0,0,0,0,0,0,210,28,0,0,0,0,0,0,0,0
2021-03-14,1808,138,0,0,270,30,0,0,66,27,0,0,1158,0,0,0,57,0,0,0,0,0,0,0,0,0,0,257,24,0,0,0,0,0,0,0,0
2021-03-15,14202,1184,0,0,930,91,0,0,155,58,0,0,11897,1,0,0,905,0,0,0,0,0,0,0,0,0,0,315,129,0,0,0,0,0,0,0,0
2021-03-16,20523,1041,0,0,7046,145,0,0,242,98,0,0,12244,3,0,0,692,0,0,0,0,0,0,0,0,0,0,299,103,0,0,0,0,0,0,0,0
2021-03-17,21428,922,0,0,10436,149,0,0,273,71,0,0,9885,1,0,0,611,0,0,0,0,0,0,0,0,0,0,223,90,0,0,0,0,0,0,0,0
2021-03-18,20778,900,0,0,9488,198,0,0,296,181,0,0,10413,5,0,0,386,0,0,0,0,0,0,0,0,0,0,195,130,0,0,0,0,0,0,0,0
2021-03-19,18572,1016,0,0,6678,176,0,0,302,86,0,0,10757,2,0,0,592,0,0,0,0,0,0,0,0,0,0,243,160,0,0,0,0,0,0,0,0
2021-03-20,1992,541,0,0,1347,442,0,0,179,35,0,0,328,1,0,0,27,0,0,0,0,0,0,0,0,0,0,111,36,0,0,0,0,0,0,0,0
2021-03-21,831,451,0,0,339,387,0,0,109,17,0,0,60,1,0,0,19,0,0,0,0,0,0,0,0,0,0,304,27,0,0,0,0,0,0,0,0
