tDate,YesterdayQuarantineRelease,YesterdayQuarantine,YesterdayIllPatient,YesterdayDead,TodayQuarantineRelease,TodayQuarantine,TodayIllPatient,TodayDead,VarianceQuarantineRelease,VarianceQuarantine,VarianceIllPatient,VarianceDead
2020-09-15,18489,3433,157,363,18878,3146,158,367,389,-287,1,4
2020-09-16,18878,3146,158,367,19310,2827,160,367,432,-319,2,0
2020-09-17,19310,2827,160,367,19543,2742,160,372,233,-85,0,5
2020-09-18,19543,2742,150,372,19771,2635,150,377,228,-107,-10,5
2020-09-19,19771,2635,150,377,19970,2545,152,378,199,-90,2,1
2020-09-20,19970,2545,152,378,20158,2434,146,383,188,-111,-6,5
2020-09-21,20158,2434,146,383,20248,2412,141,385,90,-22,-5,2
2020-09-22,20248,2412,141,385,20441,2277,144,388,193,-135,3,3
2020-09-23,20441,2277,144,388,20650,2178,139,388,209,-99,-5,0
2020-09-24,20650,2178,139,388,20832,2116,126,393,182,-62,-13,5
2020-09-25,20832,2116,126,393,20977,2082,128,395,145,-34,2,2
2020-09-26,20977,2083,128,395,21166,1951,122,399,189,-132,-6,4
2020-09-27,21166,1951,122,399,21248,1962,124,401,82,11,2,2
2020-09-28,21248,1962,124,401,21292,1963,120,406,44,1,-4,5
2020-09-29,21292,1963,120,406,21470,1822,115,407,178,-141,-5,1
2020-09-30,21470,1822,115,407,21591,1808,109,413,121,-14,-6,6
2020-10-01,21591,1808,109,413,21666,1808,107,415,75,0,-2,2
2020-10-02,21666,1808,107,415,21733,1803,107,416,67,-5,0,1
2020-10-03,21733,1803,107,416,21787,1820,104,420,54,17,-3,4
2020-10-04,21787,1820,104,420,21845,1825,105,421,58,5,1,1
2020-10-05,21845,1825,105,421,21886,1856,107,422,41,31,2,1
2020-10-06,21886,1856,107,422,22083,1734,105,422,197,-122,-2,0
2020-10-07,22083,1734,105,422,22334,1594,102,425,251,-140,-3,3
2020-10-08,22334,1594,102,425,22463,1532,97,427,129,-62,-5,2
2020-10-09,22463,1532,97,427,22569,1479,94,428,106,-53,-3,1
2020-10-10,22569,1479,94,428,22624,1494,89,430,55,15,-5,2
2020-10-11,22624,1494,89,430,22693,1481,89,432,69,-13,0,2
2020-10-12,22693,1481,89,432,22729,1541,87,433,36,60,-2,1
2020-10-13,22728,1542,87,433,22863,1508,91,434,135,-34,4,1
2020-10-14,22863,1508,91,434,23030,1421,85,438,167,-87,-6,4
2020-10-15,23030,1410,85,438,23082,1467,82,439,52,57,-3,1
2020-10-16,23082,1467,82,439,23180,1414,85,441,98,-53,3,2
2020-10-17,23180,1414,85,441,23258,1407,84,443,78,-7,-1,2
2020-10-18,23258,1407,78,443,23312,1443,77,444,54,36,-1,1
2020-10-19,23312,1443,77,444,23368,1463,78,444,56,20,1,0
2020-10-20,23368,1463,78,444,23466,1420,71,447,98,-43,-7,3
2020-10-21,23466,1420,71,447,23584,1390,70,450,118,-30,-1,3
2020-10-22,23584,1388,70,450,23647,1443,62,453,63,55,-8,3
2020-10-23,23647,1443,62,453,23717,1526,62,455,70,83,0,2
2020-10-24,23717,1526,62,455,23834,1484,60,457,117,-42,-2,2
2020-10-25,23834,1484,60,457,23869,1510,53,457,35,26,-7,0
2020-10-26,23869,1510,53,457,23905,1593,53,457,36,83,0,0
2020-10-27,23905,1593,53,457,23981,1602,52,460,76,9,-1,3
2020-10-28,23981,1602,52,460,24073,1612,52,461,92,10,0,1
2020-10-29,24073,1612,52,461,24168,1641,53,462,95,29,1,1
2020-10-30,24168,1641,53,462,24227,1695,51,463,59,54,-2,1
2020-10-31,24227,1694,51,463,24311,1736,54,464,84,42,3,1
2020-11-01,24311,1736,54,464,24357,1812,51,466,46,76,-3,2
2020-11-02,24357,1812,51,466,24395,1869,49,468,38,57,-2,2
2020-11-03,24395,1869,49,468,24510,1825,52,472,115,-44,3,4
2020-11-04,24510,1825,52,472,24616,1835,53,474,106,10,1,2
2020-11-05,24616,1835,53,474,24735,1840,51,475,119,5,-2,1
2020-11-06,24735,1840,51,475,24821,1898,50,476,86,58,-1,1
2020-11-07,24821,1898,50,476,24910,1897,53,477,89,-1,3,1
2020-11-08,24910,1897,53,477,24968,1981,58,478,58,84,5,1
2020-11-09,24968,1981,58,478,25029,2044,57,480,61,63,-1,2
2020-11-10,25029,2044,57,480,25160,2008,54,485,131,-36,-3,5
2020-11-11,25160,2008,54,485,25266,2046,49,487,106,38,-5,2
2020-11-12,25266,2046,49,487,25404,2051,53,487,138,5,4,0
2020-11-13,25404,2051,53,487,25537,2108,50,488,133,57,-3,1
2020-11-14,25537,2108,50,488,25636,2210,54,492,99,102,4,4
2020-11-15,25636,2210,54,492,25691,2362,56,493,55,152,2,1
2020-11-16,25691,2362,56,493,25759,2516,55,494,68,154,-1,1
2020-11-17,25759,2515,55,494,25860,2644,60,494,101,129,5,0
2020-11-18,25860,2644,60,494,25973,2842,67,496,113,198,7,2
2020-11-19,25973,2842,67,496,26098,3058,79,498,125,216,12,2
2020-11-20,26098,3058,79,498,26263,3253,84,501,165,195,5,3
2020-11-21,26263,3253,84,501,26365,3535,86,503,102,282,2,2
2020-11-22,26365,3535,86,503,26466,3762,87,505,101,227,1,2
2020-11-23,26466,3762,87,505,26539,3956,79,509,73,194,-8,4
2020-11-24,26539,3956,79,509,26722,4121,79,510,183,165,0,1
2020-11-25,26722,4121,79,510,26825,4397,81,513,103,276,2,3
2020-11-26,26825,4397,81,513,26950,4853,78,515,125,456,-3,2
2020-11-27,26950,4853,78,515,27103,5268,77,516,153,415,-1,1
2020-11-28,27103,5252,77,516,27349,5504,78,522,246,252,1,6
2020-11-29,27349,5503,78,522,27542,5759,76,523,193,256,-2,1
2020-11-30,27542,5698,76,523,27625,6050,76,526,83,352,0,3
2020-12-01,27625,6050,76,526,27885,6241,97,526,260,191,21,0
2020-12-02,27885,6241,97,526,28065,6572,101,526,180,331,4,0
2020-12-03,28065,6572,101,526,28352,6822,117,529,287,250,16,3
2020-12-04,28352,6822,117,529,28611,7185,116,536,259,363,-1,7
2020-12-05,28611,7185,116,536,28917,7458,121,540,306,273,5,4
2020-12-06,28917,7458,121,540,29128,7873,125,545,211,415,4,5
2020-12-07,29128,7873,125,545,29301,8311,126,549,173,438,1,4
2020-12-08,29301,8311,126,549,29650,8553,134,552,349,242,8,3
2020-12-09,29650,8544,134,552,30177,8699,149,556,527,155,15,4
2020-12-10,30177,8683,149,556,30637,8897,172,564,460,214,23,8
2020-12-11,30637,8896,172,564,31157,9057,169,572,520,161,-3,8
2020-12-12,31157,9057,169,572,31493,9665,179,578,336,608,10,6
2020-12-13,31493,9665,179,578,31814,10372,179,580,321,707,0,2
2020-12-14,31814,10372,179,580,32102,10795,185,587,288,423,6,7
2020-12-15,32102,10795,185,587,32559,11205,205,600,457,410,20,13
2020-12-16,32559,11205,205,600,32947,11883,226,612,388,678,21,12
2020-12-17,32947,11880,226,612,33610,12209,242,634,663,329,16,22
2020-12-18,33610,12209,242,634,33982,12888,246,645,372,679,4,11
2020-12-19,33982,12890,246,645,34334,13577,275,659,352,687,29,14
2020-12-20,34334,13575,275,659,34722,14269,278,674,388,694,3,15
2020-12-21,34722,14269,278,674,35155,14738,274,698,433,469,-4,24
2020-12-22,35155,14738,274,698,35928,14810,281,722,773,72,7,24
2020-12-23,35928,14808,281,722,36726,15085,284,739,798,277,3,17
