tDate,NewSum,NewInflowChina,NewInflowAsia,NewInflowEU,NewInflowAmerica,NewInflowAfrica,NewInflowOS,NewConfirmQuarantine,NewConfirmSocial,NewNationalityLocal,NewNationalityForeigner,AccSum,AccInflowChina,AccInflowAsia,AccInflowEU,AccInflowAmerica,AccInflowAfrica,AccInflowOS,AccConfirmQuarantine,AccConfirmSocial,AccNationalityLocal,AccNationalityForeigner
2020-09-15,15,0,5,2,8,0,0,5,10,8,7,3029,23,1438,556,916,82,14,1428,1601,1882,1147
2020-09-16,8,0,3,2,2,1,0,2,6,5,3,3038,23,1442,558,918,83,14,1430,1608,1888,1150
2020-09-17,8,0,6,0,2,0,0,2,6,5,3,3046,23,1449,557,920,83,14,1432,1614,1893,1153
2020-09-18,17,0,9,3,5,0,0,2,15,5,12,3063,23,1458,560,925,83,14,1434,1629,1898,1165
2020-09-19,4,0,4,0,0,0,0,1,3,2,2,3067,23,1462,560,925,83,14,1435,1632,1900,1167
2020-09-20,10,0,6,3,1,0,0,6,4,1,9,3077,23,1468,563,926,83,14,1441,1636,1901,1176
2020-09-21,15,0,11,3,0,0,1,10,5,4,11,3092,23,1479,566,926,83,15,1451,1641,1905,1187
2020-09-22,10,0,5,1,4,0,0,2,8,1,9,3102,23,1484,567,930,83,15,1453,1649,1906,1196
2020-09-23,11,0,8,2,1,0,0,6,5,5,6,3114,23,1492,570,931,83,15,1459,1655,1912,1202
2020-09-24,15,0,10,3,2,0,0,5,10,3,12,3129,23,1502,573,933,83,15,1464,1665,1915,1214
2020-09-25,19,0,15,2,2,0,0,6,13,3,16,3149,23,1518,574,936,83,15,1470,1679,1919,1230
2020-09-26,12,0,10,1,1,0,0,9,3,7,5,3161,23,1536,567,937,83,15,1479,1682,1926,1235
2020-09-27,22,0,18,3,1,0,0,11,11,9,13,3183,23,1554,570,938,83,15,1490,1693,1935,1248
2020-09-28,10,0,8,1,1,0,0,7,3,7,3,3193,23,1562,571,939,83,15,1497,1696,1942,1251
2020-09-29,15,0,9,2,4,0,0,9,6,3,12,3208,23,1571,573,943,83,15,1506,1702,1945,1263
2020-09-30,20,0,18,1,1,0,0,5,15,5,15,3228,23,1589,574,944,83,15,1511,1717,1950,1278
2020-10-01,10,0,8,0,1,1,0,6,4,2,8,3237,23,1596,574,945,84,15,1517,1720,1952,1285
2020-10-02,10,0,7,3,0,0,0,6,4,5,5,3247,23,1603,577,945,84,15,1523,1724,1957,1290
2020-10-03,23,0,12,5,3,3,0,14,9,10,13,3270,23,1615,582,948,87,15,1537,1733,1967,1303
2020-10-04,17,0,13,3,1,0,0,9,8,6,11,3287,23,1628,585,949,87,15,1546,1741,1973,1314
2020-10-05,9,0,3,4,2,0,0,2,7,7,2,3296,23,1631,589,951,87,15,1548,1748,1980,1316
2020-10-06,9,0,4,3,1,1,0,5,4,3,6,3305,23,1635,592,952,88,15,1553,1752,1983,1322
2020-10-07,20,1,15,2,0,2,0,7,13,11,9,3325,24,1650,594,952,90,15,1560,1765,1994,1331
2020-10-08,9,0,5,1,3,0,0,3,6,2,7,3334,24,1655,595,955,90,15,1563,1771,1996,1338
2020-10-09,16,0,5,1,8,2,0,6,10,4,12,3350,24,1660,596,963,92,15,1569,1781,2000,1350
2020-10-10,11,0,6,5,0,0,0,5,6,6,5,3361,24,1666,601,963,92,15,1574,1787,2006,1355
2020-10-11,12,0,8,2,2,0,0,3,9,6,6,3373,24,1674,603,965,92,15,1577,1796,2012,1361
2020-10-12,29,0,25,1,2,1,0,9,20,5,24,3402,24,1699,604,967,93,15,1586,1816,2017,1385
2020-10-13,33,0,26,1,6,0,0,21,12,4,29,3435,24,1725,605,973,93,15,1607,1828,2021,1414
2020-10-14,31,0,16,0,15,0,0,14,17,2,29,3466,24,1741,605,988,93,15,1621,1845,2023,1443
2020-10-15,15,0,7,3,4,1,0,6,9,3,12,3470,24,1737,608,992,94,15,1616,1854,2026,1444
2020-10-16,6,0,3,1,2,0,0,3,3,1,5,3476,24,1740,609,994,94,15,1619,1857,2027,1449
2020-10-17,11,0,7,3,1,0,0,5,6,7,4,3487,24,1747,612,995,94,15,1624,1863,2034,1453
2020-10-18,20,0,17,1,2,0,0,13,7,4,16,3507,24,1764,613,997,94,15,1637,1870,2038,1469
2020-10-19,26,0,15,7,3,1,0,12,14,8,18,3533,24,1779,620,1000,95,15,1649,1884,2047,1486
2020-10-20,17,2,3,3,8,1,0,3,14,3,14,3550,26,1782,623,1008,96,15,1652,1898,2050,1500
2020-10-21,34,0,19,11,3,1,0,22,12,9,25,3584,26,1801,634,1011,97,15,1674,1910,2059,1525
2020-10-22,17,0,7,5,3,2,0,9,8,4,13,3599,26,1806,639,1014,99,15,1681,1918,2063,1536
2020-10-23,17,0,8,3,6,0,0,8,9,6,11,3616,26,1814,642,1020,99,15,1689,1927,2069,1547
2020-10-24,11,0,6,1,4,0,0,6,5,4,7,3627,26,1820,643,1024,99,15,1695,1932,2073,1554
2020-10-25,11,0,6,4,0,1,0,9,2,3,8,3638,26,1826,647,1024,100,15,1704,1934,2076,1562
2020-10-26,25,0,17,6,1,1,0,17,8,10,15,3663,26,1843,653,1025,101,15,1721,1942,2086,1577
2020-10-27,16,0,3,6,7,0,0,5,11,6,10,3679,26,1846,659,1032,101,15,1726,1953,2092,1587
2020-10-28,7,0,3,2,0,2,0,2,5,2,5,3686,26,1850,660,1032,103,15,1728,1958,2094,1592
2020-10-29,19,0,10,1,8,0,0,9,10,6,13,3705,26,1860,661,1040,103,15,1737,1968,2100,1605
2020-10-30,21,0,8,4,9,0,0,4,17,11,10,3726,26,1868,665,1049,103,15,1741,1985,2111,1615
2020-10-31,31,0,23,2,6,0,0,25,6,5,26,3755,26,1890,667,1054,103,15,1766,1989,2116,1639
2020-11-01,23,0,19,3,1,0,0,14,9,11,12,3778,26,1909,670,1055,103,15,1780,1998,2127,1651
2020-11-02,18,0,11,4,3,0,0,7,11,6,12,3796,26,1920,674,1058,103,15,1787,2009,2133,1663
2020-11-03,29,0,7,8,13,1,0,12,17,13,16,3825,26,1927,682,1071,104,15,1799,2026,2146,1679
2020-11-04,20,0,7,8,5,0,0,11,9,9,11,3845,26,1934,690,1076,104,15,1810,2035,2155,1690
2020-11-05,17,0,9,5,3,0,0,6,11,5,12,3862,26,1943,695,1079,104,15,1816,2046,2160,1702
2020-11-06,28,0,9,4,12,1,2,11,17,5,23,3890,26,1952,699,1091,105,17,1827,2063,2165,1725
2020-11-07,17,0,4,4,6,3,0,8,9,6,11,3907,26,1956,703,1097,108,17,1835,2072,2171,1736
2020-11-08,25,0,6,9,8,2,0,14,11,17,8,3932,26,1962,712,1105,110,17,1849,2083,2188,1744
2020-11-09,27,0,13,8,5,1,0,11,16,16,11,3959,26,1975,720,1110,111,17,1860,2099,2204,1755
2020-11-10,29,0,5,6,18,0,0,8,21,11,18,3988,26,1980,726,1128,111,17,1868,2120,2215,1773
2020-11-11,33,0,11,6,13,3,0,8,25,18,15,4021,26,1991,732,1141,114,17,1876,2145,2233,1788
2020-11-12,15,0,7,2,1,4,1,9,6,4,11,4036,26,1998,734,1142,118,18,1885,2151,2237,1799
2020-11-13,29,0,11,4,12,2,0,14,15,7,22,4065,26,2009,738,1154,120,18,1899,2166,2244,1821
2020-11-14,39,1,19,8,11,0,0,21,18,19,20,4104,27,2031,746,1165,117,18,1920,2184,2263,1841
2020-11-15,32,0,16,6,10,0,0,18,14,22,10,4136,27,2047,752,1175,117,18,1938,2198,2285,1851
2020-11-16,30,0,24,2,4,0,0,23,7,10,20,4166,27,2071,754,1179,117,18,1961,2205,2295,1871
2020-11-17,28,0,14,2,12,0,0,8,20,8,20,4194,27,2084,756,1191,118,18,1969,2225,2303,1891
2020-11-18,68,0,21,8,38,1,0,50,18,18,50,4262,27,2105,764,1229,119,18,2019,2243,2321,1941
2020-11-19,50,0,23,7,14,6,0,39,11,17,33,4312,27,2128,771,1243,125,18,2058,2254,2338,1974
2020-11-20,43,0,22,4,16,1,0,23,20,12,31,4355,27,2150,775,1259,126,18,2081,2274,2350,2005
