tDate,SumTodayNewLocal,SumTodayNewForeign,SumAccConfirmed,SumPercent,SumPer10HS,SeoulTodayNewLocal,SeoulTodayNewForeign,SeoulAccConfirmed,SeoulPercent,SeoulPer10HS,BusanTodayNewLocal,BusanTodayNewForeign,BusanAccConfirmed,BusanPercent,BusanPer10HS,DaeguTodayNewLocal,DaeguTodayNewForeign,DaeguAccConfirmed,DaeguPercent,DaeguPer10HS,IncheonTodayNewLocal,IncheonTodayNewForeign,IncheonAccConfirmed,IncheonPercent,IncheonPer10HS,GwangjuTodayNewLocal,GwangjuTodayNewForeign,GwangjuAccConfirmed,GwangjuPercent,GwangjuPer10HS,DaejeonTodayNewLocal,DaejeonTodayNewForeign,DaejeonAccConfirmed,DaejeonPercent,DaejeonPer10HS,UlsanTodayNewLocal,UlsanTodayNewForeign,UlsanAccConfirmed,UlsanPercent,UlsanPer10HS,SejongTodayNewLocal,SejongTodayNewForeign,SejongAccConfirmed,SejongPercent,SejongPer10HS,GyeonggiTodayNewLocal,GyeonggiTodayNewForeign,GyeonggiAccConfirmed,GyeonggiPercent,GyeonggiPer10HS,GangwonTodayNewLocal,GangwonTodayNewForeign,GangwonAccConfirmed,GangwonPercent,GangwonPer10HS,ChungbukTodayNewLocal,ChungbukTodayNewForeign,ChungbukAccConfirmed,ChungbukPercent,ChungbukPer10HS,ChungnamTodayNewLocal,ChungnamTodayNewForeign,ChungnamAccConfirmed,ChungnamPercent,ChungnamPer10HS,JeonbukTodayNewLocal,JeonbukTodayNewForeign,JeonbukAccConfirmed,JeonbukPercent,JeonbukPer10HS,JeonnamTodayNewLocal,JeonnamTodayNewForeign,JeonnamAccConfirmed,JeonnamPercent,JeonnamPer10HS,GyeongbukTodayNewLocal,GyeongbukTodayNewForeign,GyeongbukAccConfirmed,GyeongbukPercent,GyeongbukPer10HS,GyeongnamTodayNewLocal,GyeongnamTodayNewForeign,GyeongnamAccConfirmed,GyeongnamPercent,GyeongnamPer10HS,JejuTodayNewLocal,JejuTodayNewForeign,JejuAccConfirmed,JejuPercent,JejuPer10HS,QuarantineTodayNewLocal,QuarantineTodayNewForeign,QuarantineAccConfirmed,QuarantinePercent,QuarantinePer10HS
2020-09-15,91,15,22391,100,43.19,32,0,4743,21.18,48.73,4,0,361,1.61,10.58,0,0,7112,31.76,291.9,8,1,843,3.76,28.52,1,0,482,2.15,33.09,2,1,345,1.54,23.4,0,0,141,0.63,12.29,0,0,70,0.31,20.45,31,8,3972,17.74,29.98,1,0,217,0.97,14.09,2,0,149,0.67,9.32,3,0,445,1.99,20.97,1,0,101,0.45,5.56,0,0,166,0.74,8.9,1,0,1489,6.65,55.92,2,0,271,1.21,8.06,3,0,56,0.25,8.35,0,5,1428,6.38,0
2020-09-16,105,8,22504,100,43.4,49,2,4794,21.3,49.25,4,0,365,1.62,10.7,4,0,7116,31.62,292.06,8,1,852,3.79,28.82,2,0,484,2.15,33.23,1,0,346,1.54,23.47,0,0,141,0.63,12.29,0,0,70,0.31,20.45,24,2,3998,17.77,30.17,0,0,217,0.96,14.09,2,0,151,0.67,9.44,2,0,447,1.99,21.06,5,0,106,0.47,5.83,0,0,166,0.74,8.9,2,0,1491,6.63,56,2,1,274,1.22,8.15,0,0,56,0.25,8.35,0,2,1430,6.35,0
2020-09-17,145,8,22657,100,43.7,62,1,4857,21.44,49.9,2,0,367,1.62,10.76,2,0,7118,31.42,292.14,7,0,859,3.79,29.06,1,0,485,2.14,33.29,1,1,348,1.54,23.61,0,0,141,0.62,12.29,0,0,70,0.31,20.45,52,2,4052,17.88,30.58,0,0,217,0.96,14.09,0,0,151,0.67,9.44,9,1,457,2.02,21.53,0,0,106,0.47,5.83,0,1,167,0.74,8.96,6,0,1497,6.61,56.23,3,0,277,1.22,8.24,0,0,56,0.25,8.35,0,2,1432,6.32,0
2020-09-18,109,17,22783,100,43.94,46,0,4904,21.52,50.38,1,1,369,1.62,10.82,2,0,7120,31.25,292.22,4,2,865,3.8,29.26,0,0,485,2.13,33.29,2,1,350,1.54,23.74,0,0,141,0.62,12.29,0,0,70,0.31,20.45,32,5,4089,17.95,30.86,0,0,217,0.95,14.09,3,0,154,0.68,9.63,3,3,463,2.03,21.81,7,1,114,0.5,6.27,0,0,167,0.73,8.96,5,0,1502,6.59,56.41,3,1,281,1.23,8.36,1,1,58,0.25,8.65,0,2,1434,6.29,0
2020-09-19,106,4,22893,100,44.15,38,2,4944,21.6,50.79,2,0,371,1.62,10.87,2,0,7122,31.11,292.31,11,0,876,3.83,29.63,0,0,485,2.12,33.29,2,0,352,1.54,23.88,0,0,141,0.62,12.29,0,0,70,0.31,20.45,41,0,4130,18.04,31.17,0,0,217,0.95,14.09,1,0,155,0.68,9.69,4,0,467,2.04,22,1,0,115,0.5,6.33,0,0,167,0.73,8.96,4,0,1506,6.58,56.56,0,1,282,1.23,8.39,0,0,58,0.25,8.65,0,1,1435,6.27,0
2020-09-20,72,10,22975,100,44.31,28,0,4972,21.64,51.08,6,0,377,1.64,11.05,2,0,7124,31.01,292.39,3,0,879,3.83,29.73,0,0,485,2.11,33.29,1,1,354,1.54,24.01,1,0,142,0.62,12.38,0,0,70,0.3,20.45,24,2,4156,18.09,31.37,0,0,217,0.94,14.09,1,0,156,0.68,9.75,1,0,468,2.04,22.05,0,0,115,0.5,6.33,0,0,167,0.73,8.96,4,1,1511,6.58,56.75,1,0,283,1.23,8.42,0,0,58,0.25,8.65,0,6,1441,6.27,0
2020-09-21,55,15,23045,100,44.45,21,2,4995,21.67,51.32,8,0,385,1.67,11.28,0,1,7125,30.92,292.43,1,1,881,3.82,29.8,0,1,486,2.11,33.36,2,0,356,1.54,24.15,0,0,142,0.62,12.38,0,0,70,0.3,20.45,18,0,4174,18.11,31.5,0,0,217,0.94,14.09,2,0,158,0.69,9.88,0,0,468,2.03,22.05,0,0,115,0.5,6.33,0,0,167,0.72,8.96,1,0,1512,6.56,56.79,2,0,285,1.24,8.48,0,0,58,0.25,8.65,0,10,1451,6.3,0
2020-09-22,51,10,23106,100,44.57,20,1,5016,21.71,51.53,5,0,390,1.69,11.43,0,0,7125,30.84,292.43,2,0,883,3.82,29.87,0,0,486,2.1,33.36,0,0,356,1.54,24.15,1,0,143,0.62,12.47,0,1,71,0.31,20.74,14,6,4194,18.15,31.65,2,0,219,0.95,14.22,2,0,160,0.69,10,0,0,468,2.03,22.05,0,0,115,0.5,6.33,0,0,167,0.72,8.96,4,0,1516,6.56,56.94,1,0,286,1.24,8.51,0,0,58,0.25,8.65,0,2,1453,6.29,0
2020-09-23,99,11,23216,100,44.78,40,0,5056,21.78,51.94,6,1,397,1.71,11.64,3,0,7128,30.7,292.55,5,0,888,3.82,30.04,2,0,488,2.1,33.5,0,0,356,1.53,24.15,2,0,145,0.62,12.64,0,0,71,0.31,20.74,28,2,4224,18.19,31.88,1,0,220,0.95,14.28,2,0,162,0.7,10.13,4,1,473,2.04,22.29,0,1,116,0.5,6.38,0,0,167,0.72,8.96,6,0,1522,6.56,57.16,0,0,286,1.23,8.51,0,0,58,0.25,8.65,0,6,1459,6.28,0
2020-09-24,110,15,23341,100,45.02,39,0,5095,21.83,52.34,7,0,404,1.73,11.84,1,0,7129,30.54,292.59,10,0,898,3.85,30.38,0,0,488,2.09,33.5,1,0,357,1.53,24.22,0,0,145,0.62,12.64,0,3,74,0.32,21.62,43,5,4272,18.3,32.24,2,0,222,0.95,14.41,1,1,164,0.7,10.25,1,0,474,2.03,22.33,1,0,117,0.5,6.44,0,1,168,0.72,9.01,2,0,1524,6.53,57.24,1,0,287,1.23,8.54,1,0,59,0.25,8.8,0,5,1464,6.27,0
