tDate,SumTodayNewLocal,SumTodayNewForeign,SumAccConfirmed,SumPercent,SumPer10HS,SeoulTodayNewLocal,SeoulTodayNewForeign,SeoulAccConfirmed,SeoulPercent,SeoulPer10HS,BusanTodayNewLocal,BusanTodayNewForeign,BusanAccConfirmed,BusanPercent,BusanPer10HS,DaeguTodayNewLocal,DaeguTodayNewForeign,DaeguAccConfirmed,DaeguPercent,DaeguPer10HS,IncheonTodayNewLocal,IncheonTodayNewForeign,IncheonAccConfirmed,IncheonPercent,IncheonPer10HS,GwangjuTodayNewLocal,GwangjuTodayNewForeign,GwangjuAccConfirmed,GwangjuPercent,GwangjuPer10HS,DaejeonTodayNewLocal,DaejeonTodayNewForeign,DaejeonAccConfirmed,DaejeonPercent,DaejeonPer10HS,UlsanTodayNewLocal,UlsanTodayNewForeign,UlsanAccConfirmed,UlsanPercent,UlsanPer10HS,SejongTodayNewLocal,SejongTodayNewForeign,SejongAccConfirmed,SejongPercent,SejongPer10HS,GyeonggiTodayNewLocal,GyeonggiTodayNewForeign,GyeonggiAccConfirmed,GyeonggiPercent,GyeonggiPer10HS,GangwonTodayNewLocal,GangwonTodayNewForeign,GangwonAccConfirmed,GangwonPercent,GangwonPer10HS,ChungbugTodayNewLocal,ChungbugTodayNewForeign,ChungbugAccConfirmed,ChungbugPercent,ChungbugPer10HS,ChungnamTodayNewLocal,ChungnamTodayNewForeign,ChungnamAccConfirmed,ChungnamPercent,ChungnamPer10HS,JeonbugTodayNewLocal,JeonbugTodayNewForeign,JeonbugAccConfirmed,JeonbugPercent,JeonbugPer10HS,JeonnamTodayNewLocal,JeonnamTodayNewForeign,JeonnamAccConfirmed,JeonnamPercent,JeonnamPer10HS,GyeongbugTodayNewLocal,GyeongbugTodayNewForeign,GyeongbugAccConfirmed,GyeongbugPercent,GyeongbugPer10HS,GyeongnamTodayNewLocal,GyeongnamTodayNewForeign,GyeongnamAccConfirmed,GyeongnamPercent,GyeongnamPer10HS,JejuTodayNewLocal,JejuTodayNewForeign,JejuAccConfirmed,JejuPercent,JejuPer10HS,QuarantineTodayNewLocal,QuarantineTodayNewForeign,QuarantineAccConfirmed,QuarantinePercent,QuarantinePer10HS
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,4812,100,9.3,0,0,98,2,1,0,0,90,1.9,2.6,0,0,3600,74.8,147.8,0,0,7,0.1,0.2,0,0,11,0.2,0.8,0,0,14,0.3,0.9,0,0,20,0.4,1.7,0,0,1,0,0.3,0,0,94,2,0.7,0,0,20,0.4,1.3,0,0,12,0.2,0.8,0,0,81,1.7,3.8,0,0,7,0.1,0.4,0,0,5,0.1,0.3,0,0,685,14.2,25.7,0,0,64,1.3,1.9,0,0,3,0.1,0.4,0,0,0,0,0
2020-03-04,0,0,5328,100,10.3,0,0,99,1.9,1,0,0,93,1.7,2.7,0,0,4006,75.2,164.4,0,0,9,0.2,0.3,0,0,13,0.2,0.9,0,0,15,0.3,1,0,0,23,0.4,2,0,0,1,0,0.3,0,0,101,1.99,0.8,0,0,21,0.4,1.4,0,0,11,0.2,0.7,0,0,82,1.5,3.9,0,0,7,0.1,0.4,0,0,5,0.1,0.3,0,0,774,14.5,29.1,0,0,65,1.2,1.9,0,0,3,0.1,0.4,0,0,0,0,0
2020-03-05,0,0,5766,100,11.1,0,0,103,1.8,1.1,0,0,92,1.6,2.7,0,0,4326,75,177.6,0,0,9,0.2,0.3,0,0,14,0.2,1,0,0,16,0.3,1.1,0,0,23,0.4,2,0,0,1,0,0.3,0,0,110,1.9,0.8,0,0,23,0.4,1.5,0,0,12,0.2,0.8,0,0,86,1.5,4.1,0,0,7,0.1,0.4,0,0,5,0.1,0.3,0,0,861,14.9,32.3,0,0,74,1.3,2.2,0,0,4,0.1,0.6,0,0,0,0,0
2020-03-06,0,0,6284,100,12.1,0,0,105,1.7,1.1,0,0,95,1.5,2.8,0,0,4693,74.7,192.6,0,0,9,0.1,0.3,0,0,13,0.2,0.9,0,0,18,0.3,1.2,0,0,23,0.4,2,0,0,1,0,0.3,0,0,120,1.9,0.9,0,0,25,0.4,1.6,0,0,15,0.2,0.9,0,0,90,1.4,4.2,0,0,7,0.1,0.4,0,0,5,0.1,0.3,0,0,984,15.7,37,0,0,77,1.2,2.3,0,0,4,0.1,0.6,0,0,0,0,0
2020-03-07,0,0,6767,100,13.1,0,0,108,1.6,1.1,0,0,96,1.4,2.8,0,0,5084,75.1,208.7,0,0,9,0.1,0.3,0,0,13,0.2,0.9,0,0,18,0.3,1.2,0,0,23,0.3,2,0,0,2,0,0.6,0,0,130,1.9,1,0,0,26,0.4,1.7,0,0,20,0.3,1.3,0,0,92,1.4,4.3,0,0,7,0.1,0.4,0,0,7,0.1,0.2,0,0,1049,15.5,39.4,0,0,82,1.2,2.4,0,0,4,0.1,0.6,0,0,0,0,0
2020-03-08,0,0,7134,100,13.8,0,0,120,1.68,1.2,0,0,97,1.36,2.8,0,0,5381,75.43,220.9,0,0,9,0.13,0.03,0,0,13,0.18,0.9,0,0,18,0.25,1.2,0,0,24,0.34,2.1,0,0,3,0.04,0.9,0,0,141,1.98,1.1,0,0,27,0.38,1.8,0,0,24,0.34,1.5,0,0,98,1.37,4.6,0,0,7,0.1,0.4,0,0,4,0.06,0.2,0,0,1081,15.15,40.6,0,0,83,1.16,2.5,0,0,4,0.06,0.6,0,0,0,0,0
2020-03-09,0,0,7382,100,14.2,0,0,130,1.76,1.3,0,0,96,1.3,2.8,0,0,5571,75.47,228.6,0,0,9,0.12,0.3,0,0,15,0.2,1,0,0,19,0.26,1.3,0,0,24,0.33,2.1,0,0,6,0.08,1.8,0,0,152,2.06,1.1,0,0,28,0.38,1.8,0,0,25,0.34,1.6,0,0,102,1.38,4.8,0,0,7,0.09,0.4,0,0,4,0.05,0.2,0,0,1107,15,41.6,0,0,83,1.12,2.5,0,0,4,0.05,0.6,0,0,0,0,0
2020-03-10,0,0,7513,100,14.49,0,0,141,1.88,1.45,0,0,96,1.28,2.81,0,0,5663,75.38,232.42,0,0,13,0.17,0.44,0,0,15,0.2,1.03,0,0,18,0.24,1.22,0,0,24,0.32,2.01,0,0,8,0.11,2.34,0,0,163,2.17,1.23,0,0,28,0.37,1.82,0,0,25,0.33,1.56,0,0,104,1.38,4.9,0,0,7,0.09,0.39,0,0,4,0.05,0.21,0,0,1117,14.87,41.95,0,0,83,1.1,2.47,0,0,4,0.05,0.6,0,0,0,0,0
2020-03-11,0,0,7755,100,14.96,0,0,193,2.5,1.98,0,0,98,1.3,2.87,0,0,5794,74.7,237.8,0,0,25,0.3,0.85,0,0,15,0.2,1.03,0,0,18,0.2,1.22,0,0,25,0.3,2.18,0,0,10,0.1,2.92,0,0,175,2.3,1.32,0,0,29,0.4,1.88,0,0,27,0.3,1.69,0,0,112,1.4,5.28,0,0,7,0.1,0.39,0,0,4,0.1,0.21,0,0,1135,14.6,42.63,0,0,84,1.1,2.5,0,0,4,0.01,0.6,0,0,0,0,0
2020-03-12,0,0,7869,100,15.18,0,0,212,2.69,2.18,0,0,99,1.26,2.9,0,0,5867,74.56,240.8,0,0,25,0.32,0.85,0,0,15,0.19,1.03,0,0,20,0.25,1.36,0,0,25,0.32,2.18,0,0,15,0.19,4.38,0,0,178,2.26,1.34,0,0,29,0.37,1.88,0,0,27,0.34,1.69,0,0,114,1.45,5.37,0,0,7,0.09,0.39,0,0,4,0.05,0.21,0,0,1143,14.53,42.93,0,0,85,1.08,2.53,0,0,4,0.05,0.6,0,0,0,0,0
2020-03-13,0,0,7979,100,15.39,0,0,225,2.82,2.31,0,0,100,1.25,2.93,0,0,5928,74.3,243.3,0,0,27,0.34,0.91,0,0,15,0.19,1.03,0,0,22,0.28,1.49,0,0,27,0.34,2.35,0,0,32,0.4,9.35,0,0,185,2.32,1.4,0,0,29,0.36,1.88,0,0,27,0.34,1.69,0,0,115,1.44,5.42,0,0,7,0.09,0.39,0,0,4,0.05,0.21,0,0,1147,14.38,43.08,0,0,85,1.07,2.53,0,0,4,0.05,0.6,0,0,0,0,0
2020-03-14,0,0,8086,100,15.6,0,0,238,2.94,2.45,0,0,103,1.27,3.02,0,0,5990,74.08,245.85,0,0,28,0.35,0.95,0,0,15,0.19,1.03,0,0,22,0.27,1.49,0,0,27,0.33,2.35,0,0,38,0.47,11.1,0,0,200,2.47,1.51,0,0,29,0.36,1.88,0,0,28,0.35,1.75,0,0,115,1.42,5.42,0,0,7,0.09,0.39,0,0,4,0.05,0.21,0,0,1153,14.26,43.31,0,0,85,1.05,2.53,0,0,4,0.05,0.6,0,0,0,0,0
