tDate,SumInQuarantine,SumQuarantineRelease,SumDead,SumTotal,SeoulInQuarantine,SeoulQuarantineRelease,SeoulDead,SeoulTotal,BusanInQuarantine,BusanQuarantineRelease,BusanDead,BusanTotal,DaeguInQuarantine,DaeguQuarantineRelease,DaeguDead,DaeguTotal,IncheonInQuarantine,IncheonQuarantineRelease,IncheonDead,IncheonTotal,GwangjuInQuarantine,GwangjuQuarantineRelease,GwangjuDead,GwangjuTotal,DaejeonInQuarantine,DaejeonQuarantineRelease,DaejeonDead,DaejeonTotal,UlsanInQuarantine,UlsanQuarantineRelease,UlsanDead,UlsanTotal,SejongInQuarantine,SejongQuarantineRelease,SejongDead,SejongTotal,GyeonggiInQuarantine,GyeonggiQuarantineRelease,GyeonggiDead,GyeonggiTotal,GangwonInQuarantine,GangwonQuarantineRelease,GangwonDead,GangwonTotal,ChungbukInQuarantine,ChungbukQuarantineRelease,ChungbukDead,ChungbukTotal,ChungnamInQuarantine,ChungnamQuarantineRelease,ChungnamDead,ChungnamTotal,JeonbukInQuarantine,JeonbukQuarantineRelease,JeonbukDead,JeonbukTotal,JeonnamInQuarantine,JeonnamQuarantineRelease,JeonnamDead,JeonnamTotal,GyeongbukInQuarantine,GyeongbukQuarantineRelease,GyeongbukDead,GyeongbukTotal,GyeongnamInQuarantine,GyeongnamQuarantineRelease,GyeongnamDead,GyeongnamTotal,JejuInQuarantine,JejuQuarantineRelease,JejuDead,JejuTotal,QuarantineInQuarantine,QuarantineQuarantineRelease,QuarantineDead,QuarantineTotal
2020-09-15,3146,18878,367,22391,1208,3493,42,4743,62,295,4,361,75,6845,192,7112,187,650,6,843,118,361,3,482,85,257,3,345,43,97,1,141,8,62,0,70,822,3094,56,3972,38,176,3,217,32,116,1,149,147,296,2,445,29,72,0,101,92,74,0,166,38,1397,54,1489,34,237,0,271,16,40,0,56,112,1316,0,1428
2020-09-16,2827,19310,367,22504,1058,3694,42,4794,63,298,4,365,76,6848,192,7116,134,712,6,852,108,373,3,484,77,266,3,346,38,102,1,141,7,63,0,70,768,3174,56,3998,34,180,3,217,33,117,1,151,129,316,2,447,30,76,0,106,84,82,0,166,33,1404,54,1491,35,239,0,274,12,44,0,56,108,1322,0,1430
2020-09-17,2742,19543,372,22657,1066,3748,43,4857,57,306,4,357,74,6852,192,7118,119,733,7,859,96,386,3,485,66,279,3,348,35,105,1,141,7,63,0,70,743,3251,58,4052,31,183,3,217,27,123,1,151,131,324,2,457,28,78,0,106,74,93,0,167,37,1405,55,1497,36,241,0,277,14,45,0,56,104,1328,0,1432
2020-09-18,2635,19771,377,22783,1017,3841,46,4904,54,311,4,369,69,6859,192,7120,119,738,8,865,82,400,3,485,60,287,3,350,32,108,1,141,6,64,0,70,734,3296,59,4089,26,188,3,217,27,126,1,154,126,335,2,463,35,79,0,114,67,100,0,167,40,1407,55,1502,35,246,0,281,13,45,0,58,93,1341,0,1434
2020-09-19,2545,19970,378,22893,1010,3888,46,4944,51,316,4,371,63,6867,192,7122,111,757,8,876,70,412,3,485,59,290,3,352,31,108,2,141,6,64,0,70,716,3355,59,4130,22,192,3,217,23,131,1,155,126,339,2,467,30,85,0,115,57,110,0,167,41,1410,55,1506,32,250,0,282,13,45,0,58,84,1351,0,1435
2020-09-20,2434,20158,383,22975,964,3961,47,4972,53,320,4,377,59,6872,193,7124,110,761,8,879,60,422,3,485,60,291,3,354,24,116,2,142,6,64,0,70,678,3416,62,4156,20,194,3,217,22,133,1,156,120,346,2,468,28,87,0,115,52,115,0,167,46,1410,55,1511,31,252,0,283,13,45,0,58,88,1353,0,1441
2020-09-21,2412,20248,385,23045,962,3985,48,4995,57,324,4,385,59,6873,193,7125,109,764,8,881,60,423,3,486,62,291,3,356,23,117,2,142,6,64,0,70,654,3457,63,4174,19,195,3,217,21,136,1,158,118,348,2,468,27,88,0,115,49,118,0,167,46,1411,55,1512,31,254,0,285,13,45,0,58,96,1355,0,1451
2020-09-22,2277,20441,388,23106,933,4034,49,5016,61,325,4,390,58,6874,193,7125,107,768,8,883,51,432,3,486,55,298,3,356,17,124,2,143,7,64,0,71,578,3551,65,4194,21,195,3,219,22,137,1,160,113,353,2,468,26,89,0,115,47,120,0,167,41,1420,55,1516,31,255,0,286,13,45,0,58,96,1357,0,1453
2020-09-23,2178,20650,388,23216,897,4110,49,5056,66,327,4,397,50,6885,193,7128,108,772,8,888,44,441,3,488,51,302,3,356,16,127,2,145,6,65,0,71,546,3613,65,4224,14,203,3,220,24,137,1,162,113,358,2,473,25,91,0,116,38,129,0,167,47,1420,55,1522,29,257,0,286,11,47,0,58,93,1366,0,1459
2020-09-24,2116,20832,393,23341,872,4173,50,5095,68,332,4,404,48,6888,193,7129,114,776,8,898,34,451,3,488,45,309,3,357,12,131,2,145,9,65,0,74,537,3667,68,4272,15,204,3,222,24,139,1,164,102,369,3,474,25,92,0,117,34,134,0,168,46,1423,55,1524,28,259,0,287,10,49,0,59,93,1371,0,1464
