Country,PeopleNumber
Australia,25788217
Austria,9043072
Belgium,11632334
Canada,38067913
Chile,19212362
China,1444216102
Colombia,51265841
Costa Rica,5139053
Czechia,10724553
Denmark,5813302
Estonia,1325188
Finland,5548361
France,65426177
Germany,83900471
Greece,10370747
Hungary,9634162
Iceland,343360
Ireland,4982904
Israel,8789776
Italy,60367471
Japan,126050796
Latvia,1866934
Lithuania,2689862
Luxembourg,634814
Mexico,130262220
Netherlands,17173094
New Zealand,4860642
Norway,5465629
Poland,37797000
Portugal,10167923
Slovakia,5460726
Slovenia,2078723
South Korea,51821669
Spain,46745211
Sweden,10160159
Switzerland,8715494
Taiwan,23855008
Turkey,85042736
United Kingdom,68207114
US,332915074
