Country,Province1,Province2,PeopleNumber
US,Wisconsin,Langlade,19095
US,Wisconsin,Lincoln,27433
US,Wisconsin,Manitowoc,78913
US,Wisconsin,Marathon,136234
US,Wisconsin,Marinette,40246
US,Wisconsin,Marquette,15886
US,Wisconsin,Menominee,4478
US,Wisconsin,Milwaukee,943240
US,Wisconsin,Monroe,46477
US,Wisconsin,Oconto,38142
US,Wisconsin,Oneida,35897
US,Wisconsin,Outagamie,189897
US,Wisconsin,Ozaukee,89545
US,Wisconsin,Pepin,7253
US,Wisconsin,Pierce,43078
US,Wisconsin,Polk,44213
US,Wisconsin,Portage,70616
US,Wisconsin,Price,13339
US,Wisconsin,Racine,196219
US,Wisconsin,Richland,16962
US,Wisconsin,Rock,164314
US,Wisconsin,Rusk,14314
US,Wisconsin,Sauk,64690
US,Wisconsin,Sawyer,16746
US,Wisconsin,Shawano,41155
US,Wisconsin,Sheboygan,115554
US,Wisconsin,St. Croix,92685
US,Wisconsin,Taylor,20301
US,Wisconsin,Trempealeau,29959
US,Wisconsin,Unassigned,0
US,Wisconsin,Vernon,30922
US,Wisconsin,Vilas,22729
US,Wisconsin,Walworth,104504
US,Wisconsin,Washburn,15486
US,Wisconsin,Washington,137212
US,Wisconsin,Waukesha,407550
US,Wisconsin,Waupaca,50710
US,Wisconsin,Waushara,24795
US,Wisconsin,Winnebago,173965
US,Wisconsin,Wood,73089
US,Wuhan Evacuee,Unassigned,0
US,Wyoming,Albany,39184
US,Wyoming,Big Horn,11616
US,Wyoming,Campbell,46425
US,Wyoming,Carbon,14642
US,Wyoming,Converse,14150
US,Wyoming,Crook,7862
US,Wyoming,Fremont,38661
US,Wyoming,Goshen,13049
US,Wyoming,Hot Springs,4103
US,Wyoming,Johnson,8443
US,Wyoming,Laramie,100770
US,Wyoming,Lincoln,20600
US,Wyoming,Natrona,81224
US,Wyoming,Niobrara,2268
US,Wyoming,Park,29162
US,Wyoming,Platte,8147
US,Wyoming,Sheridan,31017
US,Wyoming,Sublette,9897
US,Wyoming,Sweetwater,41313
US,Wyoming,Teton,23854
US,Wyoming,Uinta,20094
US,Wyoming,Unassigned,0
US,Wyoming,Washakie,7661
US,Wyoming,Weston,6933
Australia,NULL,NULL,25674400
Australia,Australian Capital Territory,NULL,431500
Australia,External territories,NULL,0
Australia,Jervis Bay Territory,NULL,611
Australia,New South Wales,NULL,8172505
Australia,Northern Territory,NULL,246600
Australia,Queensland,NULL,5194900
Australia,South Australia,NULL,1770800
Australia,Tasmania,NULL,541500
Australia,Victoria,NULL,6661700
Australia,Western Australia,NULL,2670200
Austria,NULL,NULL,9006398
Belgium,NULL,NULL,11521238
Belgium,Antwerp,NULL,1875524
Belgium,Brussels,NULL,1219970
Belgium,East Flanders,NULL,1531745
Belgium,Flemish Brabant,NULL,1162084
Belgium,Hainaut,NULL,1345947
Belgium,Liege,  ,1109067
Belgium,Limburg,NULL,880397
Belgium,Luxembourg,NULL,288722
Belgium,Namur,NULL,497073
Belgium,Unknown,NULL,0
Belgium,Walloon Brabant,NULL,407397
Belgium,West Flanders,NULL,1203312
Canada,NULL,NULL,38131104
Canada,Alberta,NULL,4444277
Canada,British Columbia,NULL,5174724
Canada,Diamond Princess,NULL,0
Canada,Grand Princess,NULL,0
Canada,Manitoba,NULL,1382904
Canada,New Brunswick,NULL,783721
Canada,Newfoundland and Labrador,NULL,520286
Canada,Northwest Territories,NULL,44991
Canada,Nova Scotia,NULL,982326
Canada,Nunavut,NULL,39536
Canada,Ontario,NULL,14789778
Canada,Prince Edward Island,NULL,160536
Canada,Quebec,NULL,8585523
Canada,Recovered,NULL,0
Canada,Repatriated Travellers,NULL,0
Canada,Saskatchewan,NULL,1179906
Canada,Yukon,NULL,42596
Chile,NULL,NULL,19458310
Chile,Antofagasta,NULL,691854
Chile,Araucania,NULL,913833
Chile,Arica y Parinacota,NULL,252110
Chile,Atacama,NULL,314709
Chile,Aysen,NULL,107297
Chile,Biobio,NULL,1663696
Chile,Coquimbo,NULL,836096
Chile,Los Lagos,NULL,891440
Chile,Los Rios,NULL,405835
Chile,Magallanes,NULL,178362
Chile,Maule,NULL,1131939
Chile,Metropolitana,NULL,8125072
Chile,Nuble,NULL,511551
Chile,OHiggins,NULL,991063
Chile,Tarapaca,NULL,382773
Chile,Unknown,NULL,0
Chile,Valparaiso,NULL,1960170
China,NULL,NULL,1419993000
China,Beijing,NULL,21893095
China,Chongqing,NULL,32054159
China,Fujian,NULL,41540086
China,Gansu,NULL,25019831
China,Guangdong,NULL,126012510
China,Guangxi,NULL,50126804
China,Guizhou,NULL,38562148
China,Hainan,NULL,10081232
China,Hebei,NULL,74610235
China,Heilongjiang,NULL,31850088
China,Henan,NULL,99365519
China,Hong Kong,NULL,7474200
China,Hubei,NULL,57752557
