tDate,iso_code,continent,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2023-06-27,AUS,Oceania,Australia,11508834,0,1946.714,21685,0,0,439647.543,0,74.366,828.386,0,0,0,60,2.292,2119,80.948,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.944,26177410,0,0,0,0
2023-06-27,AUT,Europe,Austria,6080914,50,117.571,22534,0,0.286,680220.864,5.593,13.152,2520.69,0,0.032,0,6,0.671,52,5.817,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.922,8939617,0,0,0,0
2023-06-27,BEL,Europe,Belgium,4801664,10,31.429,34375,0,0.429,411950.559,0.858,2.696,2949.144,0,0.037,0,9,0.772,116,9.952,0,0,76,6.52,0,0,0,0,0,0,0,0,,29634940,9266720,9169059,11629872,29,18,254.25,79.5,78.66,99.78,2,1,0,0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.931,11655923,0,0,0,0
2023-06-27,CAN,North America,Canada,4688830,0,250.429,52860,0,3.429,121932.439,0,6.512,1374.618,0,0.089,0,58,1.508,1781,46.315,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,0,2.5,82.43,0.929,38454328,0,0,0,0
2023-06-27,CHL,South America,Chile,5288023,0,0,61566,0,0,269745.675,0,0,3140.524,0,0,0,10,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,0,2.11,80.18,0.851,19603736,0,0,0,0
2023-06-27,CHN,Asia,China,99288760,47,557,121465,0,10.571,69632.962,0.033,0.391,85.186,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,0,4.34,76.91,0.761,1425887360,0,0,0,0
2023-06-27,COL,South America,Colombia,6372392,0,186,142807,0,1.857,122843.593,0,3.586,2752.958,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,0,0,0,0
2023-06-27,CRI,North America,Costa Rica,1235961,0,115,9386,0,0.286,238564.008,0,22.197,1811.677,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,0,0,0,0
2023-06-27,CZE,Europe,Czechia,4642702,19,16.429,42811,0,0.143,442415.325,1.811,1.566,4079.573,0,0.014,0,1,0.095,8,0.762,1,0.095,14,1.334,0,0,0,0,0,0,0,0,,18625726,6976639,6893347,5167080,6,10,177.49,66.48,65.69,49.24,1,1,0,0,137.176,43.3,19.027,11.58,32605.906,0,227.485,6.82,30.5,38.3,0,6.63,79.38,0.9,10493990,0,0,0,0
2023-06-27,DNK,Europe,Denmark,3414274,79,11.286,8747,3,0.429,580435.85,13.43,1.919,1487.014,0.51,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,0,2.5,80.9,0.94,5882259,0,0,0,0
2023-06-27,EST,Europe,Estonia,601588,0,7.286,2898,0,0.143,453664.378,0,5.494,2185.415,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2112505,869366,861713,601160,5,4,159.31,65.56,64.98,45.33,3,0,0,0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,0,4.69,78.74,0.892,1326064,0,0,0,0
2023-06-27,FIN,Europe,Finland,1482246,40,54.286,9974,0,0.571,267517.455,7.219,9.798,1800.119,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,47,0,0,0,0,8,1,0,0,18.136,42.8,21.228,13.264,40585.721,0,153.507,5.76,18.3,22.6,0,3.28,81.91,0.938,5540745,0,0,0,0
2023-06-27,FRA,Europe,France,38989382,0,0,167923,0,0,603302.162,0,0,2598.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.578,42,19.718,13.079,38605.671,0,86.06,4.77,30.1,35.6,0,5.98,82.66,0.901,67813000,0,0,0,0
2023-06-27,DEU,Europe,Germany,38435774,0,194.286,174807,0,0.857,461027.321,0,2.33,2096.765,0,0.01,0,0,0,0,0,0,0,269,3.227,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.016,46.6,21.453,15.957,45229.245,0,156.139,8.31,28.2,33.1,0,8,81.33,0.947,83369840,0,0,0,0
2023-06-27,GRC,Europe,Greece,5336533,0,336.143,37194,0,2.429,513870.716,0,32.368,3581.521,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22125168,7935558,7645939,7122707,63,41,213.05,76.41,73.63,68.59,4,8,0,0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,0,4.21,82.24,0.888,10384972,0,0,0,0
2023-06-27,HUN,Europe,Hungary,2203171,0,6,48797,0,0,221039.812,0,0.602,4895.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,0,7.02,76.88,0.854,9967304,0,0,0,0
2023-06-27,ISL,Europe,Iceland,208735,0,1,186,0,0,559756.827,0,2.682,498.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,0,2.91,82.99,0.949,372903,0,0,0,0
2023-06-27,IRL,Europe,Ireland,1713730,0,29.429,9058,0,4.857,341169.252,0,5.859,1803.266,0,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,0,2.96,82.3,0.955,5023108,0,0,0,0
2023-06-27,ISR,Asia,Israel,4828885,91,79.571,12566,2,0.714,511047.201,9.631,8.421,1329.876,0.212,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0,2.99,82.97,0.919,9449000,0,0,0,0
2023-06-27,ITA,Europe,Italy,25895427,381,759.571,190836,10,12.143,438626.962,6.454,12.866,3232.455,0.169,0.206,0,40,0.678,1017,17.226,20,0.339,0,0,0,0,0,0,0,0,0,0,,144591974,50915882,47963675,47745354,121,87,244.92,86.24,81.24,80.87,1,4,0,0,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,0,3.18,83.51,0.892,59037472,0,0,0,0
2023-06-27,JPN,Asia,Japan,33803572,0,0,74694,0,0,272715.688,0,0,602.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.778,48.2,27.049,18.493,39002.223,0,79.37,5.72,11.2,33.7,0,13.05,84.63,0.919,123951696,0,0,0,0
2023-06-27,LVA,Europe,Latvia,975708,0,2.429,7368,0,0.286,527223.349,0,1.312,3981.295,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,0,5.57,75.29,0.866,1850654,0,0,0,0
2023-06-27,LTU,Europe,Lithuania,1321338,38,21.143,9691,0,0,480476.412,13.818,7.688,3523.926,0,0,0,0,0,31,11.272,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,1,1,0,0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,0,6.56,75.93,0.882,2750058,0,0,0,0
2023-06-27,LUX,Europe,Luxembourg,382785,0,0,1000,0,0,591081.546,0,0,1544.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,0,4.51,82.25,0.916,647601,0,0,0,0
2023-06-27,MEX,North America,Mexico,7633340,0,302.286,334336,0,2.857,59867.399,0,2.371,2622.158,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120,0,0,0,0
2023-06-27,NLD,Europe,Netherlands,8616175,0,12,22986,0,0,490558.255,0,0.683,1308.698,0,0,0,9,0.512,32,1.822,6,0.342,116,6.604,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.544,43.2,18.779,11.881,48472.545,0,109.361,5.29,24.4,27.3,0,3.32,82.28,0.944,17564020,0,0,0,0
2023-06-27,NZL,Oceania,New Zealand,2333913,0,0,3077,0,0,450102.781,0,0,593.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.206,37.9,15.322,9.72,36085.843,0,128.797,8.08,14.8,17.2,0,2.61,82.29,0.931,5185289,0,0,0,0
2023-06-27,NOR,Europe,Norway,1485699,184,26.286,5566,0,0,273391.686,33.859,4.837,1024.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,0,3.6,82.4,0.957,5434324,0,0,0,0
