Seq,Region,Rdate,social_distancing
1,서울특별시,2020-02-23,2
2,서울특별시,2020-02-24,2
3,서울특별시,2020-02-25,2
4,서울특별시,2020-02-26,2
5,서울특별시,2020-02-27,2
6,서울특별시,2020-02-28,2
7,서울특별시,2020-02-29,2
8,서울특별시,2020-03-01,2
9,서울특별시,2020-03-02,2
10,서울특별시,2020-03-03,2
11,서울특별시,2020-03-04,2
12,서울특별시,2020-03-05,2
13,서울특별시,2020-03-06,2
14,서울특별시,2020-03-07,2
15,서울특별시,2020-03-08,2
16,서울특별시,2020-03-09,2
17,서울특별시,2020-03-10,2
18,서울특별시,2020-03-11,2
19,서울특별시,2020-03-12,2
20,서울특별시,2020-03-13,2
21,서울특별시,2020-03-14,2
22,서울특별시,2020-03-15,2
23,서울특별시,2020-03-16,2
24,서울특별시,2020-03-17,2
25,서울특별시,2020-03-18,2
26,서울특별시,2020-03-19,2
27,서울특별시,2020-03-20,2
28,서울특별시,2020-03-21,2
29,서울특별시,2020-03-22,3
30,서울특별시,2020-03-23,3
31,서울특별시,2020-03-24,3
32,서울특별시,2020-03-25,3
33,서울특별시,2020-03-26,3
34,서울특별시,2020-03-27,3
35,서울특별시,2020-03-28,3
36,서울특별시,2020-03-29,3
37,서울특별시,2020-03-30,3
38,서울특별시,2020-03-31,3
39,서울특별시,2020-04-01,3
40,서울특별시,2020-04-02,3
41,서울특별시,2020-04-03,3
42,서울특별시,2020-04-04,3
43,서울특별시,2020-04-05,3
44,서울특별시,2020-04-06,3
45,서울특별시,2020-04-07,3
46,서울특별시,2020-04-08,3
47,서울특별시,2020-04-09,3
48,서울특별시,2020-04-10,3
49,서울특별시,2020-04-11,3
50,서울특별시,2020-04-12,3
51,서울특별시,2020-04-13,3
52,서울특별시,2020-04-14,3
53,서울특별시,2020-04-15,3
54,서울특별시,2020-04-16,3
55,서울특별시,2020-04-17,3
56,서울특별시,2020-04-18,3
57,서울특별시,2020-04-19,2
58,서울특별시,2020-04-20,2
59,서울특별시,2020-04-21,2
60,서울특별시,2020-04-22,2
61,서울특별시,2020-04-23,2
62,서울특별시,2020-04-24,2
63,서울특별시,2020-04-25,2
64,서울특별시,2020-04-26,2
65,서울특별시,2020-04-27,2
66,서울특별시,2020-04-28,2
67,서울특별시,2020-04-29,2
68,서울특별시,2020-04-30,2
69,서울특별시,2020-05-01,2
70,서울특별시,2020-05-02,2
71,서울특별시,2020-05-03,2
72,서울특별시,2020-05-04,2
73,서울특별시,2020-05-05,2
74,서울특별시,2020-05-06,1
75,서울특별시,2020-05-07,1
76,서울특별시,2020-05-08,1
77,서울특별시,2020-05-09,1
78,서울특별시,2020-05-10,1
79,서울특별시,2020-05-11,1
80,서울특별시,2020-05-12,1
81,서울특별시,2020-05-13,1
82,서울특별시,2020-05-14,1
83,서울특별시,2020-05-15,1
84,서울특별시,2020-05-16,1
85,서울특별시,2020-05-17,1
86,서울특별시,2020-05-18,1
87,서울특별시,2020-05-19,1
88,서울특별시,2020-05-20,1
89,서울특별시,2020-05-21,1
90,서울특별시,2020-05-22,1
91,서울특별시,2020-05-23,1
92,서울특별시,2020-05-24,1
93,서울특별시,2020-05-25,1
94,서울특별시,2020-05-26,1
95,서울특별시,2020-05-27,1
96,서울특별시,2020-05-28,1
97,서울특별시,2020-05-29,1
98,서울특별시,2020-05-30,1
99,서울특별시,2020-05-31,1
100,서울특별시,2020-06-01,1
101,서울특별시,2020-06-02,1
102,서울특별시,2020-06-03,1
103,서울특별시,2020-06-04,1
104,서울특별시,2020-06-05,1
106,서울특별시,2020-06-06,1
107,서울특별시,2020-06-07,1
108,서울특별시,2020-06-08,1
109,서울특별시,2020-06-09,1
