Seq,DocuTitle,Country,TestPeriod,TestTareget,Antibody_Sample,Origin
1,Seroprevalence of SARS-CoV-2-specific antibodies in Sydney after the first epidemic wave of 2020,호주/시드니,2020년 4-6월,잔여 혈액 샘플: 1. 혈액 병리검사 (19/3231) 모든 연령대 2. 산전 선별검사 (7/560) 20-39세 3. 플라즈마페레제 기증 (12/1548) 20-69세,1. 0.15% (general pathology) 2. 0.79% (Antenatal screening) 3. 0.29% (Plasmapheresis donors),"Gidding HF, Machalek DA, Hendry AJ, et al. Seroprevalence of SARS-CoV-2-specific antibodies in Sydney after the first epidemic wave of 2020. Med J Aust. 2021;214(4):179-185. doi:10.5694/mja2.50940"
2,A Dual-Antigen Enzyme-Linked Immunosorbent Assay Allows the Assessment of Severe Acute Respiratory Syndrome Coronavirus 2 Antibody Seroprevalence in a Low-Transmission Setting,호주,2020년 6-7월,대기 수술 환자 (41/2991),0.0028,"Hicks SM, Pohl K, Neeman T, et al. A Dual-Antigen Enzyme-Linked Immunosorbent Assay Allows the Assessment of Severe Acute Respiratory Syndrome Coronavirus 2 Antibody Seroprevalence in a Low-Transmission Setting. J Infect Dis. 2021;223(1):10-14. doi:10.1093/infdis/jiaa623"
3,Low SARS-CoV-2 seroprevalence in the Austrian capital after an early governmental lockdown,오스트리아/비엔나,"2020년 4-5월 ","일반 인구+LEAD 코호트 구성원 (163/12419) ",0.0113,"Breyer MK, Breyer-Kohansal R, Hartl S, et al. Low SARS-CoV-2 seroprevalence in the Austrian capital after an early governmental lockdown. Sci Rep. 2021;11(1):10158. Published 2021 May 12. doi:10.1038/s41598-021-89711-5"
4,Screening and Confirmatory Testing for SARS-CoV-2 Antibodies: Comparison of Health and Non-Health Workers in a Nationwide Healthcare Organization in Central Europe,오스트리아,"2020년 7월 ",건강보험 가입자 [의료진 (23/2242) 비의료진 (65/5301)],"1% (의료진), 1.2% (비의료진) ","Bartko J, Zehetmayer S, Weseslindtner L, et al. Screening and Confirmatory Testing for SARS-CoV-2 Antibodies: Comparison of Health and Non-Health Workers in a Nationwide Healthcare Organization in Central Europe. J Clin Med. 2021;10(9):1909. Published 2021 Apr 28. doi:10.3390/jcm10091909"
5,Seroprevalence of IgG antibodies against SARS coronavirus 2 in Belgium ? a serial prospective cross-sectional nationwide study of residual samples,벨기에,"2020년 3-7월 ","잔여 혈액 샘플 (3000-4000)                ","5기간으로 구분                                           1. 2.9%, 2. 6%, 3. 6.9%, 4. 5.5%, 5. 4.5%","Herzog SDB; Abrams, S; Wouters, I; Ekinci, E; Patteet, L; Coppens, A; et al: Seroprevalence of IgG antibodies against SARS coronavirus 2 in Belgium – a serial prospective cross-sectional nationwide study of residual samples. 2020. doi:10.1101/2020.06.08.20125179"
6,Dynamics of SARS-CoV-2 RT-PCR positivity and seroprevalence among high-risk healthcare workers and hospital staff,벨기에/브뤼셀,2020년 4-5월,병원 의료진 36/326,0.11,"Martin C, Montesinos I, Dauby N, et al. Dynamics of SARS-CoV-2 RT-PCR positivity and seroprevalence among high-risk healthcare workers and hospital staff. J Hosp Infect. 2020;106(1):102-106. doi:10.1016/j.jhin.2020.06.028"
7,SARS-CoV-2 seroprevalence among blood donors after the first COVID-19 wave in Canada,캐나다,"2020년 5-7월 ","혈액기증자 552/74642 ",0.007,"Saeed S, Drews SJ, Pambrun C, Yi QL, Osmond L, O'Brien SF. SARS-CoV-2 seroprevalence among blood donors after the first COVID-19 wave in Canada. Transfusion. 2021 Mar;61(3):862-872. doi: 10.1111/trf.16296"
8,"SARS-CoV-2 seroprevalence among blood donors in Quebec, and analysis of symptoms associated with seropositivity: a nested case-control study",캐나다/퀘벡,"2020년 5-7월 ",잔여 혈액 샘플 (혈액기증자) 173/7691,0.0225,"Lewin A, Therrien R, De Serres G, et al. SARS-CoV-2 seroprevalence among blood donors in Québec, and analysis of symptoms associated with seropositivity: a nested case-control study [published online ahead of print, 2021 May 17]. Can J Public Health. 2021;1-11. doi:10.17269/s41997-021-00531-6"
9,"Low SARS-CoV-2 sero-prevalence based on anonymized residual sero-survey before and after first wave measures in British Columbia, Canada, March-May 2020",캐나다/브리티시컬럼비아,"2020년 3-5월 ","잔여 혈액 샘플  (3월-2/869), (5월-4/885)",3월-0.28% 5월-0.55%,"Skowronski DM, Sekirov I, Sabaiduc S, et al. Low SARS‐CoV‐2 sero‐prevalence based on anonymized residual sero‐survey before and after first wave measures in British Columbia, Canada, march‐may 2020. medRxiv. 2020. doi:10.1101/2020.07.13.20153148"
10,Longitudinal assessment of SARS-CoV-2 IgG seroconversionamong front-line healthcare workers during the first wave of the Covid-19 pandemic at a tertiary-care hospital in Chile,칠레,"2020년 4-7월 ",의료진 107/446,overall seroprevalence 24%,"Iruretagoyena M, Vial MR, Spencer-Sandino M, et al. Longitudinal assessment of SARS-CoV-2 IgG seroconversionamong front-line healthcare workers during the first wave of the Covid-19 pandemic at a tertiary-care hospital in Chile. BMC Infect Dis. 2021;21(1):478. Published 2021 May 26. doi:10.1186/s12879-021-06208-2"
