Seq,DocuTitle,TestTarget,sType,NoSymptoms,Cough,Sputum,Fever,Headache,Myalgia,Sore_Throat,Dyspnea,Rhinorrhea,Diarrhea,Chill,Chest_Pain,Vomiting,Fatigue,Altered,Fevrile,Gustatory,Coryza,Hemoptysis,Seizure,Lymph,Origin
1,"Epidemiological and clinical characteristics of coronavirus disease 2019 in Daegu, South Korea",대구/병원 입원환자 557명,mild ,80 (16.8%),262 (55.2%),244 (51.4%),80 (16.8%),115 (24.4%),93 (19.6%),124 (16.1%),58 (12.2%),141 (29.7%),134 (28.2%),97 (20.4%),75 (15.8%),-,-,-,-,-,-,-,-,,"Lee JY, Hong SW, Hyun M, Pet al. Epidemiological and clinical characteristics of coronavirus disease 2019 in Daegu, South Korea. International Journal of Infectious Diseases. 2020;98:462-466. doi:10.1016/j.ijid.2020.07.017"
2,"Epidemiological and clinical characteristics of coronavirus disease 2019 in Daegu, South Korea",대구/병원 입원환자 137명,severe,-,66 (81.5%),50 (61.7%),31 (38.3%),25 (30.9%),22 (27.2%),31 38.3%),33 (40.7%),21 (25.9%),32 (39.5%),29 (36.8%),14 (17.3%),-,-,-,-,-,-,-,-,,
3,Risk Factors of Outcomes of a-19 Patients in Korea: Focus on Early Symptoms,질청 데이터 5068명 ,-,1281 (25.3%),2131 (42%),1460 (28.8%),1206 (23.8%),847 (16.7%),824 (16.3%),779 (15.4%),30 (0.6%),504 (9.9%),443 (8.7%),-,-,236 (4.7%),226 (4.5%),616 (12.2%),-,-,-,-,-,,"Jang SY, Seon JY, Eun BL, et al. Risk Factors of Outcomes of COVID-19 Patients in Korea: Focus on Early Symptoms.?J Korean Med Sci. 2021;36(18):e132. Published 2021 May 10. doi:10.3346/jkms.2021.36.e132"
4,"Clinical Course and Outcomes of 3,060 Patients with Coronavirus Disease 2019 in Korea, January-May 2020",환자 2585명 ,mild ,-,"999/2,518 (39.7%)","636/2,515 (25.3%)","652/2,516 (25.9%)",-,"467/2,510 (18.6%)","515/2,504 (20.6%)","121/2,508 (4.8%)","322/2,513 (12.8%)","173/2,506 (6.9%)",-,-,"61/2,505 (2.4%)",-,"1/2,515 (0.0%)",-,-,-,-,-,,"Sung HK, Kim JY, Heo J, et al. Clinical Course and Outcomes of 3,060 Patients with Coronavirus Disease 2019 in Korea, January-May 2020. J Korean Med Sci. 2020;35(30):e280. Published 2020 Aug 3. doi:10.3346/jkms.2020.35.e280"
5,"Clinical Course and Outcomes of 3,060 Patients with Coronavirus Disease 2019 in Korea, January-May 2020",환자 141명 ,moderate,-,70/131 (53.4%),55/130 (42.3%),88/131 (67.2%),-,39/126 (31.0%),22/125 (17.6%),46/130 (35.4%),8/127 (6.3%),16/128 (12.5%),-,-,7/128 (5.5%),-,2/132 (2.3%),-,-,-,-,-,,"Sung HK, Kim JY, Heo J, et al. Clinical Course and Outcomes of 3,060 Patients with Coronavirus Disease 2019 in Korea, January-May 2020. J Korean Med Sci. 2020;35(30):e280. Published 2020 Aug 3. doi:10.3346/jkms.2020.35.e280"
6,"Clinical Course and Outcomes of 3,060 Patients with Coronavirus Disease 2019 in Korea, January-May 2020",환자 55명 ,severe,-,20/35 (57.1%),15/34 (44.1%),30/42 (70.4%),-,13/32 (40.6%),7/33 (21.2%),26/37 (70.3%),3/31 (9.7%),3/34 (8.8%),-,-,2/32 (6.3%),-,2/34 (5.9%),-,-,-,-,-,,"Sung HK, Kim JY, Heo J, et al. Clinical Course and Outcomes of 3,060 Patients with Coronavirus Disease 2019 in Korea, January-May 2020. J Korean Med Sci. 2020;35(30):e280. Published 2020 Aug 3. doi:10.3346/jkms.2020.35.e280"
7,Clinical Characteristics and Mortality Predictors of COVID-19 Patients Hospitalized at Nationally-Designated Treatment Hospitals,경주 병원/안동 의료센터 352명,-,81 (23%),112 (31.8%),60 (17%),-,43 (12.2%),46 (13.1%),55 (15.6%),32 (9.1%),15 (4.3%),13 (3.7%),-,25 (7%),4 (1.1%),17 (4.8%),-,100 (28.4%),15 (4.2%),-,-,-,,"Moon SS, Lee K, Park J, Yun S, Lee YS, Lee DS. Clinical Characteristics and Mortality Predictors of COVID-19 Patients Hospitalized at Nationally-Designated Treatment Hospitals.?J Korean Med Sci. 2020;35(36):e328. Published 2020 Sep 14. doi:10.3346/jkms.2020.35.e328"
8,Real Asymptomatic SARS-CoV-2 Infection Might Be Rare: Importance of Careful Interviews and Follow-up,울산 병원 40명 ,-,2 (5%),27 (68%),16 (40%),22 (55%),11 (28%),15 (38%),-,4 (10%),9 (23%),3 (8%),11 (28%),4 (10%),1 (3%),3 (8%),-,-,4 (10%),-,-,-,,"Jeong TH, Pak C, Ock M, Lee SH, Son JS, Jeon YJ. Real Asymptomatic SARS-CoV-2 Infection Might Be Rare: Importance of Careful Interviews and Follow-up.?J Korean Med Sci. 2020;35(37):e333. Published 2020 Sep 21. doi:10.3346/jkms.2020.35.e333"
9,Epidemiology and clinical features of common community human coronavirus disease,환자 807명 ,-,-,509 (63.1%),297 (37%),622 (77.1%),14 (1.7%),16 (2%),23 (2.9%),116 (14.4%),-,48 (5.9%),-,-,92 (11.4%),47 (5.8%),-,-,-,290 (35.9%),11 (1.4%),60 (7.4%),12 (1.5%),"Kim T, Choi H, Shin TR, et al. Epidemiology and clinical features of common community human coronavirus disease.?J Thorac Dis. 2021;13(4):2288-2299. doi:10.21037/jtd-20-3190"
10,"Clinical Features and Outcomes of 98 Patients Hospitalized with SARS-CoV-2 Infection in Daegu, South Korea: A Brief Descriptive Study",대구 의료센터/ 환자 98명 ,-,-,58 (59.2%),39 (39.2%),62 (63.3%),-,37 (37.8%),-,32 (32.7%),-,-,-,-,-,-,-,-,-,-,-,-,,"Hong KS, Lee KH, Chung JH, et al. Clinical Features and Outcomes of 98 Patients Hospitalized with SARS-CoV-2 Infection in Daegu, South Korea: A Brief Descriptive Study.?Yonsei Med J. 2020;61(5):431-437. doi:10.3349/ymj.2020.61.5.431"
