tDate,Country,Variant,total_sequences,cluster_sequences,proportion
2023-03-27,Belgium,20H.Beta.V2,18,0,0.000000000000
2023-03-27,Belgium,20I.Alpha.V1,18,0,0.000000000000
2023-03-27,Belgium,20J.Gamma.V3,18,0,0.000000000000
2023-03-27,Belgium,21A.Delta,18,0,0.000000000000
2023-03-27,Belgium,21B.Kappa,18,0,0.000000000000
2023-03-27,Belgium,21D.Eta,18,0,0.000000000000
2023-03-27,Belgium,21F.Iota,18,0,0.000000000000
2023-03-27,Belgium,21G.Lambda,18,0,0.000000000000
2023-03-27,Italy,20H.Beta.V2,10,0,0.000000000000
2023-03-27,Italy,20I.Alpha.V1,10,0,0.000000000000
2023-03-27,Italy,20J.Gamma.V3,10,0,0.000000000000
2023-03-27,Italy,21A.Delta,10,0,0.000000000000
2023-03-27,Italy,21B.Kappa,10,0,0.000000000000
2023-03-27,Italy,21C.Epsilon,10,0,0.000000000000
2023-03-27,Italy,21D.Eta,10,0,0.000000000000
2023-03-27,Italy,21F.Iota,10,0,0.000000000000
2023-03-27,Italy,21G.Lambda,10,0,0.000000000000
